종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에스피지 *,151500.0,+24.28%,3410397.0,501371.0,1100102.0,058610,https://kr.tradingview.com/symbols/KRX-058610/
TPC *,3985.0,+20.39%,2134167.0,8097.0,686977.0,048770,https://kr.tradingview.com/symbols/KRX-048770/
라온로보틱스 *,16400.0,+18.07%,5232347.0,86174.0,832040.0,232680,https://kr.tradingview.com/symbols/KRX-232680/
아진엑스텍 *,9880.0,+16.37%,5432750.0,57728.0,573994.0,059120,https://kr.tradingview.com/symbols/KRX-059120/
하이젠알앤엠 *,84700.0,+12.33%,1477555.0,126883.0,497586.0,160190,https://kr.tradingview.com/symbols/KRX-160190/
에스비비테크 *,78700.0,+10.07%,1504571.0,121418.0,378870.0,389500,https://kr.tradingview.com/symbols/KRX-389500/
알에스오토메이션 *,24450.0,+9.64%,1672365.0,41405.0,631499.0,140670,https://kr.tradingview.com/symbols/KRX-140670/
와이투솔루션,5490.0,+8.93%,5156994.0,28057.0,2317299.0,011690,https://kr.tradingview.com/symbols/KRX-011690/
뉴로메카 *,95700.0,+8.75%,2974922.0,284341.0,2788967.0,348340,https://kr.tradingview.com/symbols/KRX-348340/
삼현 *,69700.0,+8.06%,816660.0,55508.0,308362.0,437730,https://kr.tradingview.com/symbols/KRX-437730/
링크솔루션 *,64600.0,+7.85%,579534.0,37359.0,137504.0,474650,https://kr.tradingview.com/symbols/KRX-474650/
신성델타테크 *,72500.0,+7.25%,610588.0,43524.0,501022.0,065350,https://kr.tradingview.com/symbols/KRX-065350/
레인보우로보틱스 *,695000.0,+6.92%,793304.0,553365.0,566453.0,277810,https://kr.tradingview.com/symbols/KRX-277810/
우림피티에스 *,20450.0,+6.68%,826741.0,16824.0,548597.0,101170,https://kr.tradingview.com/symbols/KRX-101170/
로보티즈 *,307000.0,+5.86%,1026041.0,310379.0,918840.0,108490,https://kr.tradingview.com/symbols/KRX-108490/
한국피아이엠 *,73900.0,+5.12%,259974.0,19048.0,108895.0,448900,https://kr.tradingview.com/symbols/KRX-448900/
휴림로봇 *,15770.0,+4.99%,33235818.0,528258.0,31223376.0,090710,https://kr.tradingview.com/symbols/KRX-090710/
싸이맥스 *,17570.0,+4.96%,414056.0,7234.0,390730.0,160980,https://kr.tradingview.com/symbols/KRX-160980/
로보스타 *,89100.0,+4.70%,666246.0,60163.0,248432.0,090360,https://kr.tradingview.com/symbols/KRX-090360/
씨피시스템 *,4910.0,+3.81%,1375457.0,6724.0,1459949.0,413630,https://kr.tradingview.com/symbols/KRX-413630/
브이원텍 *,8000.0,+3.23%,381373.0,3066.0,391998.0,251630,https://kr.tradingview.com/symbols/KRX-251630/
클로봇 *,73500.0,+2.94%,1799391.0,134056.0,837921.0,466100,https://kr.tradingview.com/symbols/KRX-466100/
LIG넥스원,527000.0,+2.93%,102652.0,53623.0,104099.0,079550,https://kr.tradingview.com/symbols/KRX-079550/
제우스 *,20450.0,+2.92%,2750874.0,55022.0,9880838.0,079370,https://kr.tradingview.com/symbols/KRX-079370/
서암기계공업 *,5040.0,+2.44%,290764.0,1449.0,341232.0,100660,https://kr.tradingview.com/symbols/KRX-100660/
푸른기술 *,10980.0,+2.14%,639848.0,7117.0,693927.0,094940,https://kr.tradingview.com/symbols/KRX-094940/
한라캐스트 *,18950.0,+2.10%,1081188.0,20473.0,873140.0,125490,https://kr.tradingview.com/symbols/KRX-125490/
대동기어 *,17780.0,+1.95%,225748.0,3987.0,163330.0,008830,https://kr.tradingview.com/symbols/KRX-008830/
아이엘 *,4540.0,+1.91%,6179461.0,29110.0,4206811.0,307180,https://kr.tradingview.com/symbols/KRX-307180/
SJG세종,11060.0,+1.75%,968373.0,10775.0,991721.0,033530,https://kr.tradingview.com/symbols/KRX-033530/
포메탈 *,4830.0,+1.58%,546334.0,2673.0,358245.0,119500,https://kr.tradingview.com/symbols/KRX-119500/
두산로보틱스,120400.0,+1.52%,882417.0,106593.0,593474.0,454910,https://kr.tradingview.com/symbols/KRX-454910/
에스엘,57500.0,+1.41%,336551.0,19409.0,464105.0,005850,https://kr.tradingview.com/symbols/KRX-005850/
유일로보틱스 *,145700.0,+1.25%,617732.0,88088.0,1262642.0,388720,https://kr.tradingview.com/symbols/KRX-388720/
티로보틱스 *,25500.0,+1.19%,890591.0,22843.0,741021.0,117730,https://kr.tradingview.com/symbols/KRX-117730/
현대무벡스 *,31850.0,+1.11%,5764397.0,185412.0,6891711.0,319400,https://kr.tradingview.com/symbols/KRX-319400/
러셀 *,4180.0,+1.09%,1468297.0,6087.0,1016803.0,217500,https://kr.tradingview.com/symbols/KRX-217500/
