종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
태성 *,71200.0,+26.69%,2617290.0,175658.0,979319.0,323280,https://kr.tradingview.com/symbols/KRX-323280/
심텍 *,59700.0,+13.71%,3531100.0,203324.0,809498.0,222800,https://kr.tradingview.com/symbols/KRX-222800/
현우산업 *,3665.0,+13.47%,4185889.0,15232.0,70894.0,092300,https://kr.tradingview.com/symbols/KRX-092300/
시노펙스 *,7560.0,+13.00%,4550539.0,33188.0,1491107.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
코리아써키트,68000.0,+7.94%,401275.0,26683.0,459985.0,007810,https://kr.tradingview.com/symbols/KRX-007810/
대덕전자,54500.0,+7.07%,2178472.0,118240.0,709894.0,353200,https://kr.tradingview.com/symbols/KRX-353200/
롯데에너지머티리얼즈,42800.0,+6.07%,836332.0,34929.0,328150.0,020150,https://kr.tradingview.com/symbols/KRX-020150/
비에이치,17840.0,+6.06%,510844.0,9031.0,222444.0,090460,https://kr.tradingview.com/symbols/KRX-090460/
펨트론 *,18510.0,+5.95%,206142.0,3721.0,242270.0,168360,https://kr.tradingview.com/symbols/KRX-168360/
이수페타시스,125400.0,+5.47%,2207512.0,275675.0,947053.0,007660,https://kr.tradingview.com/symbols/KRX-007660/
필옵틱스 *,53200.0,+4.72%,1391485.0,72351.0,791617.0,161580,https://kr.tradingview.com/symbols/KRX-161580/
이브이첨단소재 *,2135.0,+4.15%,5663605.0,12222.0,6599221.0,131400,https://kr.tradingview.com/symbols/KRX-131400/
이녹스첨단소재 *,31000.0,+4.03%,821992.0,25045.0,599496.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
인터플렉스 *,11580.0,+3.21%,246618.0,2832.0,244672.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
티엘비 *,61700.0,+2.66%,317103.0,19487.0,193436.0,356860,https://kr.tradingview.com/symbols/KRX-356860/
아모그린텍 *,6830.0,+1.79%,150893.0,1019.0,122479.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
우리바이오 *,2065.0,+1.72%,495362.0,1020.0,252577.0,082850,https://kr.tradingview.com/symbols/KRX-082850/
와이엠티 *,11450.0,+1.69%,189809.0,2151.0,175753.0,251370,https://kr.tradingview.com/symbols/KRX-251370/
디에이피 *,1943.0,+1.57%,13618.0,26.0,16586.0,066900,https://kr.tradingview.com/symbols/KRX-066900/
뉴프렉스 *,6720.0,+1.51%,744384.0,4994.0,772706.0,085670,https://kr.tradingview.com/symbols/KRX-085670/
자비스 *,1496.0,+1.22%,313824.0,469.0,139206.0,254120,https://kr.tradingview.com/symbols/KRX-254120/
삼성전기,280000.0,+1.08%,678513.0,189153.0,676611.0,009150,https://kr.tradingview.com/symbols/KRX-009150/
상아프론테크 *,16460.0,+1.04%,45579.0,745.0,36255.0,089980,https://kr.tradingview.com/symbols/KRX-089980/
PI첨단소재,16500.0,+0.43%,105036.0,1721.0,84904.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
에이엔피,426.0,+0.24%,136624.0,58.0,123402.0,015260,https://kr.tradingview.com/symbols/KRX-015260/
화인써키트 *,5570.0,+0.18%,14108.0,78.0,9982.0,127980,https://kr.tradingview.com/symbols/KRX-127980/
성우테크론 *,3125.0,-0.48%,40850.0,127.0,20595.0,045300,https://kr.tradingview.com/symbols/KRX-045300/
타이거일렉 *,35200.0,-1.68%,50740.0,1800.0,73239.0,219130,https://kr.tradingview.com/symbols/KRX-219130/
네오티스 *,12050.0,-1.95%,255043.0,3083.0,353942.0,085910,https://kr.tradingview.com/symbols/KRX-085910/
와이제이링크 *,4225.0,-1.97%,901552.0,3849.0,1429442.0,209640,https://kr.tradingview.com/symbols/KRX-209640/
