종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
GST *,30300.0,+6.88%,916826.0,27101.0,425366.0,083450,https://kr.tradingview.com/symbols/KRX-083450/
유니셈 *,10650.0,+6.71%,764614.0,7942.0,319040.0,036200,https://kr.tradingview.com/symbols/KRX-036200/
한화에어로스페이스,1288000.0,+4.72%,180905.0,231289.0,154527.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
워트 *,7580.0,+2.99%,258369.0,1934.0,118182.0,396470,https://kr.tradingview.com/symbols/KRX-396470/
한중엔시에스 *,51600.0,+2.58%,237086.0,11991.0,306784.0,107640,https://kr.tradingview.com/symbols/KRX-107640/
SK,305500.0,+2.52%,289814.0,87335.0,209631.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
GS,64100.0,+0.31%,256840.0,16452.0,350371.0,078930,https://kr.tradingview.com/symbols/KRX-078930/
3S *,1496.0,-0.07%,342133.0,515.0,289605.0,060310,https://kr.tradingview.com/symbols/KRX-060310/
케이엔솔 *,12720.0,-0.08%,176995.0,2246.0,204996.0,053080,https://kr.tradingview.com/symbols/KRX-053080/
LG전자,99900.0,-1.38%,1273383.0,127780.0,1125191.0,066570,https://kr.tradingview.com/symbols/KRX-066570/
SK이노베이션,108200.0,-2.96%,1065781.0,115950.0,438428.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
