종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
에스앤에스텍 *,92800.0,+24.06%,1129100.0,95162.0,769817.0,101490,https://kr.tradingview.com/symbols/KRX-101490/
솔브레인 *,412500.0,+14.27%,172669.0,66473.0,128090.0,357780,https://kr.tradingview.com/symbols/KRX-357780/
동진쎄미켐 *,48450.0,+11.12%,2279660.0,104713.0,1074971.0,005290,https://kr.tradingview.com/symbols/KRX-005290/
켐트로스 *,6850.0,+8.73%,2353274.0,15728.0,820358.0,220260,https://kr.tradingview.com/symbols/KRX-220260/
경인양행,4835.0,+7.44%,3508790.0,16746.0,575332.0,012610,https://kr.tradingview.com/symbols/KRX-012610/
디이엔티 *,5640.0,+6.42%,309106.0,1702.0,159293.0,079810,https://kr.tradingview.com/symbols/KRX-079810/
후성,8450.0,+5.89%,2577933.0,21700.0,633893.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
이녹스첨단소재 *,31000.0,+4.03%,821992.0,25045.0,599496.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
삼양엔씨켐 *,28650.0,+2.69%,351955.0,9863.0,310430.0,482630,https://kr.tradingview.com/symbols/KRX-482630/
일지테크 *,4855.0,+1.89%,321604.0,1543.0,211379.0,019540,https://kr.tradingview.com/symbols/KRX-019540/
램테크놀러지 *,4070.0,+1.88%,154236.0,626.0,65149.0,171010,https://kr.tradingview.com/symbols/KRX-171010/
아진산업 *,3510.0,+1.74%,747381.0,2612.0,887439.0,013310,https://kr.tradingview.com/symbols/KRX-013310/
율촌화학,27700.0,+1.47%,108838.0,3008.0,69734.0,008730,https://kr.tradingview.com/symbols/KRX-008730/
PI첨단소재,16500.0,+0.43%,105036.0,1721.0,84904.0,178920,https://kr.tradingview.com/symbols/KRX-178920/
한화솔루션,28350.0,+0.35%,1100262.0,31076.0,1321689.0,009830,https://kr.tradingview.com/symbols/KRX-009830/
송원산업,9120.0,-0.22%,88213.0,803.0,78988.0,004430,https://kr.tradingview.com/symbols/KRX-004430/
삼륭물산 *,7060.0,-0.70%,63467.0,448.0,48574.0,014970,https://kr.tradingview.com/symbols/KRX-014970/
우리로 *,1449.0,-1.02%,792620.0,1157.0,768467.0,046970,https://kr.tradingview.com/symbols/KRX-046970/
풍원정밀 *,10820.0,-2.61%,66780.0,727.0,39524.0,371950,https://kr.tradingview.com/symbols/KRX-371950/
케이피엠테크 *,219.0,-4.37%,2480767.0,544.0,10543450.0,042040,https://kr.tradingview.com/symbols/KRX-042040/
