종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
경동인베스트,67200.0,+21.52%,458370.0,31564.0,6939.0,012320,https://kr.tradingview.com/symbols/KRX-012320/
나노 *,3595.0,+9.60%,926113.0,3245.0,305515.0,187790,https://kr.tradingview.com/symbols/KRX-187790/
나인테크 *,3490.0,+7.72%,6098260.0,20926.0,1704073.0,267320,https://kr.tradingview.com/symbols/KRX-267320/
아이크래프트 *,3375.0,+1.35%,63310.0,212.0,181745.0,052460,https://kr.tradingview.com/symbols/KRX-052460/
한국앤컴퍼니,26050.0,-0.57%,107759.0,2824.0,91558.0,000240,https://kr.tradingview.com/symbols/KRX-000240/
센코 *,2155.0,-0.69%,147074.0,317.0,95099.0,347000,https://kr.tradingview.com/symbols/KRX-347000/
휴비스,2500.0,-0.99%,142217.0,357.0,94085.0,079980,https://kr.tradingview.com/symbols/KRX-079980/
태경산업,4720.0,-1.15%,117515.0,556.0,73304.0,015890,https://kr.tradingview.com/symbols/KRX-015890/
티플랙스 *,3065.0,-1.61%,228914.0,701.0,91183.0,081150,https://kr.tradingview.com/symbols/KRX-081150/
아모센스 *,12540.0,-2.79%,381108.0,5063.0,454077.0,357580,https://kr.tradingview.com/symbols/KRX-357580/
