종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아이텍 *,7600.0,+15.33%,1935381.0,14194.0,192731.0,119830,https://kr.tradingview.com/symbols/KRX-119830/
GST *,30300.0,+6.88%,916826.0,27101.0,425366.0,083450,https://kr.tradingview.com/symbols/KRX-083450/
일신바이오 *,1652.0,+3.70%,2521943.0,4214.0,256233.0,068330,https://kr.tradingview.com/symbols/KRX-068330/
한익스프레스,2860.0,+1.96%,42262.0,119.0,13856.0,014130,https://kr.tradingview.com/symbols/KRX-014130/
대한과학 *,4785.0,+1.06%,57958.0,277.0,29055.0,131220,https://kr.tradingview.com/symbols/KRX-131220/
대창솔루션 *,2250.0,+0.90%,384800.0,859.0,522355.0,096350,https://kr.tradingview.com/symbols/KRX-096350/
지씨셀 *,26150.0,+0.58%,88063.0,2299.0,193206.0,144510,https://kr.tradingview.com/symbols/KRX-144510/
SCL사이언스 *,2300.0,-0.65%,41279.0,95.0,33947.0,246960,https://kr.tradingview.com/symbols/KRX-246960/
서린바이오 *,6650.0,-1.48%,75057.0,501.0,45443.0,038070,https://kr.tradingview.com/symbols/KRX-038070/
동아쏘시오홀딩스,108000.0,-1.64%,21467.0,2328.0,29821.0,000640,https://kr.tradingview.com/symbols/KRX-000640/
태경케미컬,7500.0,-1.83%,55814.0,421.0,23682.0,006890,https://kr.tradingview.com/symbols/KRX-006890/
HLB테라퓨틱스 *,3390.0,-3.14%,1153985.0,4003.0,790324.0,115450,https://kr.tradingview.com/symbols/KRX-115450/
