종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
뷰웍스 *,24900.0,+21.17%,666371.0,15856.0,29710.0,100120,https://kr.tradingview.com/symbols/KRX-100120/
베뉴지 *,3705.0,+12.61%,876460.0,3071.0,305314.0,019010,https://kr.tradingview.com/symbols/KRX-019010/
골프존 *,60200.0,+2.21%,59958.0,3561.0,49387.0,215000,https://kr.tradingview.com/symbols/KRX-215000/
라온피플 *,2195.0,+1.86%,384583.0,851.0,190069.0,300120,https://kr.tradingview.com/symbols/KRX-300120/
남화산업 *,4230.0,+1.32%,2383.0,10.0,2072.0,111710,https://kr.tradingview.com/symbols/KRX-111710/
미스토홀딩스,45700.0,+0.99%,87371.0,3995.0,122777.0,081660,https://kr.tradingview.com/symbols/KRX-081660/
아난티 *,8160.0,+0.87%,1152643.0,9322.0,1028698.0,025980,https://kr.tradingview.com/symbols/KRX-025980/
한세엠케이,640.0,+0.79%,68192.0,44.0,47224.0,069640,https://kr.tradingview.com/symbols/KRX-069640/
크리스에프앤씨 *,3995.0,+0.76%,19720.0,77.0,7371.0,110790,https://kr.tradingview.com/symbols/KRX-110790/
와이엔텍 *,6770.0,+0.74%,175328.0,1183.0,143973.0,067900,https://kr.tradingview.com/symbols/KRX-067900/
KX *,3470.0,-0.29%,82677.0,287.0,50391.0,122450,https://kr.tradingview.com/symbols/KRX-122450/
모나용평,3200.0,-0.62%,93486.0,298.0,92284.0,070960,https://kr.tradingview.com/symbols/KRX-070960/
골프존홀딩스 *,4620.0,-1.70%,88869.0,412.0,104682.0,121440,https://kr.tradingview.com/symbols/KRX-121440/
형지글로벌 *,1340.0,-2.55%,532775.0,718.0,434850.0,308100,https://kr.tradingview.com/symbols/KRX-308100/
브이씨 *,2855.0,-3.71%,26481.0,77.0,20692.0,365900,https://kr.tradingview.com/symbols/KRX-365900/
