종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
미투온 *,4360.0,+7.13%,2827785.0,11889.0,4158438.0,201490,https://kr.tradingview.com/symbols/KRX-201490/,2026.01.28,-7181,214056
컴퍼니케이 *,6940.0,+6.77%,535590.0,3632.0,1540246.0,307930,https://kr.tradingview.com/symbols/KRX-307930/,2026.01.28,0,-68848
아톤 *,7740.0,+5.88%,2064066.0,15748.0,2396832.0,158430,https://kr.tradingview.com/symbols/KRX-158430/,2026.01.28,3450,77647
갤럭시아머니트리 *,10800.0,+4.85%,566303.0,5966.0,998861.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,2026.01.28,-19204,102449
위메이드 *,33600.0,+4.51%,522144.0,17250.0,632927.0,112040,https://kr.tradingview.com/symbols/KRX-112040/,2026.01.28,201324,1711
다날 *,9310.0,+3.67%,16408684.0,151573.0,28582219.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,2026.01.28,-788846,357518
NAVER,287000.0,+3.42%,2810113.0,796856.0,2822531.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,2026.01.28,-187196,312550
카카오게임즈 *,17740.0,+3.14%,854276.0,15058.0,871893.0,293490,https://kr.tradingview.com/symbols/KRX-293490/,2026.01.28,398115,134419
핑거 *,12660.0,+3.01%,488473.0,6102.0,811620.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,2026.01.28,-50,106930
서울옥션 *,7840.0,+2.62%,168882.0,1293.0,239224.0,063170,https://kr.tradingview.com/symbols/KRX-063170/,2026.01.28,-31,10430
컴투스홀딩스 *,23300.0,+1.30%,113038.0,2637.0,215402.0,063080,https://kr.tradingview.com/symbols/KRX-063080/,2026.01.28,-5092,10744
엠게임 *,5800.0,+1.05%,94233.0,545.0,91465.0,058630,https://kr.tradingview.com/symbols/KRX-058630/,2026.01.28,-4744,27118
카카오,61800.0,0.00%,3194527.0,197050.0,3496009.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,2026.01.28,-53604,660234
갤럭시아에스엠,2005.0,0.00%,425697.0,849.0,302342.0,011420,https://kr.tradingview.com/symbols/KRX-011420/,2026.01.28,-60,22597
FSN *,1863.0,-1.01%,210676.0,387.0,156933.0,214270,https://kr.tradingview.com/symbols/KRX-214270/,2026.01.28,0,9558
삼성전자,160700.0,-1.05%,35771892.0,5776022.0,29456431.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.28,-900399,-1761499
빌리언스 *,271.0,-1.09%,419242.0,113.0,788387.0,044480,https://kr.tradingview.com/symbols/KRX-044480/,2026.01.28,0,48209
폴라리스오피스 *,4975.0,-1.09%,773587.0,3831.0,786392.0,041020,https://kr.tradingview.com/symbols/KRX-041020/,2026.01.28,-18107,147107
에이스토리 *,7280.0,-1.75%,83613.0,608.0,43901.0,241840,https://kr.tradingview.com/symbols/KRX-241840/,2026.01.28,1,-6424
초록뱀미디어 *,4740.0,-2.17%,98559.0,470.0,92065.0,047820,https://kr.tradingview.com/symbols/KRX-047820/,2026.01.28,0,-8505
