종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
노바텍 *,28700.0,+18.60%,1341843.0,37748.0,172068.0,285490,https://kr.tradingview.com/symbols/KRX-285490/,2026.01.28,-85,-44699
KH바텍 *,16610.0,+14.55%,9282334.0,154014.0,419912.0,060720,https://kr.tradingview.com/symbols/KRX-060720/,2026.01.28,-93,-3913
디케이티 *,10070.0,+14.17%,1714314.0,16383.0,885595.0,290550,https://kr.tradingview.com/symbols/KRX-290550/,2026.01.28,-14390,125607
코오롱인더,54300.0,+10.14%,776777.0,40006.0,404867.0,120110,https://kr.tradingview.com/symbols/KRX-120110/,2026.01.28,25302,3253
동운아나텍 *,29600.0,+6.09%,369564.0,10878.0,205321.0,094170,https://kr.tradingview.com/symbols/KRX-094170/,2026.01.28,-55,-11666
이녹스첨단소재 *,32600.0,+5.16%,1021432.0,32009.0,821992.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,2026.01.28,151653,55295
파인텍 *,805.0,+3.34%,212167.0,167.0,147602.0,131760,https://kr.tradingview.com/symbols/KRX-131760/,2026.01.28,0,4686
비에이치,18370.0,+2.97%,593618.0,10814.0,510844.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,2026.01.28,16055,189379
유티아이 *,25100.0,+1.21%,246047.0,6116.0,244113.0,179900,https://kr.tradingview.com/symbols/KRX-179900/,2026.01.28,142777,-13096
PI첨단소재,16630.0,+0.79%,135930.0,2240.0,105036.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,2026.01.28,-5699,-2884
파인엠텍 *,9520.0,+0.63%,521417.0,4879.0,426820.0,441270,https://kr.tradingview.com/symbols/KRX-441270/,2026.01.28,-9593,41350
상보 *,830.0,+0.61%,2446233.0,2081.0,595004.0,027580,https://kr.tradingview.com/symbols/KRX-027580/,2026.01.28,0,80950
원익큐브 *,2065.0,+0.49%,651670.0,1327.0,660386.0,014190,https://kr.tradingview.com/symbols/KRX-014190/,2026.01.28,0,134197
SKC,117300.0,+0.34%,482931.0,56198.0,395706.0,011790,https://kr.tradingview.com/symbols/KRX-011790/,2026.01.28,-7313,58347
에스코넥 *,714.0,+0.28%,414971.0,293.0,499011.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,2026.01.28,0,45890
세경하이테크 *,4955.0,+0.20%,173537.0,850.0,174752.0,148150,https://kr.tradingview.com/symbols/KRX-148150/,2026.01.28,4,34517
인터플렉스 *,11600.0,+0.17%,264818.0,3033.0,248389.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,2026.01.28,2769,71789
삼성전기,279500.0,-0.18%,612389.0,170096.0,678513.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,2026.01.28,-73807,73053
테이팩스,15300.0,-0.58%,38207.0,580.0,56428.0,055490,https://kr.tradingview.com/symbols/KRX-055490/,2026.01.28,-2411,-4546
도우인시스 *,25050.0,-0.60%,50775.0,1249.0,95950.0,484120,https://kr.tradingview.com/symbols/KRX-484120/,2026.01.28,-458,19079
삼성전자,160700.0,-1.05%,35771892.0,5776022.0,29456431.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.28,-900399,-1761499
LG디스플레이,11810.0,-2.64%,6295199.0,73742.0,4384851.0,034220,https://kr.tradingview.com/symbols/KRX-034220/,2026.01.28,-865830,-761134
켐트로닉스 *,35100.0,-3.04%,814940.0,28633.0,657521.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,2026.01.28,-114,74445
LG화학,343000.0,-3.11%,434826.0,148768.0,456693.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,2026.01.28,-24451,35096
