종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
차바이오텍 *,23850.0,+18.36%,3424875.0,78952.0,1785150.0,085660,https://kr.tradingview.com/symbols/KRX-085660/,2026.01.28,279150,-40415
뷰웍스 *,29300.0,+17.67%,1126183.0,31952.0,669613.0,100120,https://kr.tradingview.com/symbols/KRX-100120/,2026.01.28,-890,21994
인터로조 *,18250.0,+10.47%,297934.0,5394.0,40788.0,119610,https://kr.tradingview.com/symbols/KRX-119610/,2026.01.28,2364,-718
코오롱티슈진 *,104300.0,+7.30%,1307238.0,137000.0,904992.0,950160,https://kr.tradingview.com/symbols/KRX-950160/,2026.01.28,-62656,81098
오스코텍 *,55600.0,+6.31%,899272.0,49184.0,663585.0,039200,https://kr.tradingview.com/symbols/KRX-039200/,2026.01.28,366219,-84739
메디포스트 *,25100.0,+5.02%,896776.0,22018.0,1559894.0,078160,https://kr.tradingview.com/symbols/KRX-078160/,2026.01.28,263843,126832
JW중외제약,31700.0,+4.62%,346674.0,10905.0,186160.0,001060,https://kr.tradingview.com/symbols/KRX-001060/,2026.01.28,10133,5074
인피니트헬스케어 *,7080.0,+4.27%,597671.0,4364.0,329011.0,071200,https://kr.tradingview.com/symbols/KRX-071200/,2026.01.28,-12,-63502
비트컴퓨터 *,5050.0,+4.02%,293786.0,1462.0,128338.0,032850,https://kr.tradingview.com/symbols/KRX-032850/,2026.01.28,1,16606
인바디 *,32500.0,+3.50%,38139.0,1234.0,36304.0,041830,https://kr.tradingview.com/symbols/KRX-041830/,2026.01.28,104,7018
바텍 *,20600.0,+3.41%,78994.0,1613.0,24879.0,043150,https://kr.tradingview.com/symbols/KRX-043150/,2026.01.28,-503,6436
유비케어 *,4070.0,+3.04%,729970.0,2939.0,264594.0,032620,https://kr.tradingview.com/symbols/KRX-032620/,2026.01.28,-419,9155
테라젠이텍스 *,3060.0,+1.83%,243007.0,735.0,155129.0,066700,https://kr.tradingview.com/symbols/KRX-066700/,2026.01.28,-3823,2761
큐렉소 *,19250.0,+1.74%,2314114.0,44980.0,1634741.0,060280,https://kr.tradingview.com/symbols/KRX-060280/,2026.01.28,261998,60277
휴비츠 *,8950.0,+1.70%,119334.0,1058.0,136479.0,065510,https://kr.tradingview.com/symbols/KRX-065510/,2026.01.28,1385,10407
마크로젠 *,17270.0,+1.65%,46143.0,787.0,38274.0,038290,https://kr.tradingview.com/symbols/KRX-038290/,2026.01.28,0,-6597
인성정보 *,1776.0,+1.54%,704432.0,1238.0,443709.0,033230,https://kr.tradingview.com/symbols/KRX-033230/,2026.01.28,0,74174
녹십자홀딩스,15830.0,+1.54%,119406.0,1864.0,105691.0,005250,https://kr.tradingview.com/symbols/KRX-005250/,2026.01.28,-12843,16335
씨유메디칼 *,624.0,+0.97%,283869.0,176.0,453311.0,115480,https://kr.tradingview.com/symbols/KRX-115480/,2026.01.28,0,52403
메타바이오메드 *,4945.0,+0.92%,385459.0,1895.0,496814.0,059210,https://kr.tradingview.com/symbols/KRX-059210/,2026.01.28,-21,-19686
아이센스 *,16020.0,+0.50%,123321.0,1980.0,128203.0,099190,https://kr.tradingview.com/symbols/KRX-099190/,2026.01.28,-3722,21084
신흥,13590.0,+0.44%,17696.0,240.0,11671.0,004080,https://kr.tradingview.com/symbols/KRX-004080/,2026.01.28,3165,-21
현대바이오랜드 *,4385.0,+0.23%,103952.0,453.0,174283.0,052260,https://kr.tradingview.com/symbols/KRX-052260/,2026.01.28,-440,-7387
세운메디칼 *,2385.0,+0.21%,55992.0,133.0,43523.0,100700,https://kr.tradingview.com/symbols/KRX-100700/,2026.01.28,1314,-3385
피제이전자 *,8240.0,+0.12%,370666.0,3011.0,323242.0,006140,https://kr.tradingview.com/symbols/KRX-006140/,2026.01.28,-5704,7176
대원제약,11600.0,-0.09%,54347.0,624.0,79705.0,003220,https://kr.tradingview.com/symbols/KRX-003220/,2026.01.28,-2622,-17251
나노엔텍 *,5230.0,-0.19%,654470.0,3411.0,620587.0,039860,https://kr.tradingview.com/symbols/KRX-039860/,2026.01.28,1,88358
오텍 *,1908.0,-0.21%,73397.0,139.0,127665.0,067170,https://kr.tradingview.com/symbols/KRX-067170/,2026.01.28,-1000,-26487
퓨쳐켐 *,25750.0,-0.39%,225704.0,5828.0,281471.0,220100,https://kr.tradingview.com/symbols/KRX-220100/,2026.01.28,24137,-62071
삼성전자,160700.0,-1.05%,35771892.0,5776022.0,29456431.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.28,-900399,-1761499
엔지켐생명과학 *,1302.0,-1.21%,357406.0,465.0,932759.0,183490,https://kr.tradingview.com/symbols/KRX-183490/,2026.01.28,-254251,-37052
피앤에스로보틱스 *,12010.0,-2.28%,516139.0,6167.0,1430734.0,460940,https://kr.tradingview.com/symbols/KRX-460940/,2026.01.28,-350,148812
LG화학,343000.0,-3.11%,434826.0,148768.0,456693.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,2026.01.28,-24451,35096
원익 *,14460.0,-3.34%,1067049.0,15731.0,2519339.0,032940,https://kr.tradingview.com/symbols/KRX-032940/,2026.01.28,10,237822
HLB제약 *,19170.0,-4.10%,388029.0,7429.0,719232.0,047920,https://kr.tradingview.com/symbols/KRX-047920/,2026.01.28,-5513,-110699
앱클론 *,62700.0,-4.71%,447180.0,28233.0,366946.0,174900,https://kr.tradingview.com/symbols/KRX-174900/,2026.01.28,-25187,-20133
