종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
켄코아에어로스페이스 *,29850.0,+23.86%,8005069.0,229942.0,1569212.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
인텔리안테크 *,105200.0,+20.92%,874617.0,84041.0,326313.0,189300,https://kr.tradingview.com/symbols/KRX-189300/
나라스페이스테크놀로지 *,58500.0,+19.14%,5323226.0,286098.0,913079.0,478340,https://kr.tradingview.com/symbols/KRX-478340/
쎄트렉아이 *,178100.0,+18.73%,668938.0,114662.0,238519.0,099320,https://kr.tradingview.com/symbols/KRX-099320/
스피어 *,25800.0,+14.92%,5380587.0,137123.0,2636799.0,347700,https://kr.tradingview.com/symbols/KRX-347700/
에스에프에이 *,35600.0,+14.84%,685144.0,22704.0,298893.0,056190,https://kr.tradingview.com/symbols/KRX-056190/
이노스페이스 *,22900.0,+13.37%,2949869.0,64194.0,902964.0,462350,https://kr.tradingview.com/symbols/KRX-462350/
한양이엔지 *,32750.0,+12.54%,1052307.0,33404.0,741912.0,045100,https://kr.tradingview.com/symbols/KRX-045100/
루미르 *,15160.0,+10.66%,4685346.0,69773.0,1061082.0,474170,https://kr.tradingview.com/symbols/KRX-474170/
파이버프로 *,17460.0,+9.06%,1977302.0,34564.0,537502.0,368770,https://kr.tradingview.com/symbols/KRX-368770/
에이치브이엠 *,91700.0,+8.91%,924572.0,83249.0,395513.0,295310,https://kr.tradingview.com/symbols/KRX-295310/
비츠로넥스텍 *,24800.0,+7.59%,1059092.0,25288.0,719655.0,488900,https://kr.tradingview.com/symbols/KRX-488900/
상아프론테크 *,17700.0,+7.53%,186495.0,3234.0,45579.0,089980,https://kr.tradingview.com/symbols/KRX-089980/
그린광학 *,34000.0,+7.09%,1538630.0,50408.0,560880.0,0015G0,https://kr.tradingview.com/symbols/KRX-000150/
세아베스틸지주,73100.0,+7.03%,624513.0,44995.0,272796.0,001430,https://kr.tradingview.com/symbols/KRX-001430/
덕산하이메탈 *,8430.0,+6.84%,5268968.0,44058.0,2211697.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
제노코 *,26900.0,+6.53%,718054.0,18871.0,417057.0,361390,https://kr.tradingview.com/symbols/KRX-361390/
컨텍 *,21950.0,+6.04%,2499966.0,54434.0,1012408.0,451760,https://kr.tradingview.com/symbols/KRX-451760/
AP위성 *,20050.0,+5.75%,4224531.0,84441.0,792844.0,211270,https://kr.tradingview.com/symbols/KRX-211270/
이녹스첨단소재 *,32600.0,+5.16%,1021432.0,32009.0,821992.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
LK삼양 *,1560.0,+4.91%,5395860.0,8325.0,1894711.0,225190,https://kr.tradingview.com/symbols/KRX-225190/
한화,119000.0,+4.85%,675474.0,78148.0,442981.0,000880,https://kr.tradingview.com/symbols/KRX-000880/
한화시스템,92800.0,+4.27%,3059782.0,277561.0,1266337.0,272210,https://kr.tradingview.com/symbols/KRX-272210/
비츠로테크 *,10880.0,+3.62%,870321.0,9317.0,571997.0,042370,https://kr.tradingview.com/symbols/KRX-042370/
퍼스텍,4500.0,+3.21%,1631446.0,7200.0,885841.0,010820,https://kr.tradingview.com/symbols/KRX-010820/
센서뷰 *,3860.0,+2.80%,8380279.0,32862.0,14827277.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
태웅 *,32200.0,+1.58%,328684.0,10710.0,310123.0,044490,https://kr.tradingview.com/symbols/KRX-044490/
현대로템,226500.0,+1.57%,1135791.0,253628.0,1400214.0,064350,https://kr.tradingview.com/symbols/KRX-064350/
한국항공우주,168900.0,+1.26%,977458.0,162765.0,886028.0,047810,https://kr.tradingview.com/symbols/KRX-047810/
한화에어로스페이스,1300000.0,+0.93%,226680.0,293871.0,180905.0,012450,https://kr.tradingview.com/symbols/KRX-012450/
한글과컴퓨터 *,26450.0,-0.38%,391392.0,10234.0,906122.0,030520,https://kr.tradingview.com/symbols/KRX-030520/
LIG넥스원,525000.0,-0.38%,99764.0,51918.0,102652.0,079550,https://kr.tradingview.com/symbols/KRX-079550/
대한항공,23700.0,-0.42%,2672276.0,62716.0,2266467.0,003490,https://kr.tradingview.com/symbols/KRX-003490/
서남 *,3025.0,-1.14%,621536.0,1872.0,862256.0,294630,https://kr.tradingview.com/symbols/KRX-294630/
이수페타시스,117900.0,-5.98%,2733039.0,324325.0,2207512.0,007660,https://kr.tradingview.com/symbols/KRX-007660/
