종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
LS머트리얼즈 *,16600.0,+10.67%,7018546.0,114468.0,2012788.0,417200,https://kr.tradingview.com/symbols/KRX-417200/
LS,236500.0,+7.99%,347929.0,78702.0,220088.0,006260,https://kr.tradingview.com/symbols/KRX-006260/
동국산업 *,2960.0,+5.15%,377345.0,1082.0,165235.0,005160,https://kr.tradingview.com/symbols/KRX-005160/
우림피티에스 *,21400.0,+4.65%,544736.0,11121.0,834625.0,101170,https://kr.tradingview.com/symbols/KRX-101170/
효성,157800.0,+4.16%,58391.0,9038.0,53918.0,004800,https://kr.tradingview.com/symbols/KRX-004800/
한전기술,138800.0,+3.66%,942105.0,131334.0,596972.0,052690,https://kr.tradingview.com/symbols/KRX-052690/
금양그린파워 *,11030.0,+3.47%,143866.0,1584.0,113807.0,282720,https://kr.tradingview.com/symbols/KRX-282720/
SK이터닉스,20450.0,+3.23%,586895.0,12002.0,245077.0,475150,https://kr.tradingview.com/symbols/KRX-475150/
우리기술 *,9010.0,+3.09%,17670308.0,156632.0,21295401.0,032820,https://kr.tradingview.com/symbols/KRX-032820/
대명에너지 *,17560.0,+2.99%,55208.0,960.0,37528.0,389260,https://kr.tradingview.com/symbols/KRX-389260/
현대건설,108700.0,+2.84%,1575883.0,170424.0,1384140.0,000720,https://kr.tradingview.com/symbols/KRX-000720/
한국전력,61000.0,+2.69%,3765251.0,228268.0,3560872.0,015760,https://kr.tradingview.com/symbols/KRX-015760/
두산에너빌리티,94000.0,+2.17%,10180257.0,959147.0,6937694.0,034020,https://kr.tradingview.com/symbols/KRX-034020/
LS마린솔루션 *,31950.0,+2.08%,479399.0,15064.0,447251.0,060370,https://kr.tradingview.com/symbols/KRX-060370/
씨에스윈드,40750.0,+1.75%,336189.0,13562.0,254743.0,112610,https://kr.tradingview.com/symbols/KRX-112610/
태웅 *,32200.0,+1.58%,328684.0,10710.0,310123.0,044490,https://kr.tradingview.com/symbols/KRX-044490/
SK오션플랜트,19050.0,+1.44%,550882.0,10316.0,566259.0,100090,https://kr.tradingview.com/symbols/KRX-100090/
코오롱글로벌,9030.0,+1.35%,49780.0,443.0,36264.0,003070,https://kr.tradingview.com/symbols/KRX-003070/
포메탈 *,4890.0,+1.24%,449723.0,2128.0,550400.0,119500,https://kr.tradingview.com/symbols/KRX-119500/
씨에스베어링 *,5970.0,+1.19%,163384.0,967.0,219023.0,297090,https://kr.tradingview.com/symbols/KRX-297090/
서암기계공업 *,5100.0,+1.19%,218718.0,1095.0,291513.0,100660,https://kr.tradingview.com/symbols/KRX-100660/
효성중공업,2546000.0,+1.11%,77104.0,193952.0,74340.0,298040,https://kr.tradingview.com/symbols/KRX-298040/
세아제강,119700.0,+0.93%,10305.0,1220.0,8549.0,306200,https://kr.tradingview.com/symbols/KRX-306200/
삼일씨엔에스,5950.0,+0.85%,25755.0,151.0,90886.0,004440,https://kr.tradingview.com/symbols/KRX-004440/
세아제강지주,136300.0,+0.74%,23408.0,3153.0,23804.0,003030,https://kr.tradingview.com/symbols/KRX-003030/
스페코 *,2545.0,+0.59%,88511.0,223.0,150121.0,013810,https://kr.tradingview.com/symbols/KRX-013810/
세진중공업,19660.0,+0.46%,307089.0,5933.0,300593.0,075580,https://kr.tradingview.com/symbols/KRX-075580/
씨엔플러스 *,324.0,+0.31%,59102.0,19.0,425420.0,115530,https://kr.tradingview.com/symbols/KRX-115530/
케이피에프 *,5940.0,+0.17%,280745.0,1646.0,329306.0,024880,https://kr.tradingview.com/symbols/KRX-024880/
유니슨 *,994.0,0.00%,2299711.0,2274.0,4053261.0,018000,https://kr.tradingview.com/symbols/KRX-018000/
대창솔루션 *,2245.0,-0.22%,353331.0,784.0,385347.0,096350,https://kr.tradingview.com/symbols/KRX-096350/
LS에코에너지,41800.0,-0.48%,243021.0,9949.0,271741.0,229640,https://kr.tradingview.com/symbols/KRX-229640/
동국S&C *,1921.0,-0.62%,257750.0,494.0,213140.0,100130,https://kr.tradingview.com/symbols/KRX-100130/
삼영엠텍 *,14810.0,-0.80%,452115.0,6583.0,616834.0,054540,https://kr.tradingview.com/symbols/KRX-054540/
POSCO홀딩스,364000.0,-3.70%,1000280.0,365859.0,1185336.0,005490,https://kr.tradingview.com/symbols/KRX-005490/
