종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아주IB투자 *,4510.0,+29.97%,30483177.0,122299.0,2190665.0,027360,https://kr.tradingview.com/symbols/KRX-027360/
미래에셋벤처투자 *,19200.0,+28.95%,16527413.0,294633.0,1279540.0,100790,https://kr.tradingview.com/symbols/KRX-100790/
켄코아에어로스페이스 *,29850.0,+23.86%,8004565.0,229926.0,1569212.0,274090,https://kr.tradingview.com/symbols/KRX-274090/
미래에셋증권,40850.0,+17.39%,19734638.0,756532.0,4579622.0,006800,https://kr.tradingview.com/symbols/KRX-006800/
스피어 *,25800.0,+14.92%,5380587.0,137123.0,2636799.0,347700,https://kr.tradingview.com/symbols/KRX-347700/
나노팀 *,11070.0,+10.70%,7937189.0,87503.0,1559009.0,417010,https://kr.tradingview.com/symbols/KRX-417010/
에이치브이엠 *,91700.0,+8.91%,924572.0,83249.0,395513.0,295310,https://kr.tradingview.com/symbols/KRX-295310/
세아베스틸지주,73100.0,+7.03%,624513.0,44995.0,272796.0,001430,https://kr.tradingview.com/symbols/KRX-001430/
와이제이링크 *,4510.0,+6.75%,2672794.0,11697.0,911273.0,209640,https://kr.tradingview.com/symbols/KRX-209640/
이녹스첨단소재 *,32600.0,+5.16%,1021432.0,32009.0,821992.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
센서뷰 *,3860.0,+2.80%,8380279.0,32862.0,14827277.0,321370,https://kr.tradingview.com/symbols/KRX-321370/
LG에너지솔루션,416500.0,-3.36%,708586.0,295967.0,1462794.0,373220,https://kr.tradingview.com/symbols/KRX-373220/
