종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
신라젠 *,4975.0,+29.90%,17419935.0,79880.0,4182695.0,215600,https://kr.tradingview.com/symbols/KRX-215600/
차바이오텍 *,23850.0,+18.36%,3424875.0,78952.0,1785150.0,085660,https://kr.tradingview.com/symbols/KRX-085660/
헬릭스미스 *,6480.0,+10.96%,1689586.0,10837.0,454655.0,084990,https://kr.tradingview.com/symbols/KRX-084990/
큐라클 *,9720.0,+9.34%,1080216.0,10288.0,466032.0,365270,https://kr.tradingview.com/symbols/KRX-365270/
티움바이오 *,6280.0,+8.46%,399939.0,2424.0,140308.0,321550,https://kr.tradingview.com/symbols/KRX-321550/
에이비프로바이오 *,202.0,+8.02%,7653845.0,1503.0,2039573.0,195990,https://kr.tradingview.com/symbols/KRX-195990/
메드팩토 *,7280.0,+7.22%,723693.0,5086.0,545246.0,235980,https://kr.tradingview.com/symbols/KRX-235980/
박셀바이오 *,10980.0,+6.40%,1488191.0,16341.0,706467.0,323990,https://kr.tradingview.com/symbols/KRX-323990/
오스코텍 *,55600.0,+6.31%,899272.0,49184.0,663585.0,039200,https://kr.tradingview.com/symbols/KRX-039200/
에스티큐브 *,8390.0,+5.01%,528869.0,4376.0,852610.0,052020,https://kr.tradingview.com/symbols/KRX-052020/
지씨셀 *,27200.0,+4.02%,272288.0,7473.0,88063.0,144510,https://kr.tradingview.com/symbols/KRX-144510/
제넥신 *,5330.0,+3.90%,684638.0,3591.0,484455.0,095700,https://kr.tradingview.com/symbols/KRX-095700/
압타바이오 *,9050.0,+3.55%,283124.0,2538.0,376161.0,293780,https://kr.tradingview.com/symbols/KRX-293780/
리가켐바이오 *,209000.0,+3.21%,771316.0,160082.0,851633.0,141080,https://kr.tradingview.com/symbols/KRX-141080/
큐리언트 *,35700.0,+3.03%,354789.0,12483.0,561439.0,115180,https://kr.tradingview.com/symbols/KRX-115180/
샤페론 *,1969.0,+1.92%,1081049.0,2094.0,983269.0,378800,https://kr.tradingview.com/symbols/KRX-378800/
안국약품 *,8590.0,+1.90%,57425.0,485.0,39089.0,001540,https://kr.tradingview.com/symbols/KRX-001540/
에이비엘바이오 *,245500.0,+1.66%,1876152.0,464394.0,1858051.0,298380,https://kr.tradingview.com/symbols/KRX-298380/
에임드바이오 *,58000.0,+1.40%,480935.0,27998.0,408478.0,0009K0,https://kr.tradingview.com/symbols/KRX-000090/
유틸렉스 *,740.0,+1.37%,186221.0,136.0,307585.0,263050,https://kr.tradingview.com/symbols/KRX-263050/
네오이뮨텍 *,755.0,+1.21%,2398444.0,1765.0,2524350.0,950220,https://kr.tradingview.com/symbols/KRX-950220/
바이젠셀 *,8340.0,+0.60%,488535.0,4057.0,735926.0,308080,https://kr.tradingview.com/symbols/KRX-308080/
유한양행,110200.0,+0.46%,408508.0,44933.0,557283.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
셀리드 *,3435.0,+0.15%,8718060.0,30718.0,4284757.0,299660,https://kr.tradingview.com/symbols/KRX-299660/
에이프릴바이오 *,57800.0,-0.86%,426438.0,24655.0,710529.0,397030,https://kr.tradingview.com/symbols/KRX-397030/
와이바이오로직스 *,25400.0,-0.97%,180675.0,4558.0,271680.0,338840,https://kr.tradingview.com/symbols/KRX-338840/
이수앱지스 *,5970.0,-1.16%,242835.0,1441.0,383870.0,086890,https://kr.tradingview.com/symbols/KRX-086890/
이뮨온시아 *,11170.0,-1.24%,719053.0,8004.0,964054.0,424870,https://kr.tradingview.com/symbols/KRX-424870/
더코디 *,3895.0,-1.39%,87080.0,337.0,365963.0,224060,https://kr.tradingview.com/symbols/KRX-224060/
동아에스티,54600.0,-1.44%,32163.0,1763.0,36098.0,170900,https://kr.tradingview.com/symbols/KRX-170900/
지아이이노베이션 *,16250.0,-1.52%,924667.0,15027.0,893743.0,358570,https://kr.tradingview.com/symbols/KRX-358570/
CG인바이츠 *,1270.0,-2.31%,225367.0,289.0,358191.0,083790,https://kr.tradingview.com/symbols/KRX-083790/
HLB *,65300.0,-2.83%,2291142.0,150127.0,2855607.0,028300,https://kr.tradingview.com/symbols/KRX-028300/
앱클론 *,62700.0,-4.71%,447180.0,28233.0,366946.0,174900,https://kr.tradingview.com/symbols/KRX-174900/
압타머사이언스 *,1109.0,-5.86%,2481519.0,2939.0,603540.0,291650,https://kr.tradingview.com/symbols/KRX-291650/
