종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
한화투자증권,6610.0,+8.54%,18382171.0,118037.0,8882950.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
매커스 *,23450.0,+8.06%,197915.0,4485.0,58593.0,093520,https://kr.tradingview.com/symbols/KRX-093520/
TS인베스트먼트 *,1438.0,+6.91%,904556.0,1271.0,263249.0,246690,https://kr.tradingview.com/symbols/KRX-246690/
에이티넘인베스트 *,3465.0,+6.13%,3135922.0,10623.0,1828962.0,021080,https://kr.tradingview.com/symbols/KRX-021080/
갤럭시아머니트리 *,10800.0,+4.85%,566303.0,5966.0,998861.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
위메이드 *,33600.0,+4.51%,522144.0,17250.0,632927.0,112040,https://kr.tradingview.com/symbols/KRX-112040/
우리기술투자 *,8650.0,+4.47%,2571892.0,21862.0,1948319.0,041190,https://kr.tradingview.com/symbols/KRX-041190/
네오위즈 *,30950.0,+4.21%,221768.0,6710.0,317271.0,095660,https://kr.tradingview.com/symbols/KRX-095660/
다날 *,9310.0,+3.67%,16408684.0,151573.0,28582219.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
위지트 *,720.0,+3.45%,961123.0,676.0,1003768.0,036090,https://kr.tradingview.com/symbols/KRX-036090/
티사이언티픽 *,838.0,+2.44%,380161.0,314.0,293417.0,057680,https://kr.tradingview.com/symbols/KRX-057680/
SBI인베스트먼트 *,765.0,+2.14%,1313565.0,994.0,654374.0,019550,https://kr.tradingview.com/symbols/KRX-019550/
감성코퍼레이션 *,6590.0,+1.38%,1367564.0,8927.0,1433366.0,036620,https://kr.tradingview.com/symbols/KRX-036620/
KG모빌리언스 *,5450.0,+1.30%,661092.0,3541.0,6076275.0,046440,https://kr.tradingview.com/symbols/KRX-046440/
컴투스홀딩스 *,23300.0,+1.30%,113038.0,2637.0,215402.0,063080,https://kr.tradingview.com/symbols/KRX-063080/
엠게임 *,5800.0,+1.05%,94233.0,545.0,91465.0,058630,https://kr.tradingview.com/symbols/KRX-058630/
네오위즈홀딩스 *,27450.0,+0.92%,13297.0,362.0,21280.0,042420,https://kr.tradingview.com/symbols/KRX-042420/
비트플래닛 *,903.0,+0.44%,1637250.0,1431.0,749080.0,049470,https://kr.tradingview.com/symbols/KRX-049470/
인바이오젠,11860.0,+0.42%,20370.0,243.0,21056.0,101140,https://kr.tradingview.com/symbols/KRX-101140/
카카오,61800.0,0.00%,3194527.0,197050.0,3496009.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
제이씨현시스템 *,4265.0,-0.70%,124848.0,530.0,137326.0,033320,https://kr.tradingview.com/symbols/KRX-033320/
비트맥스 *,1898.0,-0.84%,386734.0,737.0,491268.0,377030,https://kr.tradingview.com/symbols/KRX-377030/
FSN *,1863.0,-1.01%,210676.0,387.0,156933.0,214270,https://kr.tradingview.com/symbols/KRX-214270/
SGA솔루션즈 *,605.0,-2.73%,281018.0,171.0,244061.0,184230,https://kr.tradingview.com/symbols/KRX-184230/
