종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
코오롱인더,54300.0,+10.14%,776777.0,40006.0,404867.0,120110,https://kr.tradingview.com/symbols/KRX-120110/
한화투자증권,6610.0,+8.54%,18382171.0,118037.0,8882950.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
TS인베스트먼트 *,1438.0,+6.91%,904556.0,1271.0,263249.0,246690,https://kr.tradingview.com/symbols/KRX-246690/
코오롱,57900.0,+6.43%,132035.0,7444.0,66602.0,002020,https://kr.tradingview.com/symbols/KRX-002020/
에이티넘인베스트 *,3465.0,+6.13%,3135922.0,10623.0,1828962.0,021080,https://kr.tradingview.com/symbols/KRX-021080/
신성이엔지,1810.0,+5.85%,20830916.0,37787.0,2388003.0,011930,https://kr.tradingview.com/symbols/KRX-011930/
우리기술투자 *,8650.0,+4.47%,2571892.0,21862.0,1948319.0,041190,https://kr.tradingview.com/symbols/KRX-041190/
DSC인베스트먼트 *,8540.0,+4.27%,4877423.0,41715.0,1538023.0,241520,https://kr.tradingview.com/symbols/KRX-241520/
네오위즈 *,30950.0,+4.21%,221768.0,6710.0,317271.0,095660,https://kr.tradingview.com/symbols/KRX-095660/
대성창투 *,1667.0,+3.35%,552291.0,907.0,405399.0,027830,https://kr.tradingview.com/symbols/KRX-027830/
카카오,61800.0,0.00%,3194527.0,197050.0,3496009.0,035720,https://kr.tradingview.com/symbols/KRX-035720/
