종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
고려아연,1959000.0,+8.77%,113383.0,217124.0,53842.0,010130,https://kr.tradingview.com/symbols/KRX-010130/
알멕 *,62200.0,+7.06%,139473.0,8413.0,125749.0,354320,https://kr.tradingview.com/symbols/KRX-354320/
삼아알미늄,31100.0,+5.78%,317073.0,9511.0,270382.0,006110,https://kr.tradingview.com/symbols/KRX-006110/
서원,1300.0,+5.61%,2148837.0,2742.0,640160.0,021050,https://kr.tradingview.com/symbols/KRX-021050/
이구산업,6190.0,+5.09%,2792756.0,17035.0,855247.0,025820,https://kr.tradingview.com/symbols/KRX-025820/
영풍,66300.0,+4.91%,84838.0,5553.0,62586.0,000670,https://kr.tradingview.com/symbols/KRX-000670/
풍산,129500.0,+3.93%,592726.0,74991.0,261713.0,103140,https://kr.tradingview.com/symbols/KRX-103140/
대창,1437.0,+3.90%,3369830.0,4784.0,1086521.0,012800,https://kr.tradingview.com/symbols/KRX-012800/
현대비앤지스틸,13470.0,+3.46%,217678.0,2833.0,189203.0,004560,https://kr.tradingview.com/symbols/KRX-004560/
풍산홀딩스,40900.0,+3.28%,55095.0,2207.0,26892.0,005810,https://kr.tradingview.com/symbols/KRX-005810/
알루코,2290.0,+2.92%,4887548.0,11370.0,1441007.0,001780,https://kr.tradingview.com/symbols/KRX-001780/
조일알미늄,1310.0,+2.75%,1603330.0,2068.0,918267.0,018470,https://kr.tradingview.com/symbols/KRX-018470/
황금에스티,5940.0,+1.54%,49048.0,289.0,54451.0,032560,https://kr.tradingview.com/symbols/KRX-032560/
남선알미늄,1239.0,+1.39%,3370653.0,4153.0,2772217.0,008350,https://kr.tradingview.com/symbols/KRX-008350/
티플랙스 *,3095.0,+0.98%,247960.0,758.0,229611.0,081150,https://kr.tradingview.com/symbols/KRX-081150/
포스코엠텍 *,20600.0,+0.73%,1254849.0,25424.0,3740223.0,009520,https://kr.tradingview.com/symbols/KRX-009520/
국일신동 *,1597.0,+0.44%,38311.0,61.0,72442.0,060480,https://kr.tradingview.com/symbols/KRX-060480/
그린플러스 *,5480.0,+0.37%,53575.0,291.0,60125.0,186230,https://kr.tradingview.com/symbols/KRX-186230/
한주라이트메탈 *,775.0,0.00%,240963.0,185.0,403632.0,198940,https://kr.tradingview.com/symbols/KRX-198940/
태경산업,4720.0,0.00%,88456.0,414.0,117566.0,015890,https://kr.tradingview.com/symbols/KRX-015890/
쎄니트 *,1777.0,-0.22%,12593.0,22.0,33474.0,037760,https://kr.tradingview.com/symbols/KRX-037760/
피제이메탈 *,2990.0,-0.33%,243702.0,721.0,92066.0,128660,https://kr.tradingview.com/symbols/KRX-128660/
대호에이엘,1410.0,-0.49%,464629.0,654.0,488471.0,069460,https://kr.tradingview.com/symbols/KRX-069460/
DI동일,20050.0,-0.99%,76689.0,1527.0,34308.0,001530,https://kr.tradingview.com/symbols/KRX-001530/
이렘 *,591.0,-1.50%,566087.0,331.0,659063.0,009730,https://kr.tradingview.com/symbols/KRX-009730/
대양금속,1297.0,-1.97%,371100.0,483.0,135598.0,009190,https://kr.tradingview.com/symbols/KRX-009190/
