종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
LS머트리얼즈 *,16600.0,+10.67%,7018546.0,114468.0,2012788.0,417200,https://kr.tradingview.com/symbols/KRX-417200/
아모센스 *,13700.0,+9.25%,333464.0,4441.0,381822.0,357580,https://kr.tradingview.com/symbols/KRX-357580/
비에이치아이 *,79000.0,+8.67%,2140874.0,166522.0,1110417.0,083650,https://kr.tradingview.com/symbols/KRX-083650/
엘티씨 *,28300.0,+4.04%,502215.0,13888.0,310709.0,170920,https://kr.tradingview.com/symbols/KRX-170920/
미코 *,16930.0,+3.61%,1235005.0,20518.0,1196995.0,059090,https://kr.tradingview.com/symbols/KRX-059090/
금양그린파워 *,11030.0,+3.47%,143866.0,1584.0,113807.0,282720,https://kr.tradingview.com/symbols/KRX-282720/
SK이터닉스,20450.0,+3.23%,586895.0,12002.0,245077.0,475150,https://kr.tradingview.com/symbols/KRX-475150/
범한퓨얼셀 *,32500.0,+2.36%,133167.0,4293.0,116084.0,382900,https://kr.tradingview.com/symbols/KRX-382900/
두산퓨얼셀,34800.0,+0.14%,552885.0,19169.0,929308.0,336260,https://kr.tradingview.com/symbols/KRX-336260/
SK디앤디,12650.0,+0.08%,32951.0,415.0,27429.0,210980,https://kr.tradingview.com/symbols/KRX-210980/
한선엔지니어링 *,10830.0,-0.09%,233331.0,2563.0,298360.0,452280,https://kr.tradingview.com/symbols/KRX-452280/
