종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
네오펙트 *,1121.0,+29.90%,2414937.0,2707.0,6809507.0,290660,https://kr.tradingview.com/symbols/KRX-290660/
차바이오텍 *,23850.0,+18.36%,3424875.0,78952.0,1785150.0,085660,https://kr.tradingview.com/symbols/KRX-085660/
뷰웍스 *,29300.0,+17.67%,1126183.0,31952.0,669613.0,100120,https://kr.tradingview.com/symbols/KRX-100120/
스피어 *,25800.0,+14.92%,5380612.0,137124.0,2636799.0,347700,https://kr.tradingview.com/symbols/KRX-347700/
메디포스트 *,25100.0,+5.02%,896776.0,22018.0,1559894.0,078160,https://kr.tradingview.com/symbols/KRX-078160/
인피니트헬스케어 *,7080.0,+4.27%,597671.0,4364.0,329011.0,071200,https://kr.tradingview.com/symbols/KRX-071200/
비트컴퓨터 *,5050.0,+4.02%,293786.0,1462.0,128338.0,032850,https://kr.tradingview.com/symbols/KRX-032850/
인바디 *,32500.0,+3.50%,38139.0,1234.0,36304.0,041830,https://kr.tradingview.com/symbols/KRX-041830/
이지케어텍 *,9640.0,+3.43%,130439.0,1234.0,56277.0,099750,https://kr.tradingview.com/symbols/KRX-099750/
씨어스테크놀로지 *,160500.0,+3.08%,76840.0,12262.0,78772.0,458870,https://kr.tradingview.com/symbols/KRX-458870/
유비케어 *,4070.0,+3.04%,729970.0,2939.0,264594.0,032620,https://kr.tradingview.com/symbols/KRX-032620/
케어랩스 *,2970.0,+2.59%,125732.0,371.0,105021.0,263700,https://kr.tradingview.com/symbols/KRX-263700/
마크로젠 *,17270.0,+1.65%,46143.0,787.0,38274.0,038290,https://kr.tradingview.com/symbols/KRX-038290/
인성정보 *,1776.0,+1.54%,704432.0,1238.0,443709.0,033230,https://kr.tradingview.com/symbols/KRX-033230/
녹십자홀딩스,15830.0,+1.54%,119406.0,1864.0,105691.0,005250,https://kr.tradingview.com/symbols/KRX-005250/
제이엘케이 *,7480.0,+1.49%,736382.0,5568.0,639625.0,322510,https://kr.tradingview.com/symbols/KRX-322510/
토마토시스템 *,5100.0,+0.99%,124184.0,627.0,263550.0,393210,https://kr.tradingview.com/symbols/KRX-393210/
알서포트 *,2465.0,+0.41%,199963.0,488.0,194571.0,131370,https://kr.tradingview.com/symbols/KRX-131370/
소프트센 *,262.0,+0.38%,443399.0,115.0,631889.0,032680,https://kr.tradingview.com/symbols/KRX-032680/
나노엔텍 *,5230.0,-0.19%,654470.0,3411.0,620587.0,039860,https://kr.tradingview.com/symbols/KRX-039860/
블루엠텍 *,4825.0,-0.62%,498681.0,2380.0,815945.0,439580,https://kr.tradingview.com/symbols/KRX-439580/
