종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
DXVX *,4090.0,+19.07%,2440476.0,9756.0,370522.0,180400,https://kr.tradingview.com/symbols/KRX-180400/
HEM파마 *,93000.0,+6.04%,82271.0,7691.0,75570.0,376270,https://kr.tradingview.com/symbols/KRX-376270/
인트론바이오 *,4020.0,+5.37%,469994.0,1823.0,536555.0,048530,https://kr.tradingview.com/symbols/KRX-048530/
아모레퍼시픽,139500.0,+4.18%,654846.0,91164.0,303278.0,090430,https://kr.tradingview.com/symbols/KRX-090430/
고바이오랩 *,6070.0,+2.88%,281967.0,1709.0,124701.0,348150,https://kr.tradingview.com/symbols/KRX-348150/
에이치엘사이언스 *,8100.0,+2.79%,4630.0,37.0,9553.0,239610,https://kr.tradingview.com/symbols/KRX-239610/
마크로젠 *,17270.0,+1.65%,46143.0,787.0,38274.0,038290,https://kr.tradingview.com/symbols/KRX-038290/
유바이오로직스 *,12000.0,+1.10%,153257.0,1831.0,180536.0,206650,https://kr.tradingview.com/symbols/KRX-206650/
종근당바이오,21950.0,+0.92%,55045.0,1202.0,59132.0,063160,https://kr.tradingview.com/symbols/KRX-063160/
랩지노믹스 *,1816.0,+0.83%,975018.0,1751.0,2783208.0,084650,https://kr.tradingview.com/symbols/KRX-084650/
콜마홀딩스,10080.0,+0.60%,72507.0,730.0,69062.0,024720,https://kr.tradingview.com/symbols/KRX-024720/
CJ 바이오사이언스 *,8920.0,+0.34%,45287.0,400.0,37860.0,311690,https://kr.tradingview.com/symbols/KRX-311690/
지놈앤컴퍼니 *,9280.0,+0.11%,686238.0,6433.0,1335523.0,314130,https://kr.tradingview.com/symbols/KRX-314130/
쎌바이오텍 *,13200.0,-0.38%,18816.0,248.0,24731.0,049960,https://kr.tradingview.com/symbols/KRX-049960/
비피도 *,2975.0,-0.67%,16929.0,51.0,14630.0,238200,https://kr.tradingview.com/symbols/KRX-238200/
소마젠 *,3590.0,-0.83%,35980.0,129.0,34518.0,950200,https://kr.tradingview.com/symbols/KRX-950200/
LG생활건강,266500.0,-3.09%,128573.0,34141.0,69386.0,051900,https://kr.tradingview.com/symbols/KRX-051900/
HLB제넥스 *,2745.0,-3.68%,107857.0,296.0,109853.0,187420,https://kr.tradingview.com/symbols/KRX-187420/
