종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,수급일자,기관순매수,외국인순매수
코리아써키트,70700.0,+7.12%,651175.0,46865.0,614334.0,007810,https://kr.tradingview.com/symbols/KRX-007810/,2026.01.30,15608,98078
오픈엣지테크놀로지 *,15900.0,+5.93%,1072177.0,16850.0,563011.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,2026.01.30,66104,42895
SK하이닉스,909000.0,+5.57%,7528967.0,6824702.0,6837983.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,2026.01.30,-28240,-499472
엑시콘 *,24500.0,+4.26%,1368787.0,34580.0,1025164.0,092870,https://kr.tradingview.com/symbols/KRX-092870/,2026.01.30,4174,47477
티엘비 *,59700.0,+4.01%,683788.0,41632.0,681204.0,356860,https://kr.tradingview.com/symbols/KRX-356860/,2026.01.30,-5722,52911
퀄리타스반도체 *,14580.0,+0.28%,931059.0,14083.0,621174.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,2026.01.30,-61,-6977
큐알티 *,17710.0,0.00%,362202.0,6441.0,247900.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,2026.01.30,0,33644
삼성전자,160500.0,-0.12%,39013626.0,6343786.0,36087223.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,2026.01.30,1139860,-3669445
국순당 *,3975.0,-0.13%,31369.0,124.0,29706.0,043650,https://kr.tradingview.com/symbols/KRX-043650/,2026.01.30,-1692,160
네오셈 *,15650.0,-0.19%,2392579.0,38007.0,5013461.0,253590,https://kr.tradingview.com/symbols/KRX-253590/,2026.01.30,134705,-82665
대교,1756.0,-1.29%,64176.0,112.0,73818.0,019680,https://kr.tradingview.com/symbols/KRX-019680/,2026.01.30,7015,-12196
오킨스전자 *,12890.0,-3.23%,1369956.0,18040.0,1461915.0,080580,https://kr.tradingview.com/symbols/KRX-080580/,2026.01.30,-95455,-169851
