종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
성우전자 *,3085.0,+29.89%,5916684.0,17574.0,449147.0,081580,https://kr.tradingview.com/symbols/KRX-081580/
대덕전자,63300.0,+20.57%,5714415.0,363338.0,1887012.0,353200,https://kr.tradingview.com/symbols/KRX-353200/
KH바텍 *,19120.0,+15.11%,5639994.0,105975.0,9282334.0,060720,https://kr.tradingview.com/symbols/KRX-060720/
육일씨엔에쓰 *,3900.0,+11.43%,4953270.0,19517.0,5431948.0,191410,https://kr.tradingview.com/symbols/KRX-191410/
이미지스 *,1733.0,+10.24%,9220364.0,16948.0,1539406.0,115610,https://kr.tradingview.com/symbols/KRX-115610/
인터플렉스 *,12450.0,+7.33%,1121764.0,14192.0,268008.0,051370,https://kr.tradingview.com/symbols/KRX-051370/
액트로 *,23000.0,+7.23%,250227.0,5634.0,243035.0,290740,https://kr.tradingview.com/symbols/KRX-290740/
링크드 *,491.0,+6.05%,7609567.0,4032.0,758478.0,193250,https://kr.tradingview.com/symbols/KRX-193250/
노바텍 *,30100.0,+4.88%,515952.0,15489.0,1346840.0,285490,https://kr.tradingview.com/symbols/KRX-285490/
자화전자,30000.0,+3.27%,1001853.0,29635.0,2517890.0,033240,https://kr.tradingview.com/symbols/KRX-033240/
모베이스 *,6950.0,+2.51%,1899483.0,12677.0,3164993.0,101330,https://kr.tradingview.com/symbols/KRX-101330/
엑스플러스 *,645.0,+2.38%,884156.0,559.0,1077538.0,373200,https://kr.tradingview.com/symbols/KRX-373200/
동운아나텍 *,30300.0,+2.36%,315353.0,9506.0,369564.0,094170,https://kr.tradingview.com/symbols/KRX-094170/
시노펙스 *,7660.0,+2.27%,2122101.0,16344.0,1996060.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
아비코전자 *,8500.0,+2.04%,295523.0,2558.0,281188.0,036010,https://kr.tradingview.com/symbols/KRX-036010/
PS일렉트로닉스 *,7490.0,+1.77%,5455596.0,42271.0,1832990.0,332570,https://kr.tradingview.com/symbols/KRX-332570/
세경하이테크 *,5020.0,+1.31%,335841.0,1684.0,173761.0,148150,https://kr.tradingview.com/symbols/KRX-148150/
삼성SDI,390000.0,+0.52%,1730887.0,670309.0,1317541.0,006400,https://kr.tradingview.com/symbols/KRX-006400/
아모그린텍 *,7170.0,+0.42%,166100.0,1172.0,239123.0,125210,https://kr.tradingview.com/symbols/KRX-125210/
한국컴퓨터 *,4815.0,+0.31%,49454.0,237.0,40597.0,054040,https://kr.tradingview.com/symbols/KRX-054040/
켐트로닉스 *,35200.0,+0.28%,873360.0,31305.0,814940.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
씨유테크 *,2890.0,+0.17%,16348.0,47.0,19551.0,376290,https://kr.tradingview.com/symbols/KRX-376290/
테크엘 *,1743.0,+0.06%,15587.0,27.0,17037.0,064520,https://kr.tradingview.com/symbols/KRX-064520/
케이이엠텍 *,625.0,0.00%,687479.0,420.0,833207.0,106080,https://kr.tradingview.com/symbols/KRX-106080/
슈피겐코리아 *,22600.0,0.00%,6405.0,143.0,12546.0,192440,https://kr.tradingview.com/symbols/KRX-192440/
삼성전자,160500.0,-0.12%,39013626.0,6343786.0,36087223.0,005930,https://kr.tradingview.com/symbols/KRX-005930/
서진시스템 *,38150.0,-0.13%,1130842.0,44081.0,2111275.0,178320,https://kr.tradingview.com/symbols/KRX-178320/
디티씨 *,2950.0,-0.51%,27574.0,81.0,38459.0,066670,https://kr.tradingview.com/symbols/KRX-066670/
피델릭스 *,1127.0,-0.70%,176860.0,199.0,163326.0,032580,https://kr.tradingview.com/symbols/KRX-032580/
유아이디 *,1089.0,-0.82%,36427.0,39.0,16516.0,069330,https://kr.tradingview.com/symbols/KRX-069330/
파트론 *,7180.0,-0.83%,274169.0,1972.0,374140.0,091700,https://kr.tradingview.com/symbols/KRX-091700/
덕산네오룩스 *,39050.0,-1.01%,275136.0,10850.0,395308.0,213420,https://kr.tradingview.com/symbols/KRX-213420/
엘엠에스 *,5170.0,-1.15%,22656.0,117.0,20128.0,073110,https://kr.tradingview.com/symbols/KRX-073110/
LG디스플레이,11670.0,-1.19%,3441844.0,40084.0,6295254.0,034220,https://kr.tradingview.com/symbols/KRX-034220/
LG이노텍,245000.0,-1.21%,335483.0,82464.0,558520.0,011070,https://kr.tradingview.com/symbols/KRX-011070/
캐프 *,2420.0,-1.22%,157011.0,381.0,128785.0,198080,https://kr.tradingview.com/symbols/KRX-198080/
토비스 *,15600.0,-1.45%,88047.0,1379.0,86098.0,051360,https://kr.tradingview.com/symbols/KRX-051360/
나무가 *,24950.0,-1.58%,390526.0,9810.0,750056.0,190510,https://kr.tradingview.com/symbols/KRX-190510/
유티아이 *,24700.0,-1.59%,205619.0,5212.0,246047.0,179900,https://kr.tradingview.com/symbols/KRX-179900/
모다이노칩 *,1940.0,-1.72%,22988.0,45.0,25471.0,080420,https://kr.tradingview.com/symbols/KRX-080420/
인탑스 *,22050.0,-1.78%,229691.0,5151.0,292693.0,049070,https://kr.tradingview.com/symbols/KRX-049070/
신화인터텍 *,1808.0,-1.79%,98869.0,178.0,238722.0,056700,https://kr.tradingview.com/symbols/KRX-056700/
이엠텍 *,8200.0,-1.80%,117417.0,953.0,94729.0,091120,https://kr.tradingview.com/symbols/KRX-091120/
디케이티 *,9880.0,-1.89%,798872.0,7928.0,1719092.0,290550,https://kr.tradingview.com/symbols/KRX-290550/
유아이엘 *,3625.0,-2.03%,272961.0,986.0,290234.0,049520,https://kr.tradingview.com/symbols/KRX-049520/
아이앤씨 *,2880.0,-2.21%,298485.0,888.0,279999.0,052860,https://kr.tradingview.com/symbols/KRX-052860/
웰킵스하이텍 *,657.0,-2.23%,43071.0,28.0,41220.0,043590,https://kr.tradingview.com/symbols/KRX-043590/
다산솔루에타 *,1160.0,-2.27%,46915.0,55.0,68037.0,154040,https://kr.tradingview.com/symbols/KRX-154040/
아진엑스텍 *,9420.0,-2.28%,713825.0,6580.0,1396739.0,059120,https://kr.tradingview.com/symbols/KRX-059120/
엘디티 *,2345.0,-2.29%,32981.0,78.0,25366.0,096870,https://kr.tradingview.com/symbols/KRX-096870/
하이비젼시스템 *,17500.0,-2.78%,229745.0,4028.0,541488.0,126700,https://kr.tradingview.com/symbols/KRX-126700/
테이팩스,14870.0,-2.81%,39717.0,597.0,38253.0,055490,https://kr.tradingview.com/symbols/KRX-055490/
아모텍 *,9930.0,-3.12%,256314.0,2594.0,356841.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
캠시스 *,557.0,-3.30%,1644082.0,940.0,4714948.0,050110,https://kr.tradingview.com/symbols/KRX-050110/
파워로직스 *,5700.0,-3.39%,673606.0,3868.0,1142379.0,047310,https://kr.tradingview.com/symbols/KRX-047310/
드림텍,7910.0,-3.42%,762463.0,6083.0,1553417.0,192650,https://kr.tradingview.com/symbols/KRX-192650/
알트 *,4440.0,-3.48%,3233899.0,14645.0,12847029.0,459550,https://kr.tradingview.com/symbols/KRX-459550/
