종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
덕양에너젠 *,34850.0,+248.50%,62456990.0,1964709.0,0.0,0001A0,https://kr.tradingview.com/symbols/KRX-000010/
디아이티 *,21900.0,+9.50%,703546.0,15833.0,396337.0,110990,https://kr.tradingview.com/symbols/KRX-110990/
삼보모터스 *,8260.0,+6.31%,1862458.0,15327.0,3011316.0,053700,https://kr.tradingview.com/symbols/KRX-053700/
원익머트리얼즈 *,40150.0,+5.24%,209234.0,8398.0,218979.0,104830,https://kr.tradingview.com/symbols/KRX-104830/
미코 *,17730.0,+4.73%,1282788.0,22661.0,1235005.0,059090,https://kr.tradingview.com/symbols/KRX-059090/
지엠비코리아,5070.0,+4.32%,264111.0,1299.0,216079.0,013870,https://kr.tradingview.com/symbols/KRX-013870/
SK,333500.0,+2.93%,367221.0,121284.0,422314.0,034730,https://kr.tradingview.com/symbols/KRX-034730/
EG *,6100.0,+2.87%,93141.0,560.0,66753.0,037370,https://kr.tradingview.com/symbols/KRX-037370/
시노펙스 *,7660.0,+2.27%,2122101.0,16344.0,1996060.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
효성중공업,2603000.0,+2.24%,77444.0,200845.0,77246.0,298040,https://kr.tradingview.com/symbols/KRX-298040/
DYP,6220.0,+2.13%,314913.0,1925.0,263631.0,092780,https://kr.tradingview.com/symbols/KRX-092780/
아이에스티이 *,9870.0,+1.96%,583295.0,5724.0,623771.0,212710,https://kr.tradingview.com/symbols/KRX-212710/
현대로템,230500.0,+1.77%,2134719.0,482752.0,1139757.0,064350,https://kr.tradingview.com/symbols/KRX-064350/
LS ELECTRIC,566000.0,+1.62%,214902.0,121234.0,236884.0,010120,https://kr.tradingview.com/symbols/KRX-010120/
코오롱인더,55000.0,+1.29%,585160.0,31874.0,776777.0,120110,https://kr.tradingview.com/symbols/KRX-120110/
모토닉,10350.0,+0.98%,47210.0,485.0,32598.0,009680,https://kr.tradingview.com/symbols/KRX-009680/
