종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
메카로 *,25450.0,+10.17%,89086.0,2220.0,31275.0,241770,https://kr.tradingview.com/symbols/KRX-241770/
동진쎄미켐 *,56000.0,+8.95%,2995581.0,170064.0,2659951.0,005290,https://kr.tradingview.com/symbols/KRX-005290/
ISC *,150700.0,+8.65%,390575.0,58811.0,485781.0,095340,https://kr.tradingview.com/symbols/KRX-095340/
솔브레인 *,488500.0,+8.56%,189127.0,93289.0,134199.0,357780,https://kr.tradingview.com/symbols/KRX-357780/
케이씨텍,47250.0,+8.12%,483470.0,22494.0,348196.0,281820,https://kr.tradingview.com/symbols/KRX-281820/
퓨릿 *,10360.0,+7.80%,892376.0,9180.0,199646.0,445180,https://kr.tradingview.com/symbols/KRX-445180/
티씨케이 *,238000.0,+7.45%,157715.0,37134.0,199031.0,064760,https://kr.tradingview.com/symbols/KRX-064760/
피엠티 *,3735.0,+6.41%,220020.0,820.0,94389.0,147760,https://kr.tradingview.com/symbols/KRX-147760/
월덱스 *,25900.0,+6.15%,651331.0,16856.0,304168.0,101160,https://kr.tradingview.com/symbols/KRX-101160/
엘케이켐 *,30700.0,+5.68%,392435.0,11979.0,153832.0,489500,https://kr.tradingview.com/symbols/KRX-489500/
덕산하이메탈 *,8890.0,+5.46%,6066789.0,55721.0,5282220.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
이엔에프테크놀로지 *,58900.0,+5.37%,463628.0,27053.0,322022.0,102710,https://kr.tradingview.com/symbols/KRX-102710/
원익머트리얼즈 *,40150.0,+5.24%,209234.0,8398.0,218979.0,104830,https://kr.tradingview.com/symbols/KRX-104830/
한솔아이원스 *,14130.0,+5.06%,855583.0,12168.0,894141.0,114810,https://kr.tradingview.com/symbols/KRX-114810/
미코 *,17730.0,+4.73%,1282788.0,22661.0,1235005.0,059090,https://kr.tradingview.com/symbols/KRX-059090/
티이엠씨 *,9990.0,+4.72%,920491.0,9160.0,777272.0,425040,https://kr.tradingview.com/symbols/KRX-425040/
비씨엔씨 *,15860.0,+4.48%,269852.0,4303.0,135786.0,146320,https://kr.tradingview.com/symbols/KRX-146320/
해성디에스,64500.0,+4.03%,570564.0,37208.0,563474.0,195870,https://kr.tradingview.com/symbols/KRX-195870/
레이크머티리얼즈 *,26750.0,+3.08%,2478049.0,67581.0,2132373.0,281740,https://kr.tradingview.com/symbols/KRX-281740/
하나머티리얼즈 *,66900.0,+2.76%,466377.0,31702.0,557118.0,166090,https://kr.tradingview.com/symbols/KRX-166090/
에프엔에스테크 *,16400.0,+2.76%,226632.0,3679.0,458770.0,083500,https://kr.tradingview.com/symbols/KRX-083500/
하나마이크론 *,37750.0,+2.72%,3312608.0,126604.0,4706866.0,067310,https://kr.tradingview.com/symbols/KRX-067310/
티이엠씨씨엔에스 *,7700.0,+2.53%,116264.0,896.0,125032.0,241790,https://kr.tradingview.com/symbols/KRX-241790/
원익QnC *,28500.0,+2.52%,1011118.0,29459.0,1142003.0,074600,https://kr.tradingview.com/symbols/KRX-074600/
시노펙스 *,7660.0,+2.27%,2122101.0,16344.0,1996060.0,025320,https://kr.tradingview.com/symbols/KRX-025320/
에스앤에스텍 *,91000.0,+2.02%,710229.0,65639.0,1235219.0,101490,https://kr.tradingview.com/symbols/KRX-101490/
디엔에프 *,19530.0,+1.72%,302839.0,6020.0,340741.0,092070,https://kr.tradingview.com/symbols/KRX-092070/
씨엠티엑스 *,133300.0,+1.52%,176301.0,23512.0,297462.0,388210,https://kr.tradingview.com/symbols/KRX-388210/
뉴파워프라즈마 *,6140.0,+1.49%,787413.0,4903.0,724259.0,144960,https://kr.tradingview.com/symbols/KRX-144960/
지오엘리먼트 *,7870.0,+1.29%,59324.0,465.0,71042.0,311320,https://kr.tradingview.com/symbols/KRX-311320/
마이크로투나노 *,14360.0,+1.27%,133555.0,1944.0,120546.0,424980,https://kr.tradingview.com/symbols/KRX-424980/
제이아이테크 *,3475.0,+1.16%,465839.0,1628.0,643712.0,417500,https://kr.tradingview.com/symbols/KRX-417500/
KX하이텍 *,1002.0,+0.91%,1186547.0,1200.0,2549476.0,052900,https://kr.tradingview.com/symbols/KRX-052900/
이녹스첨단소재 *,32700.0,+0.31%,804191.0,26457.0,1021432.0,272290,https://kr.tradingview.com/symbols/KRX-272290/
에스에이엠티 *,4600.0,+0.11%,983489.0,4544.0,1375120.0,031330,https://kr.tradingview.com/symbols/KRX-031330/
와이씨켐 *,23600.0,0.00%,462558.0,11061.0,352939.0,112290,https://kr.tradingview.com/symbols/KRX-112290/
샘씨엔에스 *,9500.0,0.00%,2017535.0,19252.0,2318610.0,252990,https://kr.tradingview.com/symbols/KRX-252990/
후성,8470.0,0.00%,1381615.0,11748.0,1678925.0,093370,https://kr.tradingview.com/symbols/KRX-093370/
유니트론텍 *,6810.0,-0.29%,598158.0,4091.0,832210.0,142210,https://kr.tradingview.com/symbols/KRX-142210/
KPX케미칼,48200.0,-0.31%,3186.0,153.0,7982.0,025000,https://kr.tradingview.com/symbols/KRX-025000/
위지트 *,715.0,-0.69%,726900.0,514.0,1001921.0,036090,https://kr.tradingview.com/symbols/KRX-036090/
램테크놀러지 *,4040.0,-0.86%,127029.0,516.0,126710.0,171010,https://kr.tradingview.com/symbols/KRX-171010/
