종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
SK증권,948.0,+6.04%,284756468.0,279338.0,75216064.0,001510,https://kr.tradingview.com/symbols/KRX-001510/
미래에셋증권,42750.0,+4.65%,12898430.0,550157.0,19742598.0,006800,https://kr.tradingview.com/symbols/KRX-006800/
키움증권,443500.0,+4.11%,221313.0,98066.0,273857.0,039490,https://kr.tradingview.com/symbols/KRX-039490/
NH투자증권,27050.0,+3.84%,1696981.0,45990.0,1497255.0,005940,https://kr.tradingview.com/symbols/KRX-005940/
DB증권,13540.0,+3.44%,259613.0,3461.0,335938.0,016610,https://kr.tradingview.com/symbols/KRX-016610/
유안타증권,4620.0,+2.67%,2482682.0,11420.0,3862627.0,003470,https://kr.tradingview.com/symbols/KRX-003470/
대신증권,31300.0,+1.79%,365884.0,11475.0,453897.0,003540,https://kr.tradingview.com/symbols/KRX-003540/
다올투자증권,4080.0,+0.74%,390256.0,1587.0,931036.0,030210,https://kr.tradingview.com/symbols/KRX-030210/
유화증권,2940.0,+0.34%,135167.0,395.0,303342.0,003460,https://kr.tradingview.com/symbols/KRX-003460/
현대차증권,9520.0,+0.11%,461217.0,4376.0,602828.0,001500,https://kr.tradingview.com/symbols/KRX-001500/
코리아에셋투자증권 *,7780.0,-0.13%,50898.0,395.0,188241.0,190650,https://kr.tradingview.com/symbols/KRX-190650/
유진투자증권,4285.0,-0.58%,4121958.0,17774.0,15856068.0,001200,https://kr.tradingview.com/symbols/KRX-001200/
신영증권,176600.0,-1.06%,33795.0,5966.0,64007.0,001720,https://kr.tradingview.com/symbols/KRX-001720/
부국증권,71800.0,-1.10%,31338.0,2249.0,83830.0,001270,https://kr.tradingview.com/symbols/KRX-001270/
삼성증권,90600.0,-1.20%,716507.0,65815.0,803377.0,016360,https://kr.tradingview.com/symbols/KRX-016360/
교보증권,11910.0,-1.57%,147416.0,1771.0,340086.0,030610,https://kr.tradingview.com/symbols/KRX-030610/
LS증권 *,5700.0,-1.72%,428508.0,2460.0,1861928.0,078020,https://kr.tradingview.com/symbols/KRX-078020/
한양증권,20450.0,-2.15%,39430.0,810.0,64127.0,001750,https://kr.tradingview.com/symbols/KRX-001750/
한국금융지주,215500.0,-2.71%,365869.0,79484.0,347177.0,071050,https://kr.tradingview.com/symbols/KRX-071050/
한화투자증권,6430.0,-2.72%,8490644.0,55844.0,18516080.0,003530,https://kr.tradingview.com/symbols/KRX-003530/
상상인증권,751.0,-3.72%,10815507.0,8540.0,16964638.0,001290,https://kr.tradingview.com/symbols/KRX-001290/
