종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
성우전자 *,3085.0,+29.89%,5916684.0,17574.0,449147.0,081580,https://kr.tradingview.com/symbols/KRX-081580/
프로텍 *,51000.0,+27.50%,974454.0,48142.0,97989.0,053610,https://kr.tradingview.com/symbols/KRX-053610/
한미반도체,211000.0,+3.69%,4364912.0,918293.0,7160116.0,042700,https://kr.tradingview.com/symbols/KRX-042700/
켐트로닉스 *,35200.0,+0.28%,873360.0,31305.0,814940.0,089010,https://kr.tradingview.com/symbols/KRX-089010/
상신전자 *,3185.0,-0.16%,61643.0,195.0,91746.0,263810,https://kr.tradingview.com/symbols/KRX-263810/
제너셈 *,5880.0,-1.34%,359725.0,2174.0,424106.0,217190,https://kr.tradingview.com/symbols/KRX-217190/
잉크테크 *,3560.0,-1.39%,168459.0,599.0,1044488.0,049550,https://kr.tradingview.com/symbols/KRX-049550/
다산솔루에타 *,1160.0,-2.27%,46915.0,55.0,68037.0,154040,https://kr.tradingview.com/symbols/KRX-154040/
동일기연 *,14510.0,-2.88%,3125.0,46.0,4119.0,032960,https://kr.tradingview.com/symbols/KRX-032960/
아모텍 *,9930.0,-3.12%,256314.0,2594.0,356841.0,052710,https://kr.tradingview.com/symbols/KRX-052710/
아이씨에이치 *,1005.0,-4.65%,168094.0,171.0,357975.0,368600,https://kr.tradingview.com/symbols/KRX-368600/
레몬 *,6870.0,-9.01%,445206.0,3176.0,259477.0,294140,https://kr.tradingview.com/symbols/KRX-294140/
