종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
비엘팜텍 *,2765.0,+29.81%,865645.0,2394.0,0.0,065170,https://kr.tradingview.com/symbols/KRX-065170/
대성산업,7350.0,+9.87%,8091476.0,60236.0,1788334.0,128820,https://kr.tradingview.com/symbols/KRX-128820/
GS,68700.0,+3.31%,820491.0,56340.0,300691.0,078930,https://kr.tradingview.com/symbols/KRX-078930/
LX인터내셔널,38250.0,+1.32%,199449.0,7646.0,211600.0,001120,https://kr.tradingview.com/symbols/KRX-001120/
에스아이리소스 *,226.0,+0.89%,809410.0,183.0,828653.0,065420,https://kr.tradingview.com/symbols/KRX-065420/
서울가스,66200.0,+0.15%,16623.0,1103.0,15597.0,017390,https://kr.tradingview.com/symbols/KRX-017390/
포스코인터내셔널,62400.0,-0.16%,590373.0,36866.0,905001.0,047050,https://kr.tradingview.com/symbols/KRX-047050/
GS글로벌,2320.0,-0.22%,656771.0,1510.0,488930.0,001250,https://kr.tradingview.com/symbols/KRX-001250/
삼성물산,301500.0,-0.50%,493809.0,148942.0,435669.0,028260,https://kr.tradingview.com/symbols/KRX-028260/
현대코퍼레이션,22700.0,-1.09%,95448.0,2180.0,74590.0,011760,https://kr.tradingview.com/symbols/KRX-011760/
큐로홀딩스 *,1004.0,-1.18%,104331.0,105.0,105052.0,051780,https://kr.tradingview.com/symbols/KRX-051780/
SK이노베이션,112000.0,-1.32%,754942.0,86037.0,921456.0,096770,https://kr.tradingview.com/symbols/KRX-096770/
한국가스공사,40150.0,-1.71%,324292.0,13043.0,496781.0,036460,https://kr.tradingview.com/symbols/KRX-036460/
엘컴텍 *,840.0,-6.77%,1115192.0,965.0,3708533.0,037950,https://kr.tradingview.com/symbols/KRX-037950/
