종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
흥국에프엔비 *,2175.0,+7.94%,23828916.0,57382.0,4444865.0,189980,https://kr.tradingview.com/symbols/KRX-189980/
동방,2645.0,+5.80%,4925667.0,12938.0,662901.0,004140,https://kr.tradingview.com/symbols/KRX-004140/
KCTC,6740.0,+5.64%,8865982.0,60937.0,946922.0,009070,https://kr.tradingview.com/symbols/KRX-009070/
갤럭시아머니트리 *,11080.0,+2.59%,1262421.0,14044.0,566314.0,094480,https://kr.tradingview.com/symbols/KRX-094480/
한국정보통신 *,8080.0,+0.37%,28807.0,232.0,26814.0,025770,https://kr.tradingview.com/symbols/KRX-025770/
ESR켄달스퀘어리츠,4420.0,+0.34%,450357.0,1985.0,428937.0,365550,https://kr.tradingview.com/symbols/KRX-365550/
헥토파이낸셜 *,24100.0,0.00%,1226005.0,29469.0,1823840.0,234340,https://kr.tradingview.com/symbols/KRX-234340/
서울식품,144.0,0.00%,3706166.0,531.0,3430831.0,004410,https://kr.tradingview.com/symbols/KRX-004410/
쇼박스 *,2580.0,-0.39%,282661.0,728.0,265252.0,086980,https://kr.tradingview.com/symbols/KRX-086980/
오텍 *,1899.0,-0.47%,63468.0,120.0,73432.0,067170,https://kr.tradingview.com/symbols/KRX-067170/
미래생명자원 *,3035.0,-0.65%,103410.0,317.0,134681.0,218150,https://kr.tradingview.com/symbols/KRX-218150/
아이스크림에듀 *,1600.0,-0.68%,72351.0,115.0,67831.0,289010,https://kr.tradingview.com/symbols/KRX-289010/
다날 *,9230.0,-0.86%,10086972.0,94045.0,16585333.0,064260,https://kr.tradingview.com/symbols/KRX-064260/
NEW *,2320.0,-1.07%,92796.0,214.0,111924.0,160550,https://kr.tradingview.com/symbols/KRX-160550/
디아이씨,11210.0,-1.23%,1453160.0,16264.0,2040331.0,092200,https://kr.tradingview.com/symbols/KRX-092200/
태경케미컬,7310.0,-1.35%,44246.0,324.0,49989.0,006890,https://kr.tradingview.com/symbols/KRX-006890/
알로이스 *,1183.0,-2.23%,230131.0,276.0,435971.0,297570,https://kr.tradingview.com/symbols/KRX-297570/
한국전자홀딩스,674.0,-2.32%,191495.0,129.0,210284.0,006200,https://kr.tradingview.com/symbols/KRX-006200/
팬스타엔터프라이즈 *,668.0,-2.62%,871211.0,585.0,745856.0,054300,https://kr.tradingview.com/symbols/KRX-054300/
아티스트컴퍼니 *,3845.0,-2.90%,114234.0,438.0,55136.0,321820,https://kr.tradingview.com/symbols/KRX-321820/
엔비티 *,2120.0,-4.29%,74900.0,160.0,122258.0,236810,https://kr.tradingview.com/symbols/KRX-236810/
