종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
삼미금속 *,13850.0,+20.12%,13267886.0,181958.0,1740249.0,012210,https://kr.tradingview.com/symbols/KRX-012210/
흥국 *,5040.0,+1.10%,164942.0,825.0,78024.0,010240,https://kr.tradingview.com/symbols/KRX-010240/
동일금속 *,7630.0,+0.39%,3963.0,30.0,6483.0,109860,https://kr.tradingview.com/symbols/KRX-109860/
대동금속 *,5550.0,0.00%,1743.0,10.0,7601.0,020400,https://kr.tradingview.com/symbols/KRX-020400/
진성티이씨 *,14340.0,-0.55%,134381.0,1931.0,308646.0,036890,https://kr.tradingview.com/symbols/KRX-036890/
대창단조,6700.0,-0.89%,100671.0,677.0,178608.0,015230,https://kr.tradingview.com/symbols/KRX-015230/
디와이파워,13110.0,-0.98%,55618.0,727.0,83600.0,210540,https://kr.tradingview.com/symbols/KRX-210540/
프리엠스 *,6890.0,-1.29%,17642.0,122.0,34463.0,053160,https://kr.tradingview.com/symbols/KRX-053160/
혜인,5230.0,-1.32%,77737.0,407.0,82300.0,003010,https://kr.tradingview.com/symbols/KRX-003010/
HD건설기계,108200.0,-1.64%,396992.0,42969.0,758346.0,267270,https://kr.tradingview.com/symbols/KRX-267270/
서연탑메탈 *,3820.0,-1.80%,56741.0,217.0,78984.0,019770,https://kr.tradingview.com/symbols/KRX-019770/
두산밥캣,58800.0,-2.33%,333975.0,19695.0,359272.0,241560,https://kr.tradingview.com/symbols/KRX-241560/
수산세보틱스,1685.0,-2.43%,425767.0,720.0,241303.0,017550,https://kr.tradingview.com/symbols/KRX-017550/
대모 *,8080.0,-2.53%,179277.0,1441.0,190778.0,317850,https://kr.tradingview.com/symbols/KRX-317850/
현대에버다임 *,8170.0,-3.43%,255252.0,2099.0,267913.0,041440,https://kr.tradingview.com/symbols/KRX-041440/
전진건설로봇,50600.0,-3.62%,135642.0,6886.0,148945.0,079900,https://kr.tradingview.com/symbols/KRX-079900/
