종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
동방,2645.0,+5.80%,4925667.0,12938.0,662901.0,004140,https://kr.tradingview.com/symbols/KRX-004140/
KCTC,6740.0,+5.64%,8865982.0,60937.0,946922.0,009070,https://kr.tradingview.com/symbols/KRX-009070/
선광 *,21200.0,+2.91%,95109.0,1956.0,56082.0,003100,https://kr.tradingview.com/symbols/KRX-003100/
SG&G *,1822.0,+1.17%,144550.0,261.0,90408.0,040610,https://kr.tradingview.com/symbols/KRX-040610/
CJ대한통운,103800.0,+0.87%,104373.0,10873.0,98881.0,000120,https://kr.tradingview.com/symbols/KRX-000120/
삼일 *,1413.0,+0.64%,37785.0,53.0,38110.0,032280,https://kr.tradingview.com/symbols/KRX-032280/
인터지스,2420.0,+0.21%,113218.0,272.0,137899.0,129260,https://kr.tradingview.com/symbols/KRX-129260/
세방,14500.0,+0.07%,71204.0,1026.0,65325.0,004360,https://kr.tradingview.com/symbols/KRX-004360/
한솔로지스틱스,2815.0,0.00%,157703.0,439.0,139202.0,009180,https://kr.tradingview.com/symbols/KRX-009180/
로젠 *,2085.0,-0.24%,105023.0,217.0,120465.0,033290,https://kr.tradingview.com/symbols/KRX-033290/
STX그린로지스,6310.0,-0.79%,90945.0,584.0,110222.0,465770,https://kr.tradingview.com/symbols/KRX-465770/
태웅로직스 *,2620.0,-0.95%,226823.0,597.0,131825.0,124560,https://kr.tradingview.com/symbols/KRX-124560/
한익스프레스,2820.0,-1.23%,35528.0,100.0,19226.0,014130,https://kr.tradingview.com/symbols/KRX-014130/
한진,19860.0,-2.17%,28629.0,572.0,114150.0,002320,https://kr.tradingview.com/symbols/KRX-002320/
유성티엔에스 *,2775.0,-3.31%,62731.0,176.0,90548.0,024800,https://kr.tradingview.com/symbols/KRX-024800/
현대글로비스,242000.0,-5.28%,532865.0,131106.0,861650.0,086280,https://kr.tradingview.com/symbols/KRX-086280/
