종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
영원무역,90900.0,+7.70%,163294.0,14606.0,69057.0,111770,https://kr.tradingview.com/symbols/KRX-111770/
삼천리,143600.0,+4.06%,37260.0,5265.0,46409.0,004690,https://kr.tradingview.com/symbols/KRX-004690/
대성에너지,8240.0,+1.85%,439798.0,3597.0,144169.0,117580,https://kr.tradingview.com/symbols/KRX-117580/
지에스이 *,2430.0,+1.25%,488912.0,1189.0,355906.0,053050,https://kr.tradingview.com/symbols/KRX-053050/
신일전자,1330.0,+0.53%,797460.0,1061.0,524601.0,002700,https://kr.tradingview.com/symbols/KRX-002700/
대성홀딩스,8650.0,+0.35%,58442.0,507.0,29893.0,016710,https://kr.tradingview.com/symbols/KRX-016710/
파세코 *,7460.0,+0.27%,36130.0,270.0,41324.0,037070,https://kr.tradingview.com/symbols/KRX-037070/
경동도시가스,21550.0,+0.23%,17503.0,376.0,15968.0,267290,https://kr.tradingview.com/symbols/KRX-267290/
서울가스,66200.0,+0.15%,16623.0,1103.0,15597.0,017390,https://kr.tradingview.com/symbols/KRX-017390/
인천도시가스,25700.0,0.00%,6317.0,162.0,3429.0,034590,https://kr.tradingview.com/symbols/KRX-034590/
부스타 *,4000.0,-0.12%,2077.0,8.0,4708.0,008470,https://kr.tradingview.com/symbols/KRX-008470/
골프존 *,60700.0,-0.16%,65211.0,3995.0,66610.0,215000,https://kr.tradingview.com/symbols/KRX-215000/
지역난방공사,99800.0,-0.20%,31861.0,3162.0,25014.0,071320,https://kr.tradingview.com/symbols/KRX-071320/
SPC삼립,50500.0,-0.20%,11333.0,572.0,12077.0,005610,https://kr.tradingview.com/symbols/KRX-005610/
INVENI,78200.0,-0.26%,10590.0,826.0,15033.0,015360,https://kr.tradingview.com/symbols/KRX-015360/
경동나비엔,57800.0,-0.52%,57324.0,3322.0,48073.0,009450,https://kr.tradingview.com/symbols/KRX-009450/
동화약품,6070.0,-0.98%,76606.0,465.0,127822.0,000020,https://kr.tradingview.com/symbols/KRX-000020/
광동제약,6030.0,-1.15%,167393.0,1015.0,218955.0,009290,https://kr.tradingview.com/symbols/KRX-009290/
한국가스공사,40150.0,-1.71%,324292.0,13043.0,496781.0,036460,https://kr.tradingview.com/symbols/KRX-036460/
유한양행,108000.0,-2.00%,404487.0,43949.0,408508.0,000100,https://kr.tradingview.com/symbols/KRX-000100/
녹십자,164900.0,-2.60%,76319.0,12615.0,102017.0,006280,https://kr.tradingview.com/symbols/KRX-006280/
한미약품,484000.0,-4.16%,148787.0,72647.0,191447.0,128940,https://kr.tradingview.com/symbols/KRX-128940/
