종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
아이텍 *,8400.0,+7.14%,756113.0,6116.0,963357.0,119830,https://kr.tradingview.com/symbols/KRX-119830/
덕산하이메탈 *,8890.0,+5.46%,6066789.0,55721.0,5282220.0,077360,https://kr.tradingview.com/symbols/KRX-077360/
크리스탈신소재 *,691.0,+1.17%,1057055.0,734.0,1025598.0,900250,https://kr.tradingview.com/symbols/KRX-900250/
휴비스,2520.0,+0.80%,105484.0,264.0,151700.0,079980,https://kr.tradingview.com/symbols/KRX-079980/
경인양행,4920.0,+0.72%,1405452.0,6912.0,1386389.0,012610,https://kr.tradingview.com/symbols/KRX-012610/
엑사이엔씨 *,670.0,-0.89%,164879.0,109.0,148196.0,054940,https://kr.tradingview.com/symbols/KRX-054940/
엘엠에스 *,5170.0,-1.15%,22656.0,117.0,20128.0,073110,https://kr.tradingview.com/symbols/KRX-073110/
대창,1417.0,-1.39%,3667404.0,5313.0,3398541.0,012800,https://kr.tradingview.com/symbols/KRX-012800/
디와이덕양,2175.0,-1.81%,163895.0,356.0,147873.0,024900,https://kr.tradingview.com/symbols/KRX-024900/
다산솔루에타 *,1160.0,-2.27%,46915.0,55.0,68037.0,154040,https://kr.tradingview.com/symbols/KRX-154040/
국일제지 *,360.0,-2.96%,968107.0,351.0,2390641.0,078130,https://kr.tradingview.com/symbols/KRX-078130/
상보 *,805.0,-3.01%,538824.0,438.0,2454736.0,027580,https://kr.tradingview.com/symbols/KRX-027580/
오리엔트정공 *,2370.0,-4.44%,728821.0,1741.0,953367.0,065500,https://kr.tradingview.com/symbols/KRX-065500/
