종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
더존비즈온,97400.0,+7.98%,568471.0,54630.0,310206.0,012510,https://kr.tradingview.com/symbols/KRX-012510/
세종텔레콤 *,9110.0,+2.47%,63233.0,578.0,24287.0,036630,https://kr.tradingview.com/symbols/KRX-036630/
이씨에스 *,2460.0,+1.23%,28340.0,69.0,23132.0,067010,https://kr.tradingview.com/symbols/KRX-067010/
오파스넷 *,6590.0,+0.46%,110977.0,724.0,355273.0,173130,https://kr.tradingview.com/symbols/KRX-173130/
링네트 *,3850.0,0.00%,129038.0,495.0,161487.0,042500,https://kr.tradingview.com/symbols/KRX-042500/
NHN,32300.0,0.00%,67649.0,2175.0,89764.0,181710,https://kr.tradingview.com/symbols/KRX-181710/
제이씨현시스템 *,4260.0,-0.12%,110469.0,471.0,125706.0,033320,https://kr.tradingview.com/symbols/KRX-033320/
파수 *,3960.0,-0.38%,60689.0,240.0,40208.0,150900,https://kr.tradingview.com/symbols/KRX-150900/
효성ITX,12560.0,-0.71%,15415.0,194.0,15638.0,094280,https://kr.tradingview.com/symbols/KRX-094280/
포시에스 *,2030.0,-0.73%,82548.0,167.0,49555.0,189690,https://kr.tradingview.com/symbols/KRX-189690/
영림원소프트랩 *,6270.0,-1.57%,35529.0,223.0,61492.0,060850,https://kr.tradingview.com/symbols/KRX-060850/
휴네시온 *,3840.0,-1.66%,26350.0,101.0,71517.0,290270,https://kr.tradingview.com/symbols/KRX-290270/
에스넷 *,3415.0,-1.73%,76100.0,261.0,64085.0,038680,https://kr.tradingview.com/symbols/KRX-038680/
소프트캠프 *,1367.0,-1.73%,148384.0,203.0,102051.0,258790,https://kr.tradingview.com/symbols/KRX-258790/
알서포트 *,2395.0,-2.84%,182795.0,440.0,200940.0,131370,https://kr.tradingview.com/symbols/KRX-131370/
폴라리스오피스 *,4780.0,-3.92%,739450.0,3571.0,780479.0,041020,https://kr.tradingview.com/symbols/KRX-041020/
