종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
와이즈버즈 *,1350.0,+18.01%,11687513.0,15529.0,2915087.0,273060,https://kr.tradingview.com/symbols/KRX-273060/
레뷰코퍼레이션 *,10920.0,+2.06%,15241.0,165.0,15248.0,443250,https://kr.tradingview.com/symbols/KRX-443250/
KT나스미디어 *,12580.0,+1.94%,46546.0,582.0,38069.0,089600,https://kr.tradingview.com/symbols/KRX-089600/
모비데이즈 *,1680.0,+1.82%,389192.0,661.0,152847.0,363260,https://kr.tradingview.com/symbols/KRX-363260/
제일기획,21950.0,+0.92%,471207.0,10323.0,697160.0,030000,https://kr.tradingview.com/symbols/KRX-030000/
인크로스 *,6970.0,+0.58%,57152.0,396.0,47659.0,216050,https://kr.tradingview.com/symbols/KRX-216050/
이노션,19010.0,+0.37%,102692.0,1944.0,150047.0,214320,https://kr.tradingview.com/symbols/KRX-214320/
플레이디 *,4435.0,+0.11%,50114.0,223.0,24129.0,237820,https://kr.tradingview.com/symbols/KRX-237820/
이엠넷 *,1910.0,+0.05%,17710.0,34.0,49411.0,123570,https://kr.tradingview.com/symbols/KRX-123570/
오리콤 *,5820.0,0.00%,10601.0,61.0,32270.0,010470,https://kr.tradingview.com/symbols/KRX-010470/
YG PLUS,7150.0,0.00%,1903178.0,13784.0,1015015.0,037270,https://kr.tradingview.com/symbols/KRX-037270/
에코마케팅 *,15890.0,-0.06%,38092.0,605.0,87975.0,230360,https://kr.tradingview.com/symbols/KRX-230360/
엔피 *,873.0,-0.46%,166596.0,145.0,240177.0,291230,https://kr.tradingview.com/symbols/KRX-291230/
드림인사이트 *,1761.0,-0.51%,36823.0,65.0,39024.0,362990,https://kr.tradingview.com/symbols/KRX-362990/
FSN *,1849.0,-0.75%,292437.0,538.0,210693.0,214270,https://kr.tradingview.com/symbols/KRX-214270/
지어소프트 *,7860.0,-0.76%,66540.0,524.0,117796.0,051160,https://kr.tradingview.com/symbols/KRX-051160/
HS애드,8220.0,-0.96%,20704.0,170.0,22924.0,035000,https://kr.tradingview.com/symbols/KRX-035000/
차이커뮤니케이션 *,4670.0,-1.48%,14450.0,67.0,17859.0,351870,https://kr.tradingview.com/symbols/KRX-351870/
케어랩스 *,2925.0,-1.52%,69039.0,203.0,126627.0,263700,https://kr.tradingview.com/symbols/KRX-263700/
아시아경제 *,1094.0,-2.23%,44206.0,48.0,38338.0,127710,https://kr.tradingview.com/symbols/KRX-127710/
SM C&C *,1298.0,-2.26%,271015.0,356.0,331439.0,048550,https://kr.tradingview.com/symbols/KRX-048550/
애드포러스 *,7550.0,-2.83%,40640.0,308.0,47238.0,397810,https://kr.tradingview.com/symbols/KRX-397810/
아티스트컴퍼니 *,3845.0,-2.90%,114234.0,438.0,55136.0,321820,https://kr.tradingview.com/symbols/KRX-321820/
비케이홀딩스 *,808.0,-3.69%,112215.0,91.0,49971.0,050090,https://kr.tradingview.com/symbols/KRX-050090/
엔비티 *,2120.0,-4.29%,74900.0,160.0,122258.0,236810,https://kr.tradingview.com/symbols/KRX-236810/
