종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
대주산업 *,4600.0,+4.31%,7497873.0,34460.0,4044173.0,003310,https://kr.tradingview.com/symbols/KRX-003310/
선진,11250.0,+4.26%,350172.0,3805.0,126353.0,136490,https://kr.tradingview.com/symbols/KRX-136490/
팜스코,2970.0,+4.03%,178827.0,519.0,119630.0,036580,https://kr.tradingview.com/symbols/KRX-036580/
이지홀딩스 *,5220.0,+1.75%,275199.0,1425.0,270690.0,035810,https://kr.tradingview.com/symbols/KRX-035810/
우성,16730.0,+1.64%,6173.0,102.0,4446.0,006980,https://kr.tradingview.com/symbols/KRX-006980/
케이씨피드 *,2705.0,+1.50%,111402.0,302.0,112937.0,025880,https://kr.tradingview.com/symbols/KRX-025880/
사조동아원,1077.0,+0.37%,459856.0,491.0,360765.0,008040,https://kr.tradingview.com/symbols/KRX-008040/
우진비앤지 *,790.0,+0.25%,65782.0,52.0,91564.0,018620,https://kr.tradingview.com/symbols/KRX-018620/
고려산업,2420.0,0.00%,81958.0,197.0,99379.0,002140,https://kr.tradingview.com/symbols/KRX-002140/
팜스토리 *,1130.0,0.00%,414491.0,467.0,469582.0,027710,https://kr.tradingview.com/symbols/KRX-027710/
대한제당,2780.0,-0.18%,308489.0,854.0,485225.0,001790,https://kr.tradingview.com/symbols/KRX-001790/
미래생명자원 *,3035.0,-0.65%,103410.0,317.0,134681.0,218150,https://kr.tradingview.com/symbols/KRX-218150/
오에스피 *,1900.0,-1.04%,26905.0,51.0,24292.0,368970,https://kr.tradingview.com/symbols/KRX-368970/
한일사료 *,3020.0,-1.15%,132628.0,401.0,288620.0,005860,https://kr.tradingview.com/symbols/KRX-005860/
이지바이오 *,7050.0,-1.54%,235331.0,1657.0,233505.0,353810,https://kr.tradingview.com/symbols/KRX-353810/
한탑 *,673.0,-1.75%,172386.0,116.0,100055.0,002680,https://kr.tradingview.com/symbols/KRX-002680/
씨티씨바이오 *,4270.0,-3.83%,200804.0,862.0,136323.0,060590,https://kr.tradingview.com/symbols/KRX-060590/
애드바이오텍 *,1695.0,-5.47%,473289.0,784.0,214601.0,179530,https://kr.tradingview.com/symbols/KRX-179530/
