종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크
선진,11250.0,+4.26%,350172.0,3805.0,126353.0,136490,https://kr.tradingview.com/symbols/KRX-136490/
팜스코,2970.0,+4.03%,178827.0,519.0,119630.0,036580,https://kr.tradingview.com/symbols/KRX-036580/
셀레믹스 *,2970.0,+2.95%,51164.0,149.0,24627.0,331920,https://kr.tradingview.com/symbols/KRX-331920/
진바이오텍 *,4440.0,+2.07%,148819.0,655.0,82091.0,086060,https://kr.tradingview.com/symbols/KRX-086060/
이지홀딩스 *,5220.0,+1.75%,275199.0,1425.0,270690.0,035810,https://kr.tradingview.com/symbols/KRX-035810/
우성,16730.0,+1.64%,6173.0,102.0,4446.0,006980,https://kr.tradingview.com/symbols/KRX-006980/
하림 *,3050.0,+1.16%,3334868.0,10262.0,669055.0,136480,https://kr.tradingview.com/symbols/KRX-136480/
옵티팜 *,5300.0,+1.15%,49010.0,257.0,45929.0,153710,https://kr.tradingview.com/symbols/KRX-153710/
우리손에프앤지 *,1642.0,+0.86%,459919.0,741.0,256734.0,073560,https://kr.tradingview.com/symbols/KRX-073560/
중앙백신 *,9550.0,+0.42%,52960.0,504.0,30325.0,072020,https://kr.tradingview.com/symbols/KRX-072020/
파루 *,785.0,+0.38%,200041.0,157.0,211843.0,043200,https://kr.tradingview.com/symbols/KRX-043200/
우진비앤지 *,790.0,+0.25%,65782.0,52.0,91564.0,018620,https://kr.tradingview.com/symbols/KRX-018620/
팜스토리 *,1130.0,0.00%,414491.0,467.0,469582.0,027710,https://kr.tradingview.com/symbols/KRX-027710/
마니커,761.0,0.00%,195521.0,147.0,219268.0,027740,https://kr.tradingview.com/symbols/KRX-027740/
정다운 *,2560.0,0.00%,126670.0,324.0,135891.0,208140,https://kr.tradingview.com/symbols/KRX-208140/
이글벳 *,4160.0,-0.12%,145180.0,599.0,121710.0,044960,https://kr.tradingview.com/symbols/KRX-044960/
코미팜 *,7130.0,-0.56%,198719.0,1416.0,258185.0,041960,https://kr.tradingview.com/symbols/KRX-041960/
대한뉴팜 *,6590.0,-0.60%,51179.0,338.0,44007.0,054670,https://kr.tradingview.com/symbols/KRX-054670/
미래생명자원 *,3035.0,-0.65%,103410.0,317.0,134681.0,218150,https://kr.tradingview.com/symbols/KRX-218150/
강동씨앤엘 *,1040.0,-0.67%,101538.0,105.0,78361.0,198440,https://kr.tradingview.com/symbols/KRX-198440/
체시스,1021.0,-0.68%,105387.0,107.0,204794.0,033250,https://kr.tradingview.com/symbols/KRX-033250/
대성미생물 *,7030.0,-0.71%,13137.0,93.0,13072.0,036480,https://kr.tradingview.com/symbols/KRX-036480/
신라에스지 *,5240.0,-0.76%,19133.0,100.0,16967.0,025870,https://kr.tradingview.com/symbols/KRX-025870/
태경비케이,4605.0,-0.86%,111738.0,515.0,143625.0,014580,https://kr.tradingview.com/symbols/KRX-014580/
한일사료 *,3020.0,-1.15%,132628.0,401.0,288620.0,005860,https://kr.tradingview.com/symbols/KRX-005860/
이지바이오 *,7050.0,-1.54%,235331.0,1657.0,233505.0,353810,https://kr.tradingview.com/symbols/KRX-353810/
동우팜투테이블 *,2065.0,-2.13%,54243.0,113.0,33268.0,088910,https://kr.tradingview.com/symbols/KRX-088910/
전진바이오팜 *,2380.0,-2.46%,29961.0,71.0,45691.0,110020,https://kr.tradingview.com/symbols/KRX-110020/
씨티씨바이오 *,4270.0,-3.83%,200804.0,862.0,136323.0,060590,https://kr.tradingview.com/symbols/KRX-060590/
세니젠 *,1993.0,-4.18%,29498.0,59.0,51352.0,188260,https://kr.tradingview.com/symbols/KRX-188260/
윙입푸드 *,750.0,-4.94%,426284.0,321.0,168283.0,900340,https://kr.tradingview.com/symbols/KRX-900340/
