종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
화신정공 *,1638.0,+21.69%,39641316.0,64223.0,450439.0,126640,https://kr.tradingview.com/symbols/KRX-126640/,574억,2026.02.02,0,-689054
육일씨엔에쓰 *,4700.0,+20.51%,5205918.0,23915.0,4978618.0,191410,https://kr.tradingview.com/symbols/KRX-191410/,527억,2026.02.02,-1137,-29662
삼미금속 *,16150.0,+16.61%,15923686.0,258746.0,13345211.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"3,584억",2026.02.02,0,16048
웹스 *,2380.0,+7.69%,438659.0,1012.0,212061.0,196700,https://kr.tradingview.com/symbols/KRX-196700/,342억,2026.02.02,0,-38736
두올,4655.0,+6.04%,1038633.0,4929.0,431020.0,016740,https://kr.tradingview.com/symbols/KRX-016740/,"1,335억",2026.02.02,-1368,150010
알멕 *,64800.0,+4.68%,282748.0,18718.0,113670.0,354320,https://kr.tradingview.com/symbols/KRX-354320/,"4,142억",2026.02.02,6431,48220
태양금속,2395.0,+4.59%,1341956.0,3193.0,613367.0,004100,https://kr.tradingview.com/symbols/KRX-004100/,879억,2026.02.02,164,-115361
남선알미늄,1283.0,+3.05%,15484707.0,20284.0,9881939.0,008350,https://kr.tradingview.com/symbols/KRX-008350/,"1,656억",2026.02.02,-303,-123929
디와이씨 *,1274.0,+2.17%,395980.0,508.0,328508.0,310870,https://kr.tradingview.com/symbols/KRX-310870/,264억,2026.02.02,0,-23144
와이엠 *,2435.0,+2.10%,46885.0,114.0,58386.0,007530,https://kr.tradingview.com/symbols/KRX-007530/,542억,2026.02.02,405,-2879
에이치엠넥스 *,1530.0,+2.00%,590425.0,899.0,349377.0,036170,https://kr.tradingview.com/symbols/KRX-036170/,939억,2026.02.02,0,57054
대동기어 *,17720.0,+1.90%,368558.0,6568.0,222477.0,008830,https://kr.tradingview.com/symbols/KRX-008830/,"1,593억",2026.02.02,-1,4737
우신시스템,6480.0,+1.41%,243870.0,1603.0,126132.0,017370,https://kr.tradingview.com/symbols/KRX-017370/,"1,187억",2026.02.02,-2954,-24340
삼기 *,1819.0,+1.39%,657334.0,1185.0,617431.0,122350,https://kr.tradingview.com/symbols/KRX-122350/,697억,2026.02.02,-2067,72053
티피씨글로벌 *,2235.0,+1.36%,316552.0,697.0,351240.0,130740,https://kr.tradingview.com/symbols/KRX-130740/,252억,2026.02.02,0,71450
DH오토웨어 *,1038.0,+1.07%,316327.0,328.0,473898.0,025440,https://kr.tradingview.com/symbols/KRX-025440/,506억,2026.02.02,0,10426
모토닉,10460.0,+1.06%,79457.0,825.0,47210.0,009680,https://kr.tradingview.com/symbols/KRX-009680/,"2,934억",2026.02.02,-1086,933
대원강업,4210.0,+0.96%,265691.0,1141.0,154711.0,000430,https://kr.tradingview.com/symbols/KRX-000430/,"2,610억",2026.02.02,-3075,22130
지엠비코리아,5090.0,+0.39%,231015.0,1189.0,264345.0,013870,https://kr.tradingview.com/symbols/KRX-013870/,971억,2026.02.02,-1008,-21358
일정실업,3110.0,+0.32%,51989.0,160.0,47599.0,008500,https://kr.tradingview.com/symbols/KRX-008500/,187억,2026.02.02,24,8975
엔비알모션 *,20750.0,+0.24%,4964016.0,108708.0,2596768.0,0004V0,https://kr.tradingview.com/symbols/KRX-000040/,359억,2026.02.02,42,18188
태원물산,3215.0,+0.16%,14265.0,45.0,2824.0,001420,https://kr.tradingview.com/symbols/KRX-001420/,244억,2026.02.02,32,-927
티에이치엔,6990.0,+0.14%,283821.0,1983.0,414384.0,019180,https://kr.tradingview.com/symbols/KRX-019180/,"1,258억",2026.02.02,342,14274
세아특수강,18870.0,0.00%,0.0,0.0,0.0,019440,https://kr.tradingview.com/symbols/KRX-019440/,"1,617억",2026.02.02,0,0
새론오토모티브,3120.0,0.00%,8107.0,25.0,1260.0,075180,https://kr.tradingview.com/symbols/KRX-075180/,599억,2026.02.02,-2538,-51
영화테크 *,8100.0,-0.12%,74654.0,604.0,60729.0,265560,https://kr.tradingview.com/symbols/KRX-265560/,866억,2026.02.02,0,13263
핸즈코퍼레이션,1158.0,-0.34%,46291.0,53.0,45148.0,143210,https://kr.tradingview.com/symbols/KRX-143210/,253억,2026.02.02,55,377
금호에이치티,515.0,-0.39%,1168540.0,596.0,579178.0,214330,https://kr.tradingview.com/symbols/KRX-214330/,"1,123억",2026.02.02,-12120,-9856
SNT다이내믹스,49350.0,-0.40%,120694.0,6058.0,160537.0,003570,https://kr.tradingview.com/symbols/KRX-003570/,"16,410억",2026.02.02,545,-19706
