종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
바이오스마트 *,5680.0,+29.98%,10308606.0,51162.0,2372551.0,038460,https://kr.tradingview.com/symbols/KRX-038460/,"1,486억"
엔젠바이오 *,2635.0,+29.80%,10144387.0,25676.0,896933.0,354200,https://kr.tradingview.com/symbols/KRX-354200/,660억
진시스템 *,4755.0,+9.18%,187850.0,926.0,154741.0,363250,https://kr.tradingview.com/symbols/KRX-363250/,335억
제이에스링크 *,22250.0,+6.71%,317880.0,6899.0,204866.0,127120,https://kr.tradingview.com/symbols/KRX-127120/,"7,272억"
진원생명과학,2045.0,+6.57%,5680154.0,11887.0,808657.0,011000,https://kr.tradingview.com/symbols/KRX-011000/,"1,747억"
랩지노믹스 *,1798.0,+2.22%,2443929.0,4491.0,653970.0,084650,https://kr.tradingview.com/symbols/KRX-084650/,"1,335억"
수젠텍 *,6350.0,+2.09%,1592517.0,10637.0,241723.0,253840,https://kr.tradingview.com/symbols/KRX-253840/,"1,063억"
진매트릭스 *,2470.0,+1.65%,181225.0,449.0,82888.0,109820,https://kr.tradingview.com/symbols/KRX-109820/,504억
옵티팜 *,5360.0,+1.13%,46373.0,249.0,50449.0,153710,https://kr.tradingview.com/symbols/KRX-153710/,786억
휴마시스 *,1002.0,+0.20%,1760682.0,1803.0,1002867.0,205470,https://kr.tradingview.com/symbols/KRX-205470/,"1,296억"
제놀루션 *,1871.0,+0.05%,72514.0,135.0,155044.0,225220,https://kr.tradingview.com/symbols/KRX-225220/,359억
유바이오로직스 *,12500.0,-0.16%,268484.0,3396.0,433454.0,206650,https://kr.tradingview.com/symbols/KRX-206650/,"4,584억"
엑세스바이오 *,3745.0,-0.53%,173266.0,658.0,138050.0,950130,https://kr.tradingview.com/symbols/KRX-950130/,"1,413억"
코미팜 *,7090.0,-0.56%,199782.0,1418.0,198825.0,041960,https://kr.tradingview.com/symbols/KRX-041960/,"5,239억"
프리시젼바이오 *,2600.0,-0.76%,29317.0,75.0,16583.0,335810,https://kr.tradingview.com/symbols/KRX-335810/,467억
큐라티스 *,1003.0,-0.89%,189589.0,189.0,236540.0,348080,https://kr.tradingview.com/symbols/KRX-348080/,820억
케이바이오 *,266.0,-1.12%,6426524.0,1747.0,2689806.0,038530,https://kr.tradingview.com/symbols/KRX-038530/,308억
휴온스 *,27150.0,-1.27%,30130.0,827.0,21177.0,243070,https://kr.tradingview.com/symbols/KRX-243070/,"3,252억"
메타케어,297.0,-1.33%,380627.0,112.0,634269.0,118000,https://kr.tradingview.com/symbols/KRX-118000/,510억
비씨월드제약 *,4805.0,-1.44%,16604.0,80.0,19375.0,200780,https://kr.tradingview.com/symbols/KRX-200780/,468억
에이비온 *,3615.0,-1.90%,2126975.0,7865.0,2039436.0,203400,https://kr.tradingview.com/symbols/KRX-203400/,"3,257억"
종근당,83800.0,-1.99%,60004.0,5039.0,36147.0,185750,https://kr.tradingview.com/symbols/KRX-185750/,"11,567억"
녹십자엠에스 *,3775.0,-2.20%,115153.0,437.0,85418.0,142280,https://kr.tradingview.com/symbols/KRX-142280/,821억
바이오노트,5710.0,-2.23%,210905.0,1226.0,635851.0,377740,https://kr.tradingview.com/symbols/KRX-377740/,"5,827억"
강스템바이오텍 *,2145.0,-2.28%,561733.0,1212.0,535907.0,217730,https://kr.tradingview.com/symbols/KRX-217730/,"2,017억"
팜젠사이언스,4110.0,-2.38%,119640.0,493.0,126276.0,004720,https://kr.tradingview.com/symbols/KRX-004720/,902억
JW중외제약,30350.0,-2.41%,153987.0,4704.0,144751.0,001060,https://kr.tradingview.com/symbols/KRX-001060/,"7,067억"
오상자이엘 *,3210.0,-2.43%,108193.0,349.0,126964.0,053980,https://kr.tradingview.com/symbols/KRX-053980/,609억
제일약품,14190.0,-2.54%,30636.0,440.0,27499.0,271980,https://kr.tradingview.com/symbols/KRX-271980/,"2,087억"
