종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
지아이에스 *,2500.0,+2.04%,3667059.0,9697.0,414673.0,306620,https://kr.tradingview.com/symbols/KRX-306620/,"1,125억"
삼성전기,283000.0,+1.43%,1476234.0,427780.0,711202.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"211,383억"
대주전자재료 *,75700.0,-0.13%,428302.0,32941.0,359512.0,078600,https://kr.tradingview.com/symbols/KRX-078600/,"11,719억"
한울반도체 *,1880.0,-0.58%,190589.0,356.0,366636.0,320000,https://kr.tradingview.com/symbols/KRX-320000/,618억
아모텍 *,9790.0,-1.41%,476696.0,4745.0,256676.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,431억"
코스모신소재,50000.0,-1.96%,479675.0,24630.0,626637.0,005070,https://kr.tradingview.com/symbols/KRX-005070/,"16,255억"
코칩 *,16430.0,-2.43%,123473.0,2060.0,173648.0,126730,https://kr.tradingview.com/symbols/KRX-126730/,"1,397억"
아바텍 *,9000.0,-4.36%,29939.0,274.0,24389.0,149950,https://kr.tradingview.com/symbols/KRX-149950/,"1,230억"
삼화콘덴서,30200.0,-4.43%,119915.0,3727.0,97371.0,001820,https://kr.tradingview.com/symbols/KRX-001820/,"3,139억"
원준 *,9670.0,-5.38%,383234.0,3792.0,373272.0,382840,https://kr.tradingview.com/symbols/KRX-382840/,"1,477억"
