종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
현대비앤지스틸,17520.0,+29.97%,6088321.0,101387.0,120561.0,004560,https://kr.tradingview.com/symbols/KRX-004560/,"2,642억"
쎄노텍 *,1985.0,+14.94%,8886485.0,17713.0,4703409.0,222420,https://kr.tradingview.com/symbols/KRX-222420/,902억
유니온,4335.0,-1.48%,151924.0,663.0,202465.0,000910,https://kr.tradingview.com/symbols/KRX-000910/,677억
동국알앤에스 *,2190.0,-1.57%,66087.0,146.0,82564.0,075970,https://kr.tradingview.com/symbols/KRX-075970/,403억
엔젯 *,8000.0,-1.72%,213482.0,1742.0,221474.0,419080,https://kr.tradingview.com/symbols/KRX-419080/,855억
POSCO홀딩스,341500.0,-1.73%,584426.0,201590.0,1046195.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"276,386억"
성안머티리얼스,385.0,-1.79%,1329990.0,503.0,1002644.0,011300,https://kr.tradingview.com/symbols/KRX-011300/,599억
티플랙스 *,3010.0,-2.11%,143107.0,434.0,153321.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,730억
삼화전자,2810.0,-3.60%,123499.0,350.0,165965.0,011230,https://kr.tradingview.com/symbols/KRX-011230/,539억
대원화성,818.0,-3.65%,73714.0,60.0,102885.0,024890,https://kr.tradingview.com/symbols/KRX-024890/,337억
유니온머티리얼,1477.0,-4.09%,473288.0,706.0,530812.0,047400,https://kr.tradingview.com/symbols/KRX-047400/,620억
노바텍 *,28650.0,-4.82%,236493.0,6988.0,517849.0,285490,https://kr.tradingview.com/symbols/KRX-285490/,"3,030억"
EG *,5800.0,-4.92%,67042.0,395.0,93271.0,037370,https://kr.tradingview.com/symbols/KRX-037370/,500억
그린리소스 *,8270.0,-5.05%,247475.0,2095.0,297254.0,402490,https://kr.tradingview.com/symbols/KRX-402490/,"1,370억"
LS에코에너지,38800.0,-5.94%,225361.0,8907.0,222078.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"11,882억"
고려아연,1650000.0,-12.42%,98503.0,164613.0,83505.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,"344,404억"
