종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
엔알비 *,18680.0,+0.92%,223977.0,4210.0,168679.0,475230,https://kr.tradingview.com/symbols/KRX-475230/,"1,963억"
금강공업,6180.0,+0.16%,481181.0,3010.0,354086.0,014280,https://kr.tradingview.com/symbols/KRX-014280/,"1,813억"
한신공영,10000.0,0.00%,283920.0,2906.0,240051.0,004960,https://kr.tradingview.com/symbols/KRX-004960/,"1,157억"
에스와이 *,2750.0,0.00%,307782.0,843.0,346065.0,109610,https://kr.tradingview.com/symbols/KRX-109610/,"1,345억"
덕신이피씨 *,1205.0,-1.39%,120497.0,145.0,136337.0,090410,https://kr.tradingview.com/symbols/KRX-090410/,555억
POSCO홀딩스,341500.0,-1.73%,584426.0,201590.0,1046195.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"276,386억"
GS건설,18300.0,-2.50%,975199.0,18047.0,1539499.0,006360,https://kr.tradingview.com/symbols/KRX-006360/,"15,661억"
자연과환경 *,575.0,-3.36%,994257.0,576.0,798881.0,043910,https://kr.tradingview.com/symbols/KRX-043910/,652억
코오롱글로벌,8750.0,-3.42%,40892.0,361.0,45476.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,"2,225억"
삼성물산,291000.0,-3.48%,397457.0,117045.0,514418.0,028260,https://kr.tradingview.com/symbols/KRX-028260/,"494,632억"
