종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
팜스빌 *,3640.0,+3.41%,42395.0,153.0,18706.0,318010,https://kr.tradingview.com/symbols/KRX-318010/,289억
롯데웰푸드,119100.0,+2.41%,48292.0,5800.0,26795.0,280360,https://kr.tradingview.com/symbols/KRX-280360/,"11,082억"
코스맥스엔비티 *,3300.0,+2.01%,126837.0,415.0,72915.0,222040,https://kr.tradingview.com/symbols/KRX-222040/,681억
CJ프레시웨이 *,28200.0,+0.89%,49353.0,1402.0,69591.0,051500,https://kr.tradingview.com/symbols/KRX-051500/,"3,348억"
롯데칠성,134600.0,+0.82%,45878.0,6197.0,47097.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,489억"
조흥,159900.0,+0.69%,166.0,26.0,107.0,002600,https://kr.tradingview.com/symbols/KRX-002600/,959억
티엔엔터테인먼트 *,1378.0,+0.44%,62216.0,84.0,43246.0,131100,https://kr.tradingview.com/symbols/KRX-131100/,444억
매일유업 *,35400.0,+0.28%,13120.0,467.0,13303.0,267980,https://kr.tradingview.com/symbols/KRX-267980/,"2,713억"
오리온,117800.0,+0.26%,297963.0,35764.0,124346.0,271560,https://kr.tradingview.com/symbols/KRX-271560/,"46,574억"
태원물산,3215.0,+0.16%,14265.0,45.0,2824.0,001420,https://kr.tradingview.com/symbols/KRX-001420/,244억
마니커에프앤지 *,2750.0,0.00%,233624.0,657.0,36174.0,195500,https://kr.tradingview.com/symbols/KRX-195500/,439억
신세계푸드,47350.0,-0.11%,6490.0,307.0,6657.0,031440,https://kr.tradingview.com/symbols/KRX-031440/,"1,834억"
삼양사,47500.0,-0.11%,11502.0,543.0,29021.0,145990,https://kr.tradingview.com/symbols/KRX-145990/,"4,899억"
푸드나무 *,1982.0,-0.15%,72676.0,146.0,43303.0,290720,https://kr.tradingview.com/symbols/KRX-290720/,681억
빙그레,74500.0,-0.40%,51476.0,3806.0,80602.0,005180,https://kr.tradingview.com/symbols/KRX-005180/,"7,119억"
샘표식품,29800.0,-0.50%,22105.0,659.0,18762.0,248170,https://kr.tradingview.com/symbols/KRX-248170/,"1,361억"
