종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
삼표시멘트 *,10920.0,+30.00%,27484068.0,278096.0,65311726.0,038500,https://kr.tradingview.com/symbols/KRX-038500/,"11,784억"
모헨즈 *,3350.0,+1.52%,261943.0,884.0,108642.0,006920,https://kr.tradingview.com/symbols/KRX-006920/,366억
성신양회,9870.0,+0.30%,114246.0,1121.0,131589.0,004980,https://kr.tradingview.com/symbols/KRX-004980/,"2,420억"
서산 *,1397.0,+0.14%,6803.0,9.0,24288.0,079650,https://kr.tradingview.com/symbols/KRX-079650/,279억
쎄니트 *,1776.0,-0.22%,4994.0,9.0,29965.0,037760,https://kr.tradingview.com/symbols/KRX-037760/,601억
아세아시멘트,12460.0,-0.48%,148250.0,1866.0,132740.0,183190,https://kr.tradingview.com/symbols/KRX-183190/,"4,601억"
유진기업 *,3965.0,-0.75%,421253.0,1668.0,371401.0,023410,https://kr.tradingview.com/symbols/KRX-023410/,"3,065억"
HC홈센타 *,693.0,-0.86%,71424.0,49.0,205006.0,060560,https://kr.tradingview.com/symbols/KRX-060560/,880억
HC보광산업 *,2770.0,-1.07%,40962.0,113.0,66722.0,225530,https://kr.tradingview.com/symbols/KRX-225530/,"1,007억"
SG *,2650.0,-1.12%,3348239.0,9095.0,5603047.0,255220,https://kr.tradingview.com/symbols/KRX-255220/,"2,754억"
한일시멘트,16920.0,-1.23%,119425.0,2043.0,157659.0,300720,https://kr.tradingview.com/symbols/KRX-300720/,"12,444억"
강동씨앤엘 *,1025.0,-1.44%,86209.0,89.0,101715.0,198440,https://kr.tradingview.com/symbols/KRX-198440/,625억
유니온,4335.0,-1.48%,151924.0,663.0,202465.0,000910,https://kr.tradingview.com/symbols/KRX-000910/,677억
동양,864.0,-1.71%,2205155.0,1936.0,2838701.0,001520,https://kr.tradingview.com/symbols/KRX-001520/,"2,062억"
부산산업,74300.0,-3.51%,9616.0,726.0,9438.0,011390,https://kr.tradingview.com/symbols/KRX-011390/,785억
