종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
레이저쎌 *,2560.0,+12.53%,8024064.0,22495.0,962662.0,412350,https://kr.tradingview.com/symbols/KRX-412350/,333억
지아이에스 *,2500.0,+2.04%,3667059.0,9697.0,414673.0,306620,https://kr.tradingview.com/symbols/KRX-306620/,"1,125억"
예스티 *,21700.0,0.00%,645206.0,14376.0,870790.0,122640,https://kr.tradingview.com/symbols/KRX-122640/,"4,633억"
티에스이 *,77500.0,-1.02%,177819.0,14053.0,236219.0,131290,https://kr.tradingview.com/symbols/KRX-131290/,"8,573억"
주성엔지니어링 *,40850.0,-1.21%,1566210.0,65557.0,2296499.0,036930,https://kr.tradingview.com/symbols/KRX-036930/,"19,309억"
탑엔지니어링 *,3660.0,-1.61%,102332.0,379.0,84566.0,065130,https://kr.tradingview.com/symbols/KRX-065130/,586억
프로텍 *,49850.0,-2.25%,380713.0,20128.0,974454.0,053610,https://kr.tradingview.com/symbols/KRX-053610/,"5,484억"
미래컴퍼니 *,17560.0,-2.77%,147060.0,2647.0,130877.0,049950,https://kr.tradingview.com/symbols/KRX-049950/,"1,548억"
기가레인 *,524.0,-3.50%,319715.0,170.0,364393.0,049080,https://kr.tradingview.com/symbols/KRX-049080/,445억
이오테크닉스 *,354500.0,-5.72%,201939.0,73151.0,299087.0,039030,https://kr.tradingview.com/symbols/KRX-039030/,"43,673억"
티씨케이 *,207000.0,-13.03%,142048.0,30341.0,157715.0,064760,https://kr.tradingview.com/symbols/KRX-064760/,"23,141억"
