종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
일성아이에스,24200.0,+10.50%,156464.0,3798.0,13035.0,003120,https://kr.tradingview.com/symbols/KRX-003120/,"3,219억"
진원생명과학,2045.0,+6.57%,5680154.0,11887.0,808657.0,011000,https://kr.tradingview.com/symbols/KRX-011000/,"1,747억"
대성미생물 *,7400.0,+5.26%,1313146.0,10702.0,18648.0,036480,https://kr.tradingview.com/symbols/KRX-036480/,281억
이글벳 *,4265.0,+2.52%,2096263.0,9281.0,153891.0,044960,https://kr.tradingview.com/symbols/KRX-044960/,539억
랩지노믹스 *,1798.0,+2.22%,2443929.0,4491.0,653970.0,084650,https://kr.tradingview.com/symbols/KRX-084650/,"1,335억"
수젠텍 *,6350.0,+2.09%,1592517.0,10637.0,241723.0,253840,https://kr.tradingview.com/symbols/KRX-253840/,"1,063억"
진매트릭스 *,2470.0,+1.65%,181225.0,449.0,82888.0,109820,https://kr.tradingview.com/symbols/KRX-109820/,504억
옵티팜 *,5360.0,+1.13%,46373.0,249.0,50449.0,153710,https://kr.tradingview.com/symbols/KRX-153710/,786억
우진비앤지 *,792.0,+0.25%,372487.0,304.0,65792.0,018620,https://kr.tradingview.com/symbols/KRX-018620/,229억
파루 *,787.0,+0.25%,412018.0,328.0,222058.0,043200,https://kr.tradingview.com/symbols/KRX-043200/,329억
중앙백신 *,9570.0,+0.21%,286319.0,2808.0,53802.0,072020,https://kr.tradingview.com/symbols/KRX-072020/,905억
유바이오로직스 *,12500.0,-0.16%,268484.0,3396.0,433454.0,206650,https://kr.tradingview.com/symbols/KRX-206650/,"4,584억"
체시스,1016.0,-0.49%,1025689.0,1077.0,105438.0,033250,https://kr.tradingview.com/symbols/KRX-033250/,325억
엑세스바이오 *,3745.0,-0.53%,173266.0,658.0,138050.0,950130,https://kr.tradingview.com/symbols/KRX-950130/,"1,413억"
코미팜 *,7090.0,-0.56%,199782.0,1418.0,198825.0,041960,https://kr.tradingview.com/symbols/KRX-041960/,"5,239억"
대한뉴팜 *,6540.0,-0.76%,70555.0,471.0,51400.0,054670,https://kr.tradingview.com/symbols/KRX-054670/,939억
큐라티스 *,1003.0,-0.89%,189589.0,189.0,236540.0,348080,https://kr.tradingview.com/symbols/KRX-348080/,820억
진바이오텍 *,4400.0,-0.90%,200600.0,900.0,150283.0,086060,https://kr.tradingview.com/symbols/KRX-086060/,379억
프로티아 *,5010.0,-1.57%,54690.0,275.0,545125.0,303360,https://kr.tradingview.com/symbols/KRX-303360/,645억
고려제약 *,4000.0,-1.60%,84900.0,340.0,153681.0,014570,https://kr.tradingview.com/symbols/KRX-014570/,440억
모아라이프플러스 *,1600.0,-1.90%,139663.0,224.0,293922.0,142760,https://kr.tradingview.com/symbols/KRX-142760/,638억
광동제약,5910.0,-1.99%,168505.0,1008.0,167467.0,009290,https://kr.tradingview.com/symbols/KRX-009290/,"2,943억"
종근당,83800.0,-1.99%,60004.0,5039.0,36147.0,185750,https://kr.tradingview.com/symbols/KRX-185750/,"11,567억"
오상헬스케어 *,11050.0,-2.64%,44597.0,510.0,23689.0,036220,https://kr.tradingview.com/symbols/KRX-036220/,"1,603억"
보령,8970.0,-3.03%,186626.0,1691.0,194826.0,003850,https://kr.tradingview.com/symbols/KRX-003850/,"7,695억"
유한양행,104600.0,-3.15%,393637.0,41556.0,404487.0,000100,https://kr.tradingview.com/symbols/KRX-000100/,"83,647억"
바디텍메드 *,12610.0,-3.22%,73077.0,933.0,83222.0,206640,https://kr.tradingview.com/symbols/KRX-206640/,"2,962억"
신풍제약,12590.0,-3.23%,171129.0,2188.0,188528.0,019170,https://kr.tradingview.com/symbols/KRX-019170/,"6,671억"
아이진 *,1444.0,-3.41%,232123.0,339.0,241610.0,185490,https://kr.tradingview.com/symbols/KRX-185490/,624억
화일약품 *,1040.0,-3.44%,516734.0,544.0,466652.0,061250,https://kr.tradingview.com/symbols/KRX-061250/,900억
한미약품,467000.0,-3.51%,94080.0,44454.0,148787.0,128940,https://kr.tradingview.com/symbols/KRX-128940/,"59,827억"
롤링스톤 *,3310.0,-3.92%,25771.0,86.0,22238.0,214610,https://kr.tradingview.com/symbols/KRX-214610/,277억
씨티씨바이오 *,4100.0,-3.98%,157245.0,658.0,201024.0,060590,https://kr.tradingview.com/symbols/KRX-060590/,991억
바이오니아 *,13000.0,-3.99%,141687.0,1866.0,215081.0,064550,https://kr.tradingview.com/symbols/KRX-064550/,"3,355억"
에이프로젠바이오로직스,518.0,-4.07%,375309.0,196.0,549400.0,003060,https://kr.tradingview.com/symbols/KRX-003060/,"1,028억"
SK바이오사이언스,48600.0,-4.14%,189573.0,9352.0,178538.0,302440,https://kr.tradingview.com/symbols/KRX-302440/,"38,119억"
차백신연구소 *,2720.0,-4.23%,94743.0,261.0,148955.0,261780,https://kr.tradingview.com/symbols/KRX-261780/,731억
SK케미칼,64200.0,-4.46%,84384.0,5512.0,126052.0,285130,https://kr.tradingview.com/symbols/KRX-285130/,"11,106억"
녹십자홀딩스,14850.0,-4.93%,119596.0,1802.0,122223.0,005250,https://kr.tradingview.com/symbols/KRX-005250/,"6,984억"
녹십자,156700.0,-4.97%,55208.0,8850.0,76319.0,006280,https://kr.tradingview.com/symbols/KRX-006280/,"18,313억"
인트론바이오 *,3755.0,-5.06%,234866.0,890.0,453304.0,048530,https://kr.tradingview.com/symbols/KRX-048530/,"1,246억"
씨젠 *,26800.0,-6.29%,617985.0,17284.0,576587.0,096530,https://kr.tradingview.com/symbols/KRX-096530/,"13,997억"
