종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
바이오스마트 *,5680.0,+29.98%,10308606.0,51162.0,2372551.0,038460,https://kr.tradingview.com/symbols/KRX-038460/,"1,486억"
엔젠바이오 *,2635.0,+29.80%,10144387.0,25676.0,896933.0,354200,https://kr.tradingview.com/symbols/KRX-354200/,660억
진시스템 *,4755.0,+9.18%,187850.0,926.0,154741.0,363250,https://kr.tradingview.com/symbols/KRX-363250/,335억
랩지노믹스 *,1798.0,+2.22%,2443929.0,4491.0,653970.0,084650,https://kr.tradingview.com/symbols/KRX-084650/,"1,335억"
수젠텍 *,6350.0,+2.09%,1592517.0,10637.0,241723.0,253840,https://kr.tradingview.com/symbols/KRX-253840/,"1,063억"
진매트릭스 *,2470.0,+1.65%,181225.0,449.0,82888.0,109820,https://kr.tradingview.com/symbols/KRX-109820/,504억
휴마시스 *,1002.0,+0.20%,1760682.0,1803.0,1002867.0,205470,https://kr.tradingview.com/symbols/KRX-205470/,"1,296억"
제놀루션 *,1871.0,+0.05%,72514.0,135.0,155044.0,225220,https://kr.tradingview.com/symbols/KRX-225220/,359억
유바이오로직스 *,12500.0,-0.16%,268484.0,3396.0,433454.0,206650,https://kr.tradingview.com/symbols/KRX-206650/,"4,584억"
엑세스바이오 *,3745.0,-0.53%,173266.0,658.0,138050.0,950130,https://kr.tradingview.com/symbols/KRX-950130/,"1,413억"
프리시젼바이오 *,2600.0,-0.76%,29317.0,75.0,16583.0,335810,https://kr.tradingview.com/symbols/KRX-335810/,467억
휴온스 *,27150.0,-1.27%,30130.0,827.0,21177.0,243070,https://kr.tradingview.com/symbols/KRX-243070/,"3,252억"
메타케어,297.0,-1.33%,380627.0,112.0,634269.0,118000,https://kr.tradingview.com/symbols/KRX-118000/,510억
종근당,83800.0,-1.99%,60004.0,5039.0,36147.0,185750,https://kr.tradingview.com/symbols/KRX-185750/,"11,567억"
녹십자엠에스 *,3775.0,-2.20%,115153.0,437.0,85418.0,142280,https://kr.tradingview.com/symbols/KRX-142280/,821억
바이오노트,5710.0,-2.23%,210905.0,1226.0,635851.0,377740,https://kr.tradingview.com/symbols/KRX-377740/,"5,827억"
팜젠사이언스,4110.0,-2.38%,119640.0,493.0,126276.0,004720,https://kr.tradingview.com/symbols/KRX-004720/,902억
오상자이엘 *,3210.0,-2.43%,108193.0,349.0,126964.0,053980,https://kr.tradingview.com/symbols/KRX-053980/,609억
오상헬스케어 *,11050.0,-2.64%,44597.0,510.0,23689.0,036220,https://kr.tradingview.com/symbols/KRX-036220/,"1,603억"
나노실리칸첨단소재 *,1634.0,-2.74%,110665.0,181.0,81738.0,286750,https://kr.tradingview.com/symbols/KRX-286750/,523억
에스디바이오센서,8770.0,-2.77%,199029.0,1787.0,207438.0,137310,https://kr.tradingview.com/symbols/KRX-137310/,"1,677억"
CJ 바이오사이언스 *,8640.0,-2.92%,50809.0,437.0,37723.0,311690,https://kr.tradingview.com/symbols/KRX-311690/,"1,129억"
얼라인드 *,3790.0,-2.94%,104048.0,402.0,296989.0,238120,https://kr.tradingview.com/symbols/KRX-238120/,545억
바디텍메드 *,12610.0,-3.22%,73077.0,933.0,83222.0,206640,https://kr.tradingview.com/symbols/KRX-206640/,"2,962억"
유투바이오 *,4570.0,-3.38%,152714.0,711.0,209662.0,221800,https://kr.tradingview.com/symbols/KRX-221800/,619억
퀀타매트릭스 *,4140.0,-3.50%,196919.0,826.0,140520.0,317690,https://kr.tradingview.com/symbols/KRX-317690/,830억
드림텍,7600.0,-3.92%,659904.0,5137.0,766764.0,192650,https://kr.tradingview.com/symbols/KRX-192650/,"5,240억"
롤링스톤 *,3310.0,-3.92%,25771.0,86.0,22238.0,214610,https://kr.tradingview.com/symbols/KRX-214610/,277억
씨티씨바이오 *,4100.0,-3.98%,157245.0,658.0,201024.0,060590,https://kr.tradingview.com/symbols/KRX-060590/,991억
바이오니아 *,13000.0,-3.99%,141687.0,1866.0,215081.0,064550,https://kr.tradingview.com/symbols/KRX-064550/,"3,355억"
대웅제약,161800.0,-4.20%,27642.0,4530.0,46051.0,069620,https://kr.tradingview.com/symbols/KRX-069620/,"18,747억"
소마젠 *,3825.0,-4.37%,275817.0,1061.0,3219491.0,950200,https://kr.tradingview.com/symbols/KRX-950200/,736억
파미셀,13460.0,-4.47%,677199.0,9232.0,795572.0,005690,https://kr.tradingview.com/symbols/KRX-005690/,"8,078억"
나노엔텍 *,4870.0,-4.70%,516281.0,2588.0,1016769.0,039860,https://kr.tradingview.com/symbols/KRX-039860/,"1,855억"
일동제약,36250.0,-4.73%,383909.0,14168.0,507787.0,249420,https://kr.tradingview.com/symbols/KRX-249420/,"11,469억"
인트론바이오 *,3755.0,-5.06%,234866.0,890.0,453304.0,048530,https://kr.tradingview.com/symbols/KRX-048530/,"1,246억"
인바이오젠,11100.0,-5.13%,14057.0,159.0,11638.0,101140,https://kr.tradingview.com/symbols/KRX-101140/,"1,115억"
마이크로디지탈 *,9180.0,-5.36%,216487.0,1997.0,234919.0,305090,https://kr.tradingview.com/symbols/KRX-305090/,"1,707억"
씨젠 *,26800.0,-6.29%,617985.0,17284.0,576587.0,096530,https://kr.tradingview.com/symbols/KRX-096530/,"13,997억"
HLB제넥스 *,2610.0,-6.45%,91755.0,243.0,129321.0,187420,https://kr.tradingview.com/symbols/KRX-187420/,761억
지노믹트리 *,22300.0,-6.50%,203846.0,4619.0,408114.0,228760,https://kr.tradingview.com/symbols/KRX-228760/,"5,492억"
