종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
데이원컴퍼니 *,4470.0,+1.71%,179166.0,832.0,15524.0,373160,https://kr.tradingview.com/symbols/KRX-373160/,617억
디지털대성 *,8150.0,+0.62%,97541.0,789.0,83600.0,068930,https://kr.tradingview.com/symbols/KRX-068930/,"2,256억"
비상교육,5000.0,+0.40%,39787.0,198.0,31953.0,100220,https://kr.tradingview.com/symbols/KRX-100220/,650억
이퓨쳐 *,4110.0,+0.24%,12148.0,49.0,8712.0,134060,https://kr.tradingview.com/symbols/KRX-134060/,196억
아이스크림미디어 *,16890.0,-0.12%,94994.0,1607.0,113743.0,461300,https://kr.tradingview.com/symbols/KRX-461300/,"2,246억"
골드앤에스 *,642.0,-0.16%,165029.0,107.0,236081.0,035290,https://kr.tradingview.com/symbols/KRX-035290/,153억
멀티캠퍼스 *,29700.0,-1.00%,15070.0,446.0,22894.0,067280,https://kr.tradingview.com/symbols/KRX-067280/,"1,760억"
정상제이엘에스 *,5750.0,-1.03%,49724.0,285.0,18589.0,040420,https://kr.tradingview.com/symbols/KRX-040420/,901억
메가엠디 *,1836.0,-1.08%,84568.0,157.0,100374.0,133750,https://kr.tradingview.com/symbols/KRX-133750/,430억
NE능률 *,1840.0,-1.08%,58180.0,108.0,32360.0,053290,https://kr.tradingview.com/symbols/KRX-053290/,304억
유비온 *,1065.0,-1.39%,86564.0,92.0,95879.0,084440,https://kr.tradingview.com/symbols/KRX-084440/,210억
유엔젤,4510.0,-1.53%,58750.0,264.0,131852.0,072130,https://kr.tradingview.com/symbols/KRX-072130/,582억
메가스터디 *,10900.0,-1.62%,82060.0,896.0,30164.0,072870,https://kr.tradingview.com/symbols/KRX-072870/,"1,299억"
YBM넷 *,2860.0,-1.72%,55861.0,160.0,32736.0,057030,https://kr.tradingview.com/symbols/KRX-057030/,467억
대교,1720.0,-2.05%,111136.0,192.0,64176.0,019680,https://kr.tradingview.com/symbols/KRX-019680/,"1,457억"
윌비스,330.0,-2.08%,3017171.0,1024.0,4097719.0,008600,https://kr.tradingview.com/symbols/KRX-008600/,222억
아이스크림에듀 *,1566.0,-2.12%,77934.0,123.0,72363.0,289010,https://kr.tradingview.com/symbols/KRX-289010/,218억
크레버스 *,12210.0,-2.24%,29281.0,362.0,70105.0,096240,https://kr.tradingview.com/symbols/KRX-096240/,"1,360억"
비트플래닛 *,834.0,-2.57%,643001.0,539.0,1216436.0,049470,https://kr.tradingview.com/symbols/KRX-049470/,982억
비트컴퓨터 *,4900.0,-2.78%,105833.0,522.0,235776.0,032850,https://kr.tradingview.com/symbols/KRX-032850/,815억
웅진씽크빅,1153.0,-3.35%,214858.0,249.0,147801.0,095720,https://kr.tradingview.com/symbols/KRX-095720/,"1,332억"
캐리소프트 *,4300.0,-3.37%,44290.0,191.0,59922.0,317530,https://kr.tradingview.com/symbols/KRX-317530/,681억
아이비김영 *,2050.0,-3.53%,232132.0,483.0,327572.0,339950,https://kr.tradingview.com/symbols/KRX-339950/,921억
삼성출판사,10340.0,-3.90%,36187.0,379.0,27368.0,068290,https://kr.tradingview.com/symbols/KRX-068290/,"1,034억"
로보로보 *,10110.0,-4.08%,1020499.0,10671.0,1211884.0,215100,https://kr.tradingview.com/symbols/KRX-215100/,"2,057억"
DB,1739.0,-5.08%,2606302.0,4688.0,9591115.0,012030,https://kr.tradingview.com/symbols/KRX-012030/,"3,498억"
에이럭스 *,9520.0,-5.46%,194785.0,1895.0,206333.0,475580,https://kr.tradingview.com/symbols/KRX-475580/,"1,297억"
메가스터디교육 *,42950.0,-7.83%,60842.0,2668.0,89202.0,215200,https://kr.tradingview.com/symbols/KRX-215200/,"4,452억"
