종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
네오팜 *,20200.0,+8.02%,420306.0,8453.0,99490.0,092730,https://kr.tradingview.com/symbols/KRX-092730/,"3,238억"
예림당 *,3235.0,+6.41%,568945.0,1839.0,95235.0,036000,https://kr.tradingview.com/symbols/KRX-036000/,745억
매일유업 *,35400.0,+0.28%,13120.0,467.0,13303.0,267980,https://kr.tradingview.com/symbols/KRX-267980/,"2,713억"
메디앙스 *,1666.0,-1.13%,18211.0,30.0,17797.0,014100,https://kr.tradingview.com/symbols/KRX-014100/,197억
남양유업,47200.0,-1.36%,18663.0,893.0,10134.0,003920,https://kr.tradingview.com/symbols/KRX-003920/,"2,832억"
깨끗한나라,1887.0,-1.46%,87405.0,166.0,47326.0,004540,https://kr.tradingview.com/symbols/KRX-004540/,703억
삼익악기,1151.0,-1.46%,109153.0,125.0,202890.0,002450,https://kr.tradingview.com/symbols/KRX-002450/,"1,042억"
유엔젤,4510.0,-1.53%,58750.0,264.0,131852.0,072130,https://kr.tradingview.com/symbols/KRX-072130/,582억
토박스코리아 *,2065.0,-1.67%,35761.0,75.0,28974.0,215480,https://kr.tradingview.com/symbols/KRX-215480/,190억
아가방컴퍼니 *,4515.0,-1.95%,196118.0,890.0,232071.0,013990,https://kr.tradingview.com/symbols/KRX-013990/,"1,485억"
대교,1720.0,-2.05%,111136.0,192.0,64176.0,019680,https://kr.tradingview.com/symbols/KRX-019680/,"1,457억"
헝셩그룹 *,172.0,-2.27%,2488227.0,428.0,2405599.0,900270,https://kr.tradingview.com/symbols/KRX-900270/,420억
SAMG엔터 *,36100.0,-2.83%,78179.0,2860.0,161385.0,419530,https://kr.tradingview.com/symbols/KRX-419530/,"3,547억"
에르코스 *,12790.0,-3.25%,68553.0,888.0,113972.0,435570,https://kr.tradingview.com/symbols/KRX-435570/,974억
제로투세븐 *,3745.0,-3.35%,110838.0,416.0,74018.0,159580,https://kr.tradingview.com/symbols/KRX-159580/,750억
웅진씽크빅,1153.0,-3.35%,214858.0,249.0,147801.0,095720,https://kr.tradingview.com/symbols/KRX-095720/,"1,332억"
캐리소프트 *,4300.0,-3.37%,44290.0,191.0,59922.0,317530,https://kr.tradingview.com/symbols/KRX-317530/,681억
모나리자,2145.0,-3.60%,199526.0,433.0,205999.0,012690,https://kr.tradingview.com/symbols/KRX-012690/,784억
꿈비 *,4625.0,-3.65%,125701.0,590.0,229293.0,407400,https://kr.tradingview.com/symbols/KRX-407400/,677억
삼성출판사,10340.0,-3.90%,36187.0,379.0,27368.0,068290,https://kr.tradingview.com/symbols/KRX-068290/,"1,034억"
뉴키즈온 *,4565.0,-4.00%,62720.0,285.0,52132.0,462310,https://kr.tradingview.com/symbols/KRX-462310/,374억
더핑크퐁컴퍼니 *,22400.0,-4.48%,91597.0,2084.0,92574.0,403850,https://kr.tradingview.com/symbols/KRX-403850/,"3,215억"
