종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
오가닉티코스메틱 *,134.0,+0.75%,2595585.0,341.0,4783683.0,900300,https://kr.tradingview.com/symbols/KRX-900300/,336억
GRT *,3485.0,0.00%,313332.0,1088.0,357167.0,900290,https://kr.tradingview.com/symbols/KRX-900290/,"2,818억"
로스웰 *,1577.0,-0.76%,19627.0,31.0,89093.0,900260,https://kr.tradingview.com/symbols/KRX-900260/,726억
컬러레이 *,554.0,-1.60%,100611.0,56.0,97648.0,900310,https://kr.tradingview.com/symbols/KRX-900310/,355억
이스트아시아홀딩스 *,939.0,-1.68%,113950.0,107.0,159523.0,900110,https://kr.tradingview.com/symbols/KRX-900110/,247억
윙입푸드 *,737.0,-1.73%,186253.0,138.0,428163.0,900340,https://kr.tradingview.com/symbols/KRX-900340/,371억
피델릭스 *,1105.0,-1.95%,225493.0,249.0,176864.0,032580,https://kr.tradingview.com/symbols/KRX-032580/,366억
글로벌에스엠 *,421.0,-2.09%,187447.0,80.0,207194.0,900070,https://kr.tradingview.com/symbols/KRX-900070/,226억
헝셩그룹 *,172.0,-2.27%,2488227.0,428.0,2405599.0,900270,https://kr.tradingview.com/symbols/KRX-900270/,420억
씨엑스아이 *,503.0,-2.71%,276397.0,141.0,128428.0,900120,https://kr.tradingview.com/symbols/KRX-900120/,151억
크리스탈신소재 *,668.0,-3.33%,719335.0,492.0,1074200.0,900250,https://kr.tradingview.com/symbols/KRX-900250/,873억
