종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
하이비젼시스템 *,17720.0,+8.71%,276345.0,4739.0,255097.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,"2,649억",2026.02.02,19,-24448
SK하이닉스,899000.0,+8.31%,3471992.0,3085706.0,7634191.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,552,021억",2026.02.02,-546425,-1674898
삼성전자,162900.0,+8.31%,20750110.0,3315932.0,39748369.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,607,572억",2026.02.02,-3097649,-6237202
이녹스첨단소재 *,38450.0,+8.31%,1671656.0,64492.0,2693858.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"7,672억",2026.02.02,32228,96518
삼성전기,305500.0,+7.95%,1030303.0,311622.0,1476234.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,442억",2026.02.02,-26901,-8930
프로텍 *,52500.0,+5.32%,213674.0,11207.0,380713.0,053610,https://kr.tradingview.com/symbols/KRX-053610/,"5,786억",2026.02.02,-6193,-5649
삼성SDI,372000.0,+4.49%,733756.0,271648.0,1586089.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,"30,181억",2026.02.02,-353562,-5681
와이엠티 *,11620.0,+4.03%,89520.0,1028.0,90739.0,251370,https://kr.tradingview.com/symbols/KRX-251370/,"2,048억",2026.02.02,-23,10702
비에이치,18260.0,+3.75%,162865.0,2961.0,237016.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,"6,152억",2026.02.02,-6573,32891
인터플렉스 *,12180.0,+3.57%,198112.0,2407.0,385420.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,"2,841억",2026.02.02,-8038,-74980
덕우전자 *,5000.0,+2.99%,58819.0,295.0,175001.0,263600,https://kr.tradingview.com/symbols/KRX-263600/,798억,2026.02.02,14,30590
덕산네오룩스 *,38400.0,+2.81%,79116.0,3032.0,229765.0,213420,https://kr.tradingview.com/symbols/KRX-213420/,"9,535억",2026.02.02,-60853,61954
LG이노텍,244000.0,+2.52%,130554.0,31839.0,266011.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,"57,748억",2026.02.02,-28439,22979
LG화학,302500.0,+2.02%,199134.0,60060.0,492954.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"213,542억",2026.02.02,-139998,-14051
영풍,59300.0,+1.89%,38654.0,2269.0,78153.0,000670,https://kr.tradingview.com/symbols/KRX-000670/,"1,720억",2026.02.02,-7703,8106
LG디스플레이,11240.0,+1.81%,1352649.0,15140.0,3831988.0,034220,https://kr.tradingview.com/symbols/KRX-034220/,"56,200억",2026.02.02,-872597,-481638
LX세미콘,53600.0,+0.94%,42444.0,2275.0,133237.0,108320,https://kr.tradingview.com/symbols/KRX-108320/,"8,718억",2026.02.02,31590,-3886
슈피겐코리아 *,21900.0,-0.23%,6297.0,138.0,36580.0,192440,https://kr.tradingview.com/symbols/KRX-192440/,"1,361억",2026.02.02,4,-13715
아이티엠반도체 *,10170.0,-0.78%,50120.0,508.0,98215.0,084850,https://kr.tradingview.com/symbols/KRX-084850/,"2,307억",2026.02.02,82,-29060
앤디포스 *,1596.0,-2.80%,126502.0,202.0,70949.0,238090,https://kr.tradingview.com/symbols/KRX-238090/,376억,2026.02.02,0,3127
