종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
파두 *,27600.0,+29.88%,402254.0,11102.0,0.0,440110,https://kr.tradingview.com/symbols/KRX-440110/,"13,660억",2026.02.02,0,0
네오셈 *,18700.0,+26.61%,9127619.0,158502.0,1412749.0,253590,https://kr.tradingview.com/symbols/KRX-253590/,"8,204억",2026.02.02,-63959,8161
엑시콘 *,29100.0,+18.53%,1691749.0,47574.0,657154.0,092870,https://kr.tradingview.com/symbols/KRX-092870/,"3,798억",2026.02.02,-611,20307
SK하이닉스,900000.0,+8.43%,3441141.0,3057984.0,7634191.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,552,021억",2026.02.02,-546425,-1674898
삼성전자,162300.0,+7.91%,20450175.0,3267167.0,39748369.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,607,572억",2026.02.02,-3097649,-6237202
오킨스전자 *,14310.0,+5.61%,933290.0,13240.0,1276922.0,080580,https://kr.tradingview.com/symbols/KRX-080580/,"2,945억",2026.02.02,86126,54196
퀄리타스반도체 *,14070.0,+5.00%,188501.0,2616.0,296882.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,"1,990억",2026.02.02,0,-27092
티엘비 *,61200.0,+4.26%,241179.0,14736.0,322573.0,356860,https://kr.tradingview.com/symbols/KRX-356860/,"6,018억",2026.02.02,12656,-12899
오픈엣지테크놀로지 *,14930.0,+4.26%,191646.0,2801.0,412737.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,"3,293억",2026.02.02,2774,-56163
큐알티 *,17860.0,+3.84%,89268.0,1591.0,194526.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,"2,195억",2026.02.02,920,41152
국순당 *,3930.0,+0.51%,26270.0,103.0,27643.0,043650,https://kr.tradingview.com/symbols/KRX-043650/,702억,2026.02.02,-774,-4027
대교,1728.0,+0.47%,39215.0,67.0,111136.0,019680,https://kr.tradingview.com/symbols/KRX-019680/,"1,464억",2026.02.02,885,-31098
코리아써키트,59600.0,-7.17%,912575.0,55577.0,471282.0,007810,https://kr.tradingview.com/symbols/KRX-007810/,"14,078억",2026.02.02,-47581,59793
