종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
삼성전자,163100.0,+8.44%,20964973.0,3350955.0,39748369.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,607,572억"
주성엔지니어링 *,44150.0,+8.08%,1146359.0,50453.0,1566210.0,036930,https://kr.tradingview.com/symbols/KRX-036930/,"2,869억"
경인양행,5020.0,+6.81%,2088228.0,10569.0,1075214.0,012610,https://kr.tradingview.com/symbols/KRX-012610/,"2,089억"
코오롱인더,56200.0,+6.24%,423239.0,23078.0,510125.0,120110,https://kr.tradingview.com/symbols/KRX-120110/,"15,493억"
코세스 *,27650.0,+5.74%,200684.0,5344.0,383064.0,089890,https://kr.tradingview.com/symbols/KRX-089890/,"4,594억"
PI첨단소재,16580.0,+4.54%,136856.0,2238.0,140478.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"4,869억"
비아트론 *,8190.0,+4.33%,67873.0,552.0,105202.0,141000,https://kr.tradingview.com/symbols/KRX-141000/,992억
브이원텍 *,7860.0,+4.11%,109306.0,859.0,238109.0,251630,https://kr.tradingview.com/symbols/KRX-251630/,"1,253억"
SKC,115400.0,+3.59%,176674.0,20203.0,419415.0,011790,https://kr.tradingview.com/symbols/KRX-011790/,"43,700억"
인터플렉스 *,12180.0,+3.57%,198229.0,2409.0,385420.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,"2,841억"
필옵틱스 *,54900.0,+3.39%,324098.0,17767.0,991753.0,161580,https://kr.tradingview.com/symbols/KRX-161580/,"12,848억"
이노테크 *,24150.0,+2.99%,41726.0,1002.0,115570.0,469610,https://kr.tradingview.com/symbols/KRX-469610/,"2,144억"
덕산네오룩스 *,38450.0,+2.95%,79648.0,3053.0,229765.0,213420,https://kr.tradingview.com/symbols/KRX-213420/,"9,535억"
AP시스템 *,21000.0,+2.94%,131486.0,2733.0,258450.0,265520,https://kr.tradingview.com/symbols/KRX-265520/,"3,168억"
HB솔루션 *,2255.0,+2.50%,261748.0,585.0,492919.0,297890,https://kr.tradingview.com/symbols/KRX-297890/,"1,649억"
LG디스플레이,11250.0,+1.90%,1355396.0,15171.0,3831988.0,034220,https://kr.tradingview.com/symbols/KRX-034220/,"56,200억"
루멘스 *,670.0,+1.36%,60047.0,40.0,169408.0,038060,https://kr.tradingview.com/symbols/KRX-038060/,322억
디이엔티 *,5360.0,+1.32%,97295.0,521.0,217367.0,079810,https://kr.tradingview.com/symbols/KRX-079810/,"1,154억"
도우인시스 *,23700.0,+1.28%,16227.0,383.0,39888.0,484120,https://kr.tradingview.com/symbols/KRX-484120/,"2,597억"
파인텍 *,775.0,+1.17%,74131.0,57.0,219973.0,131760,https://kr.tradingview.com/symbols/KRX-131760/,337억
유티아이 *,23750.0,+1.06%,55387.0,1333.0,109092.0,179900,https://kr.tradingview.com/symbols/KRX-179900/,"4,700억"
에스에프에이 *,32150.0,-0.16%,154642.0,4973.0,204049.0,056190,https://kr.tradingview.com/symbols/KRX-056190/,"11,509억"
신도기연 *,1791.0,-0.78%,23015.0,42.0,26957.0,290520,https://kr.tradingview.com/symbols/KRX-290520/,285억
아이컴포넌트 *,4910.0,-0.81%,13505.0,67.0,35386.0,059100,https://kr.tradingview.com/symbols/KRX-059100/,347억
