종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
라온텍 *,6410.0,+12.06%,868387.0,5482.0,625248.0,418420,https://kr.tradingview.com/symbols/KRX-418420/,"1,954억"
삼성전자,163100.0,+8.44%,20964973.0,3350955.0,39748369.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,607,572억"
사피엔반도체 *,40200.0,+6.49%,94265.0,3718.0,70404.0,452430,https://kr.tradingview.com/symbols/KRX-452430/,"3,300억"
코세스 *,27650.0,+5.74%,200684.0,5344.0,383064.0,089890,https://kr.tradingview.com/symbols/KRX-089890/,"4,594억"
큐에스아이 *,8440.0,+3.43%,64039.0,536.0,100895.0,066310,https://kr.tradingview.com/symbols/KRX-066310/,783억
LG전자,99900.0,+3.42%,697440.0,69689.0,1073877.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"162,886억"
루멘스 *,670.0,+1.36%,60047.0,40.0,169408.0,038060,https://kr.tradingview.com/symbols/KRX-038060/,322억
서울반도체 *,7170.0,+0.70%,251100.0,1819.0,605212.0,046890,https://kr.tradingview.com/symbols/KRX-046890/,"4,180억"
영우디에스피 *,1076.0,+0.37%,269322.0,288.0,541455.0,143540,https://kr.tradingview.com/symbols/KRX-143540/,480억
광전자,1939.0,0.00%,98636.0,191.0,261350.0,017900,https://kr.tradingview.com/symbols/KRX-017900/,"1,124억"
원풍물산 *,426.0,-2.29%,307532.0,130.0,266875.0,008290,https://kr.tradingview.com/symbols/KRX-008290/,173억
