종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
이녹스 *,13630.0,+29.93%,1272013.0,17061.0,457661.0,088390,https://kr.tradingview.com/symbols/KRX-088390/,"1,279억"
세아베스틸지주,80500.0,+13.54%,611603.0,48289.0,301988.0,001430,https://kr.tradingview.com/symbols/KRX-001430/,"28,582억"
한화비전,63300.0,+11.25%,2014208.0,126977.0,1241696.0,489790,https://kr.tradingview.com/symbols/KRX-489790/,"31,959억"
두산밥캣,63400.0,+9.88%,470039.0,28605.0,435867.0,241560,https://kr.tradingview.com/symbols/KRX-241560/,"6,485억"
하림지주 *,15200.0,+9.27%,5192956.0,77685.0,5538250.0,003380,https://kr.tradingview.com/symbols/KRX-003380/,"17,159억"
한화,117500.0,+8.39%,722356.0,85126.0,364113.0,000880,https://kr.tradingview.com/symbols/KRX-000880/,"88,151억"
한국금융지주,216500.0,+8.36%,211901.0,45247.0,315115.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,"12,368억"
두산,899000.0,+8.05%,107369.0,94788.0,149810.0,000150,https://kr.tradingview.com/symbols/KRX-000150/,"144,935억"
LS,212500.0,+8.03%,215629.0,45181.0,582864.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"67,838억"
효성,148100.0,+7.87%,34373.0,5009.0,73448.0,004800,https://kr.tradingview.com/symbols/KRX-004800/,"24,793억"
SK스퀘어,544000.0,+7.72%,730480.0,390769.0,1337758.0,402340,https://kr.tradingview.com/symbols/KRX-402340/,"719,875억"
코오롱,66900.0,+7.38%,131808.0,8457.0,133144.0,002020,https://kr.tradingview.com/symbols/KRX-002020/,"8,661억"
노루홀딩스,21650.0,+7.18%,71571.0,1558.0,36613.0,000320,https://kr.tradingview.com/symbols/KRX-000320/,"2,878억"
세아홀딩스,167900.0,+6.74%,3168.0,521.0,5088.0,058650,https://kr.tradingview.com/symbols/KRX-058650/,"6,768억"
경동인베스트,63700.0,+6.52%,35487.0,2254.0,30580.0,012320,https://kr.tradingview.com/symbols/KRX-012320/,"1,507억"
하나금융지주,110000.0,+6.49%,683862.0,74641.0,1438624.0,086790,https://kr.tradingview.com/symbols/KRX-086790/,"306,158억"
대웅,24700.0,+6.47%,129153.0,3135.0,110908.0,003090,https://kr.tradingview.com/symbols/KRX-003090/,"14,361억"
DL,42700.0,+6.09%,90339.0,3793.0,241061.0,000210,https://kr.tradingview.com/symbols/KRX-000210/,"8,948억"
