종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
삼미금속 *,19260.0,+19.26%,14220141.0,260633.0,15987821.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"4,299억"
대한전선,30750.0,+15.38%,12265095.0,365955.0,4644673.0,001440,https://kr.tradingview.com/symbols/KRX-001440/,"57,239억"
LS ELECTRIC,605000.0,+15.02%,377418.0,222932.0,247333.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"181,800억"
SNT에너지,44750.0,+7.70%,299998.0,13080.0,433045.0,100840,https://kr.tradingview.com/symbols/KRX-100840/,"9,275억"
현대건설,106400.0,+7.69%,961329.0,101096.0,1111606.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"118,371억"
오르비텍 *,4515.0,+5.86%,520589.0,2319.0,734244.0,046120,https://kr.tradingview.com/symbols/KRX-046120/,"1,251억"
비엠티 *,12690.0,+5.75%,60882.0,765.0,45041.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,"1,260억"
한텍 *,36650.0,+5.47%,121016.0,4461.0,86966.0,098070,https://kr.tradingview.com/symbols/KRX-098070/,"4,076억"
한전기술,132200.0,+5.42%,190809.0,24917.0,276775.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,"5,527억"
효성중공업,2403000.0,+5.35%,74085.0,176544.0,182535.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"223,603억"
두산에너빌리티,90750.0,+5.28%,3519820.0,315430.0,6823888.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"58,348억"
우진엔텍 *,26150.0,+5.23%,113361.0,2929.0,325349.0,457550,https://kr.tradingview.com/symbols/KRX-457550/,"2,437억"
디케이락 *,10210.0,+5.04%,135766.0,1366.0,139302.0,105740,https://kr.tradingview.com/symbols/KRX-105740/,"1,038억"
비에이치아이 *,73000.0,+4.89%,295046.0,21364.0,710381.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,"22,682억"
일진파워 *,15520.0,+4.86%,274942.0,4243.0,430232.0,094820,https://kr.tradingview.com/symbols/KRX-094820/,"2,340억"
태웅 *,29950.0,+4.36%,84843.0,2519.0,183612.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"5,992억"
지투파워 *,8850.0,+4.24%,218290.0,1914.0,523154.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,656억"
원일티엔아이 *,19090.0,+4.20%,36213.0,683.0,51663.0,136150,https://kr.tradingview.com/symbols/KRX-136150/,"1,600억"
DL이앤씨,45300.0,+4.02%,315987.0,14324.0,475139.0,375500,https://kr.tradingview.com/symbols/KRX-375500/,"17,548억"
한미글로벌,18920.0,+3.96%,57461.0,1079.0,114147.0,053690,https://kr.tradingview.com/symbols/KRX-053690/,"2,073억"
삼영엠텍 *,14360.0,+3.76%,184380.0,2624.0,361465.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,"1,867억"
보성파워텍 *,7660.0,+3.65%,1499685.0,11438.0,2625518.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,"3,763억"
GS건설,18960.0,+3.61%,593044.0,11154.0,975199.0,006360,https://kr.tradingview.com/symbols/KRX-006360/,"16,226억"
한신기계,4055.0,+3.58%,432439.0,1733.0,838014.0,011700,https://kr.tradingview.com/symbols/KRX-011700/,"1,316억"
에너토크 *,8410.0,+3.57%,52405.0,438.0,127375.0,019990,https://kr.tradingview.com/symbols/KRX-019990/,820억
한양이엔지 *,30700.0,+3.54%,104622.0,3236.0,221407.0,045100,https://kr.tradingview.com/symbols/KRX-045100/,"5,535억"
우리기술 *,9080.0,+3.53%,9173978.0,82262.0,18871053.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,"15,142억"
한국전력,59100.0,+3.14%,1806210.0,106325.0,2893501.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"379,401억"
한전산업,13325.0,+2.90%,214929.0,2843.0,400839.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"4,346억"
금화피에스시 *,32950.0,+2.81%,6213.0,203.0,12196.0,036190,https://kr.tradingview.com/symbols/KRX-036190/,"1,977억"
한전KPS,55700.0,+2.58%,116151.0,6417.0,213424.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,"25,042억"
광명전기,1393.0,+2.58%,196523.0,272.0,448074.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,604억
수산인더스트리,24300.0,+2.32%,20963.0,504.0,83979.0,126720,https://kr.tradingview.com/symbols/KRX-126720/,"3,471억"
서전기전 *,4210.0,+2.31%,98049.0,409.0,146598.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,408억
대우건설,4965.0,+2.27%,2838528.0,13884.0,5766672.0,047040,https://kr.tradingview.com/symbols/KRX-047040/,"2,656억"
하이록코리아 *,32700.0,+2.19%,20856.0,675.0,55314.0,013030,https://kr.tradingview.com/symbols/KRX-013030/,"3,848억"
금양그린파워 *,10390.0,+2.06%,17095.0,177.0,59875.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,260억"
이엠코리아 *,2425.0,+1.68%,117285.0,285.0,328620.0,095190,https://kr.tradingview.com/symbols/KRX-095190/,"1,586억"
SG&G *,1823.0,+1.28%,81658.0,148.0,102439.0,040610,https://kr.tradingview.com/symbols/KRX-040610/,621억
대창솔루션 *,2040.0,+1.24%,437783.0,884.0,732662.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,752억
성광벤드 *,31450.0,+1.13%,115501.0,3640.0,250121.0,014620,https://kr.tradingview.com/symbols/KRX-014620/,"8,352억"
HRS *,5045.0,+1.00%,32438.0,163.0,99742.0,036640,https://kr.tradingview.com/symbols/KRX-036640/,825억
우진,24350.0,+0.83%,504971.0,12294.0,581790.0,105840,https://kr.tradingview.com/symbols/KRX-105840/,"4,938억"
에이프로젠,692.0,+0.58%,2417109.0,1687.0,3620384.0,007460,https://kr.tradingview.com/symbols/KRX-007460/,"2,279억"
강원에너지 *,16280.0,+0.49%,240896.0,3926.0,395498.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,253억"
태광 *,26250.0,+0.19%,180068.0,4706.0,425549.0,023160,https://kr.tradingview.com/symbols/KRX-023160/,"6,956억"
티플랙스 *,3015.0,+0.17%,71235.0,215.0,143452.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,732억
디티앤씨 *,2400.0,0.00%,32076.0,77.0,72331.0,187220,https://kr.tradingview.com/symbols/KRX-187220/,281억
대창스틸 *,2070.0,-0.24%,12688.0,26.0,25565.0,140520,https://kr.tradingview.com/symbols/KRX-140520/,437억
제일테크노스 *,5760.0,-0.35%,14626.0,84.0,53980.0,038010,https://kr.tradingview.com/symbols/KRX-038010/,518억
에스앤더블류 *,4005.0,-0.37%,15241.0,61.0,46598.0,103230,https://kr.tradingview.com/symbols/KRX-103230/,288억
