종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
LS ELECTRIC,606000.0,+15.21%,375206.0,221594.0,247333.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"181,800억"
대한전선,30700.0,+15.20%,12196669.0,363854.0,4644673.0,001440,https://kr.tradingview.com/symbols/KRX-001440/,"57,239억"
일진전기,64700.0,+8.92%,500755.0,31796.0,825324.0,103590,https://kr.tradingview.com/symbols/KRX-103590/,"3,852억"
LS,214000.0,+8.80%,212907.0,44601.0,582864.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"67,838억"
제룡전기 *,47100.0,+7.90%,385585.0,17848.0,610331.0,033100,https://kr.tradingview.com/symbols/KRX-033100/,"7,565억"
바이오스마트 *,6120.0,+7.75%,28253085.0,174925.0,10732357.0,038460,https://kr.tradingview.com/symbols/KRX-038460/,"1,601억"
산일전기,146300.0,+7.42%,325480.0,47573.0,318377.0,062040,https://kr.tradingview.com/symbols/KRX-062040/,"44,688억"
HD현대일렉트릭,892000.0,+6.70%,127675.0,113020.0,183359.0,267260,https://kr.tradingview.com/symbols/KRX-267260/,"321,540억"
가온전선,86100.0,+6.69%,46209.0,3904.0,70896.0,000500,https://kr.tradingview.com/symbols/KRX-000500/,"14,244억"
대원전선,3720.0,+6.13%,2833229.0,10462.0,3320676.0,006340,https://kr.tradingview.com/symbols/KRX-006340/,"2,867억"
세명전기 *,10000.0,+5.93%,265865.0,2619.0,497254.0,017510,https://kr.tradingview.com/symbols/KRX-017510/,"1,525억"
비츠로테크 *,10780.0,+5.89%,484497.0,5174.0,615445.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,824억"
제일일렉트릭 *,10270.0,+5.88%,413711.0,4205.0,453742.0,199820,https://kr.tradingview.com/symbols/KRX-199820/,"2,282억"
제룡산업 *,7460.0,+5.22%,660649.0,4887.0,582293.0,147830,https://kr.tradingview.com/symbols/KRX-147830/,"1,492억"
효성중공업,2398000.0,+5.13%,73701.0,175622.0,182535.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"223,603억"
두산에너빌리티,90600.0,+5.10%,3500830.0,313707.0,6823888.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"58,348억"
티씨머티리얼즈 *,4175.0,+5.03%,981203.0,4018.0,719431.0,125020,https://kr.tradingview.com/symbols/KRX-125020/,"1,463억"
LS에코에너지,40650.0,+4.77%,112692.0,4554.0,225361.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"12,449억"
지투파워 *,8850.0,+4.24%,218089.0,1912.0,523154.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,656억"
보성파워텍 *,7660.0,+3.65%,1496165.0,11411.0,2625518.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,"3,763억"
한국전력,59100.0,+3.14%,1794845.0,105652.0,2893501.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"379,401억"
한전산업,13330.0,+2.93%,214462.0,2837.0,400839.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"4,346억"
금화피에스시 *,32950.0,+2.81%,6213.0,203.0,12196.0,036190,https://kr.tradingview.com/symbols/KRX-036190/,"1,977억"
광명전기,1393.0,+2.58%,196510.0,272.0,448074.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,604억
한전KPS,55650.0,+2.49%,115039.0,6355.0,213424.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,"25,042억"
서전기전 *,4210.0,+2.31%,98046.0,409.0,146598.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,408억
피앤씨테크 *,5880.0,+2.26%,137605.0,816.0,303762.0,237750,https://kr.tradingview.com/symbols/KRX-237750/,382억
비츠로시스 *,432.0,+1.89%,216671.0,93.0,536047.0,054220,https://kr.tradingview.com/symbols/KRX-054220/,259억
지엔씨에너지 *,35000.0,+1.89%,151699.0,5320.0,305249.0,119850,https://kr.tradingview.com/symbols/KRX-119850/,"5,757억"
위너스 *,9960.0,+1.53%,5357.0,53.0,31351.0,479960,https://kr.tradingview.com/symbols/KRX-479960/,682억
LS마린솔루션 *,29950.0,+1.35%,191012.0,5700.0,418123.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,646억"
에이루트 *,1808.0,+0.44%,697516.0,1264.0,7913675.0,096690,https://kr.tradingview.com/symbols/KRX-096690/,436억
서남 *,2915.0,+0.17%,316932.0,926.0,484901.0,294630,https://kr.tradingview.com/symbols/KRX-294630/,769억
