종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
비나텍 *,115800.0,+17.92%,243475.0,27028.0,262611.0,126340,https://kr.tradingview.com/symbols/KRX-126340/,"7,798억"
LS ELECTRIC,605000.0,+15.02%,377944.0,223251.0,247333.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"181,800억"
삼화전기,55700.0,+11.62%,353973.0,19495.0,358779.0,009470,https://kr.tradingview.com/symbols/KRX-009470/,"3,684억"
파워로직스 *,6160.0,+10.39%,3463436.0,21431.0,527765.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,285억"
HD현대일렉트릭,891000.0,+6.58%,128323.0,113598.0,183359.0,267260,https://kr.tradingview.com/symbols/KRX-267260/,"321,540억"
알에스오토메이션 *,23050.0,+5.73%,301357.0,6913.0,633645.0,140670,https://kr.tradingview.com/symbols/KRX-140670/,"2,953억"
한중엔시에스 *,49150.0,+5.70%,116087.0,5697.0,248354.0,107640,https://kr.tradingview.com/symbols/KRX-107640/,"4,437억"
효성중공업,2398000.0,+5.13%,74333.0,177139.0,182535.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"223,603억"
아모그린텍 *,7390.0,+4.67%,133951.0,978.0,204414.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,219억"
삼화콘덴서,31600.0,+4.64%,63201.0,1982.0,119915.0,001820,https://kr.tradingview.com/symbols/KRX-001820/,"3,285억"
삼성SDI,371500.0,+4.35%,736164.0,272544.0,1586089.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,"30,181억"
지투파워 *,8850.0,+4.24%,218322.0,1914.0,523154.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,656억"
원익피앤이 *,4290.0,+4.00%,441060.0,1895.0,1146220.0,217820,https://kr.tradingview.com/symbols/KRX-217820/,"2,036억"
신성이엔지,1813.0,+3.48%,2306909.0,4133.0,4962609.0,011930,https://kr.tradingview.com/symbols/KRX-011930/,"3,728억"
삼진엘앤디 *,805.0,+3.47%,95359.0,76.0,176328.0,054090,https://kr.tradingview.com/symbols/KRX-054090/,201억
이랜텍 *,10490.0,+3.45%,145049.0,1521.0,422134.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,653억"
LG전자,99900.0,+3.42%,697440.0,69689.0,1073877.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"162,886억"
HD현대에너지솔루션,52300.0,+3.36%,59680.0,3093.0,135438.0,322000,https://kr.tradingview.com/symbols/KRX-322000/,"5,858억"
피엔티 *,52600.0,+3.34%,294851.0,15433.0,934006.0,137400,https://kr.tradingview.com/symbols/KRX-137400/,"12,461억"
그리드위즈 *,15810.0,+2.93%,21645.0,339.0,63665.0,453450,https://kr.tradingview.com/symbols/KRX-453450/,"1,256억"
한전산업,13320.0,+2.86%,215080.0,2845.0,400839.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"4,346억"
신성에스티 *,38150.0,+2.83%,119215.0,4582.0,247267.0,416180,https://kr.tradingview.com/symbols/KRX-416180/,"3,449억"
상아프론테크 *,17230.0,+2.68%,38192.0,651.0,56888.0,089980,https://kr.tradingview.com/symbols/KRX-089980/,"2,760억"
디케이티 *,9910.0,+2.38%,332043.0,3288.0,374514.0,290550,https://kr.tradingview.com/symbols/KRX-290550/,"1,982억"
금양그린파워 *,10390.0,+2.06%,17095.0,177.0,59875.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,260억"
LG에너지솔루션,387500.0,+1.97%,170108.0,65869.0,401037.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"906,750억"
비츠로셀 *,20750.0,+1.97%,131734.0,2717.0,263384.0,082920,https://kr.tradingview.com/symbols/KRX-082920/,"9,408억"
포스코DX,38200.0,+1.87%,438286.0,16676.0,1000518.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"58,077억"
SK이터닉스,19220.0,+1.85%,124364.0,2375.0,459298.0,475150,https://kr.tradingview.com/symbols/KRX-475150/,"6,494억"
세방전지,63100.0,+1.61%,29781.0,1871.0,89043.0,004490,https://kr.tradingview.com/symbols/KRX-004490/,"8,746억"
SK이노베이션,108200.0,+1.22%,249165.0,26819.0,589696.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"182,915억"
케이이엠텍 *,609.0,+1.00%,245922.0,147.0,226979.0,106080,https://kr.tradingview.com/symbols/KRX-106080/,175억
와이엠텍 *,8050.0,+0.75%,23330.0,187.0,45871.0,273640,https://kr.tradingview.com/symbols/KRX-273640/,883억
엔켐 *,83000.0,+0.61%,293832.0,24818.0,878732.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,"18,136억"
서진시스템 *,36150.0,+0.42%,514871.0,18575.0,978990.0,178320,https://kr.tradingview.com/symbols/KRX-178320/,"2,226억"
엠플러스 *,13290.0,+0.30%,269709.0,3565.0,1111248.0,259630,https://kr.tradingview.com/symbols/KRX-259630/,"1,620억"
씨아이에스 *,11890.0,-0.17%,2324477.0,27557.0,5299459.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,"9,200억"
디와이덕양,2135.0,-0.23%,186530.0,395.0,206820.0,024900,https://kr.tradingview.com/symbols/KRX-024900/,695억
유니테크노 *,3820.0,-0.39%,262655.0,1010.0,382513.0,241690,https://kr.tradingview.com/symbols/KRX-241690/,935억
유일에너테크 *,1429.0,-0.49%,4857736.0,7015.0,12136673.0,340930,https://kr.tradingview.com/symbols/KRX-340930/,984억
지에프아이 *,19030.0,-1.91%,102462.0,1969.0,174764.0,493330,https://kr.tradingview.com/symbols/KRX-493330/,"1,462억"
캐리 *,1365.0,-4.34%,75811.0,105.0,89078.0,313760,https://kr.tradingview.com/symbols/KRX-313760/,153억
