종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
헥토파이낸셜 *,27100.0,+20.18%,4148676.0,104682.0,1170851.0,234340,https://kr.tradingview.com/symbols/KRX-234340/,"3,709억"
다날 *,9690.0,+6.84%,20602357.0,200066.0,9290356.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,"7,307억"
카카오페이,67700.0,+6.61%,1379771.0,91521.0,1493760.0,377300,https://kr.tradingview.com/symbols/KRX-377300/,"92,439억"
인포뱅크 *,5950.0,+6.06%,703799.0,4416.0,54659.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,518억
SK,317500.0,+6.01%,166008.0,51940.0,355062.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"23,196억"
한컴위드 *,5950.0,+5.68%,1667177.0,9842.0,1679047.0,054920,https://kr.tradingview.com/symbols/KRX-054920/,"1,682억"
NHN KCP *,24000.0,+5.49%,1612956.0,38127.0,2055576.0,060250,https://kr.tradingview.com/symbols/KRX-060250/,"9,739억"
아톤 *,7600.0,+5.41%,456295.0,3392.0,649857.0,158430,https://kr.tradingview.com/symbols/KRX-158430/,"1,846억"
헥토이노베이션 *,20200.0,+5.21%,307961.0,6089.0,322363.0,214180,https://kr.tradingview.com/symbols/KRX-214180/,"2,638억"
갤럭시아머니트리 *,11750.0,+4.72%,816453.0,9495.0,2165880.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,"4,570억"
코나아이 *,59700.0,+4.55%,82569.0,4928.0,203855.0,052400,https://kr.tradingview.com/symbols/KRX-052400/,"8,694억"
한국정보인증 *,6720.0,+4.51%,232018.0,1539.0,484052.0,053300,https://kr.tradingview.com/symbols/KRX-053300/,"2,848억"
핑거 *,12350.0,+3.96%,130663.0,1605.0,222297.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,160억"
가비아 *,33850.0,+3.52%,17913.0,608.0,24038.0,079940,https://kr.tradingview.com/symbols/KRX-079940/,"4,543억"
KG이니시스 *,11740.0,+2.98%,230055.0,2695.0,294634.0,035600,https://kr.tradingview.com/symbols/KRX-035600/,"3,235억"
아모텍 *,10080.0,+2.96%,133521.0,1361.0,476697.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,473억"
성우전자 *,2920.0,+2.82%,1049978.0,3034.0,5057461.0,081580,https://kr.tradingview.com/symbols/KRX-081580/,454억
한국전자인증 *,3920.0,+2.62%,77385.0,301.0,208547.0,041460,https://kr.tradingview.com/symbols/KRX-041460/,746억
SGA솔루션즈 *,609.0,+2.53%,140301.0,85.0,448202.0,184230,https://kr.tradingview.com/symbols/KRX-184230/,541억
KG모빌리언스 *,5430.0,+2.45%,234443.0,1271.0,384707.0,046440,https://kr.tradingview.com/symbols/KRX-046440/,"2,064억"
KT,56300.0,+1.99%,209737.0,11794.0,490699.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"141,888억"
한국정보통신 *,7920.0,+1.54%,16316.0,129.0,21421.0,025770,https://kr.tradingview.com/symbols/KRX-025770/,"2,966억"
이글루 *,5200.0,+1.36%,23182.0,120.0,34412.0,067920,https://kr.tradingview.com/symbols/KRX-067920/,572억
아이티센피엔에스 *,2180.0,+1.16%,10582.0,23.0,39738.0,232830,https://kr.tradingview.com/symbols/KRX-232830/,359억
카카오,58900.0,+0.86%,1370482.0,80566.0,2860783.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"26,630억"
이스트소프트 *,17990.0,+0.78%,51913.0,937.0,396754.0,047560,https://kr.tradingview.com/symbols/KRX-047560/,"2,111억"
시큐브 *,3790.0,+0.66%,10058.0,38.0,5643.0,131090,https://kr.tradingview.com/symbols/KRX-131090/,303억
웹케시 *,9860.0,+0.31%,25359.0,250.0,38437.0,053580,https://kr.tradingview.com/symbols/KRX-053580/,"1,345억"
라온시큐어 *,9150.0,+0.22%,33160.0,304.0,127502.0,042510,https://kr.tradingview.com/symbols/KRX-042510/,"1,026억"
NAVER,268500.0,+0.19%,1326617.0,355653.0,1862631.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"421,149억"
브리지텍 *,5280.0,-0.94%,80295.0,422.0,139121.0,064480,https://kr.tradingview.com/symbols/KRX-064480/,631억
이니텍 *,4110.0,-3.63%,99034.0,410.0,69692.0,053350,https://kr.tradingview.com/symbols/KRX-053350/,946억
