종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
LS ELECTRIC,605000.0,+15.02%,377944.0,223251.0,247333.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"181,800억"
에스엠코어 *,6630.0,+14.31%,1661925.0,10775.0,769174.0,007820,https://kr.tradingview.com/symbols/KRX-007820/,"1,328억"
TPC *,3955.0,+13.00%,1641596.0,6509.0,406016.0,048770,https://kr.tradingview.com/symbols/KRX-048770/,619억
아진엑스텍 *,10450.0,+9.88%,1792719.0,19198.0,614694.0,059120,https://kr.tradingview.com/symbols/KRX-059120/,"1,031억"
SK,317500.0,+6.01%,166008.0,51940.0,355062.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"23,196억"
알에스오토메이션 *,23050.0,+5.73%,301357.0,6913.0,633645.0,140670,https://kr.tradingview.com/symbols/KRX-140670/,"2,953억"
비엠티 *,12670.0,+5.58%,60942.0,766.0,45041.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,"1,260억"
에스피시스템스 *,13400.0,+4.85%,244419.0,3277.0,407600.0,317830,https://kr.tradingview.com/symbols/KRX-317830/,"1,444억"
이삭엔지니어링 *,9420.0,+4.55%,93200.0,877.0,82590.0,351330,https://kr.tradingview.com/symbols/KRX-351330/,781억
LG씨엔에스,69900.0,+4.02%,777541.0,53462.0,1709946.0,064400,https://kr.tradingview.com/symbols/KRX-064400/,"67,820억"
링크제니시스 *,5780.0,+3.77%,116773.0,667.0,278044.0,219420,https://kr.tradingview.com/symbols/KRX-219420/,663억
한신기계,4055.0,+3.58%,432547.0,1733.0,838014.0,011700,https://kr.tradingview.com/symbols/KRX-011700/,"1,316억"
티엑스알로보틱스 *,21000.0,+3.45%,198688.0,4201.0,337355.0,484810,https://kr.tradingview.com/symbols/KRX-484810/,"3,245억"
제닉스로보틱스 *,14330.0,+3.39%,492831.0,7131.0,850699.0,381620,https://kr.tradingview.com/symbols/KRX-381620/,"1,880억"
LG,90800.0,+3.30%,142418.0,12935.0,381943.0,003550,https://kr.tradingview.com/symbols/KRX-003550/,"1,433억"
현대무벡스 *,34425.0,+3.07%,2956162.0,101493.0,9405403.0,319400,https://kr.tradingview.com/symbols/KRX-319400/,"38,425억"
엠아이큐브솔루션 *,12330.0,+2.84%,70375.0,864.0,108829.0,373170,https://kr.tradingview.com/symbols/KRX-373170/,621억
스맥 *,6330.0,+2.76%,633676.0,3983.0,1460783.0,099440,https://kr.tradingview.com/symbols/KRX-099440/,"4,313억"
유일로보틱스 *,132200.0,+2.64%,168518.0,22716.0,304889.0,388720,https://kr.tradingview.com/symbols/KRX-388720/,"15,440억"
LS티라유텍 *,9720.0,+2.64%,372873.0,3595.0,737814.0,322180,https://kr.tradingview.com/symbols/KRX-322180/,"2,038억"
톱텍 *,4875.0,+2.63%,44717.0,216.0,168921.0,108230,https://kr.tradingview.com/symbols/KRX-108230/,"1,854억"
피아이이 *,6910.0,+2.52%,313730.0,2160.0,468794.0,452450,https://kr.tradingview.com/symbols/KRX-452450/,"2,479억"
코윈테크 *,18160.0,+2.14%,77484.0,1401.0,187216.0,282880,https://kr.tradingview.com/symbols/KRX-282880/,"2,083억"
코닉오토메이션 *,2535.0,+2.01%,241828.0,612.0,685477.0,391710,https://kr.tradingview.com/symbols/KRX-391710/,"1,080억"
포스코DX,38200.0,+1.87%,438286.0,16676.0,1000518.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"58,077억"
삼성에스디에스,170900.0,+1.79%,108329.0,18435.0,228079.0,018260,https://kr.tradingview.com/symbols/KRX-018260/,"132,316억"
더존비즈온,92750.0,+1.37%,87473.0,8155.0,257471.0,012510,https://kr.tradingview.com/symbols/KRX-012510/,"28,180억"
효성ITX,12580.0,+1.04%,17132.0,215.0,24504.0,094280,https://kr.tradingview.com/symbols/KRX-094280/,"1,454억"
MDS테크 *,1432.0,+0.85%,1890668.0,2713.0,4342608.0,086960,https://kr.tradingview.com/symbols/KRX-086960/,"1,457억"
휴림로봇 *,14470.0,+0.63%,7021058.0,101920.0,14921668.0,090710,https://kr.tradingview.com/symbols/KRX-090710/,"17,274억"
동국알앤에스 *,2200.0,+0.46%,33446.0,74.0,66187.0,075970,https://kr.tradingview.com/symbols/KRX-075970/,405억
엠투아이 *,6620.0,+0.30%,33247.0,221.0,77064.0,347890,https://kr.tradingview.com/symbols/KRX-347890/,"1,120억"
오픈베이스 *,2320.0,+0.22%,71205.0,165.0,192209.0,049480,https://kr.tradingview.com/symbols/KRX-049480/,729억
고영 *,32200.0,+0.16%,2101380.0,67942.0,2676962.0,098460,https://kr.tradingview.com/symbols/KRX-098460/,"22,141억"
에스에프에이 *,32150.0,-0.16%,154642.0,4973.0,204049.0,056190,https://kr.tradingview.com/symbols/KRX-056190/,"11,509억"
트윔 *,6970.0,-0.29%,15011.0,104.0,11238.0,290090,https://kr.tradingview.com/symbols/KRX-290090/,519억
팸텍 *,1667.0,-1.94%,154791.0,259.0,225960.0,271830,https://kr.tradingview.com/symbols/KRX-271830/,492억
라온로보틱스 *,21150.0,-4.73%,1427773.0,30474.0,5151849.0,232680,https://kr.tradingview.com/symbols/KRX-232680/,"2,759억"
