종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
타이거일렉 *,39400.0,+9.29%,106140.0,4062.0,118134.0,219130,https://kr.tradingview.com/symbols/KRX-219130/,"2,494억"
와이제이링크 *,4460.0,+9.05%,3833368.0,17362.0,1377007.0,209640,https://kr.tradingview.com/symbols/KRX-209640/,"1,271억"
이녹스첨단소재 *,38450.0,+8.31%,1672605.0,64528.0,2693858.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"7,672억"
삼성전기,305500.0,+7.95%,1031191.0,311893.0,1476234.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,442억"
현우산업 *,3710.0,+7.07%,267415.0,981.0,206908.0,092300,https://kr.tradingview.com/symbols/KRX-092300/,704억
롯데에너지머티리얼즈,39250.0,+6.66%,314995.0,12281.0,302848.0,020150,https://kr.tradingview.com/symbols/KRX-020150/,"2,553억"
대덕전자,64700.0,+6.59%,943793.0,60083.0,1459368.0,353200,https://kr.tradingview.com/symbols/KRX-353200/,"31,973억"
이수페타시스,117400.0,+6.15%,824302.0,95673.0,1387208.0,007660,https://kr.tradingview.com/symbols/KRX-007660/,"86,182억"
아모그린텍 *,7390.0,+4.67%,133951.0,978.0,204414.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,219억"
티엘비 *,61400.0,+4.60%,242392.0,14810.0,322573.0,356860,https://kr.tradingview.com/symbols/KRX-356860/,"6,018억"
PI첨단소재,16580.0,+4.54%,136856.0,2238.0,140478.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"4,869억"
와이엠티 *,11650.0,+4.30%,89916.0,1033.0,90739.0,251370,https://kr.tradingview.com/symbols/KRX-251370/,"2,048억"
뉴프렉스 *,6720.0,+4.19%,273133.0,1823.0,403978.0,085670,https://kr.tradingview.com/symbols/KRX-085670/,"1,643억"
비에이치,18260.0,+3.75%,163462.0,2972.0,237016.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,"6,152억"
인터플렉스 *,12180.0,+3.57%,198229.0,2409.0,385420.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,"2,841억"
필옵틱스 *,54900.0,+3.39%,324098.0,17767.0,991753.0,161580,https://kr.tradingview.com/symbols/KRX-161580/,"12,848억"
심텍 *,61600.0,+3.36%,806429.0,50103.0,1655979.0,222800,https://kr.tradingview.com/symbols/KRX-222800/,"22,965억"
상아프론테크 *,17230.0,+2.68%,38192.0,651.0,56888.0,089980,https://kr.tradingview.com/symbols/KRX-089980/,"2,760억"
성우테크론 *,3090.0,+2.15%,15602.0,48.0,41412.0,045300,https://kr.tradingview.com/symbols/KRX-045300/,320억
시노펙스 *,7670.0,+1.72%,708678.0,5449.0,1971969.0,025320,https://kr.tradingview.com/symbols/KRX-025320/,"7,075억"
자비스 *,1390.0,+1.39%,120368.0,167.0,356684.0,254120,https://kr.tradingview.com/symbols/KRX-254120/,427억
펨트론 *,17480.0,+1.33%,58568.0,1029.0,233306.0,168360,https://kr.tradingview.com/symbols/KRX-168360/,"3,715억"
이브이첨단소재 *,1920.0,+1.05%,694030.0,1336.0,1555510.0,131400,https://kr.tradingview.com/symbols/KRX-131400/,"1,144억"
화인써키트 *,5470.0,+0.55%,7723.0,42.0,13948.0,127980,https://kr.tradingview.com/symbols/KRX-127980/,648억
우리바이오 *,1969.0,+0.46%,207073.0,406.0,533481.0,082850,https://kr.tradingview.com/symbols/KRX-082850/,954억
태성 *,72700.0,-0.41%,445256.0,32365.0,631896.0,323280,https://kr.tradingview.com/symbols/KRX-323280/,"22,232억"
디에이피 *,1917.0,-1.19%,11307.0,22.0,16992.0,066900,https://kr.tradingview.com/symbols/KRX-066900/,436억
에이엔피,407.0,-1.21%,136921.0,55.0,102073.0,015260,https://kr.tradingview.com/symbols/KRX-015260/,184억
네오티스 *,11795.0,-3.40%,175063.0,2114.0,263896.0,085910,https://kr.tradingview.com/symbols/KRX-085910/,"1,644억"
코리아써키트,59500.0,-7.32%,930510.0,56645.0,471282.0,007810,https://kr.tradingview.com/symbols/KRX-007810/,"14,078억"
