종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한양디지텍 *,29800.0,+14.62%,643457.0,18619.0,298833.0,078350,https://kr.tradingview.com/symbols/KRX-078350/,"4,543억"
원익머트리얼즈 *,42950.0,+14.53%,176592.0,7292.0,74512.0,104830,https://kr.tradingview.com/symbols/KRX-104830/,"5,415억"
씨엠티엑스 *,139300.0,+13.25%,164807.0,22499.0,175245.0,388210,https://kr.tradingview.com/symbols/KRX-388210/,"12,917억"
KX하이텍 *,1229.0,+11.73%,5442920.0,6555.0,8540254.0,052900,https://kr.tradingview.com/symbols/KRX-052900/,803억
샘씨엔에스 *,11220.0,+11.31%,2687821.0,29555.0,4980617.0,252990,https://kr.tradingview.com/symbols/KRX-252990/,"6,551억"
케이엔제이 *,28500.0,+10.25%,204597.0,5649.0,277375.0,272110,https://kr.tradingview.com/symbols/KRX-272110/,"2,287억"
타이거일렉 *,39500.0,+9.57%,105097.0,4021.0,118134.0,219130,https://kr.tradingview.com/symbols/KRX-219130/,"2,494억"
엘티씨 *,27500.0,+8.91%,215456.0,5691.0,290370.0,170920,https://kr.tradingview.com/symbols/KRX-170920/,"2,905억"
이녹스첨단소재 *,38500.0,+8.45%,1669927.0,64425.0,2693858.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"7,672억"
두산,899000.0,+8.05%,106493.0,94001.0,149810.0,000150,https://kr.tradingview.com/symbols/KRX-000150/,"144,935억"
ISC *,148000.0,+7.87%,167720.0,24160.0,276855.0,095340,https://kr.tradingview.com/symbols/KRX-095340/,"31,372억"
한솔아이원스 *,14300.0,+7.76%,372827.0,5192.0,501396.0,114810,https://kr.tradingview.com/symbols/KRX-114810/,"4,089억"
엘케이켐 *,30650.0,+7.54%,108982.0,3274.0,225874.0,489500,https://kr.tradingview.com/symbols/KRX-489500/,"1,924억"
한솔케미칼,294000.0,+7.50%,58132.0,16762.0,82558.0,014680,https://kr.tradingview.com/symbols/KRX-014680/,"33,325억"
마이크로컨텍솔 *,21050.0,+7.12%,133197.0,2755.0,186242.0,098120,https://kr.tradingview.com/symbols/KRX-098120/,"1,750억"
덕산테코피아 *,19800.0,+6.91%,231849.0,4523.0,262012.0,317330,https://kr.tradingview.com/symbols/KRX-317330/,"4,054억"
월덱스 *,26400.0,+6.88%,238367.0,6179.0,327133.0,101160,https://kr.tradingview.com/symbols/KRX-101160/,"4,359억"
케이씨텍,47850.0,+6.69%,171817.0,8222.0,250747.0,281820,https://kr.tradingview.com/symbols/KRX-281820/,"9,900억"
동진쎄미켐 *,54300.0,+6.47%,603965.0,32316.0,1541396.0,005290,https://kr.tradingview.com/symbols/KRX-005290/,"27,918억"
에스에이엠티 *,4835.0,+5.91%,1073037.0,5113.0,1611497.0,031330,https://kr.tradingview.com/symbols/KRX-031330/,"4,835억"
HLB이노베이션 *,2715.0,+5.85%,775231.0,2081.0,2540678.0,024850,https://kr.tradingview.com/symbols/KRX-024850/,"3,988억"
OCI,72500.0,+5.84%,48954.0,3511.0,47343.0,456040,https://kr.tradingview.com/symbols/KRX-456040/,"6,491억"
오킨스전자 *,14330.0,+5.76%,935021.0,13265.0,1276922.0,080580,https://kr.tradingview.com/symbols/KRX-080580/,"2,945억"
원익QnC *,28100.0,+5.64%,302141.0,8461.0,500635.0,074600,https://kr.tradingview.com/symbols/KRX-074600/,"7,387억"
티이엠씨 *,10140.0,+5.52%,277446.0,2789.0,684041.0,425040,https://kr.tradingview.com/symbols/KRX-425040/,"2,163억"
마이크로투나노 *,14890.0,+5.38%,98004.0,1443.0,104202.0,424980,https://kr.tradingview.com/symbols/KRX-424980/,881억
지오엘리먼트 *,7920.0,+5.04%,73365.0,574.0,63101.0,311320,https://kr.tradingview.com/symbols/KRX-311320/,"1,000억"
이엔에프테크놀로지 *,55950.0,+4.58%,93927.0,5193.0,212845.0,102710,https://kr.tradingview.com/symbols/KRX-102710/,"7,994억"
에이치브이엠 *,91200.0,+4.47%,471685.0,43720.0,534215.0,295310,https://kr.tradingview.com/symbols/KRX-295310/,"1,855억"
에스앤에스텍 *,86900.0,+4.45%,256505.0,22130.0,589771.0,101490,https://kr.tradingview.com/symbols/KRX-101490/,"18,561억"
해성디에스,65100.0,+4.33%,221965.0,14509.0,280443.0,195870,https://kr.tradingview.com/symbols/KRX-195870/,"11,033억"
와이씨켐 *,23550.0,+4.20%,127120.0,2962.0,279779.0,112290,https://kr.tradingview.com/symbols/KRX-112290/,"2,381억"
하나머티리얼즈 *,63000.0,+4.13%,129406.0,8217.0,348479.0,166090,https://kr.tradingview.com/symbols/KRX-166090/,"12,460억"
제이아이테크 *,3425.0,+4.10%,108249.0,368.0,253950.0,417500,https://kr.tradingview.com/symbols/KRX-417500/,"1,120억"
퓨릿 *,9530.0,+4.04%,94508.0,896.0,392640.0,445180,https://kr.tradingview.com/symbols/KRX-445180/,"1,638억"
에프엔에스테크 *,17020.0,+3.91%,157392.0,2663.0,544911.0,083500,https://kr.tradingview.com/symbols/KRX-083500/,"1,460억"
티이엠씨씨엔에스 *,7660.0,+3.65%,39186.0,299.0,89076.0,241790,https://kr.tradingview.com/symbols/KRX-241790/,766억
티씨케이 *,213500.0,+3.14%,47566.0,10289.0,142048.0,064760,https://kr.tradingview.com/symbols/KRX-064760/,"23,868억"
유니트론텍 *,6710.0,+3.07%,362126.0,2394.0,553691.0,142210,https://kr.tradingview.com/symbols/KRX-142210/,"1,410억"
엠케이전자 *,10250.0,+3.02%,206027.0,2103.0,708786.0,033160,https://kr.tradingview.com/symbols/KRX-033160/,"2,316억"
웰킵스하이텍 *,638.0,+2.74%,72895.0,45.0,63865.0,043590,https://kr.tradingview.com/symbols/KRX-043590/,173억
디엔에프 *,18270.0,+2.64%,77972.0,1427.0,184963.0,092070,https://kr.tradingview.com/symbols/KRX-092070/,"2,114억"
에프에스티 *,43800.0,+2.46%,228690.0,10107.0,460007.0,036810,https://kr.tradingview.com/symbols/KRX-036810/,"9,617억"
네패스 *,18150.0,+2.43%,88700.0,1607.0,209789.0,033640,https://kr.tradingview.com/symbols/KRX-033640/,"4,181억"
솔브레인 *,429500.0,+2.38%,58148.0,25111.0,132225.0,357780,https://kr.tradingview.com/symbols/KRX-357780/,"33,448억"
메카로 *,23900.0,+2.36%,17032.0,407.0,45568.0,241770,https://kr.tradingview.com/symbols/KRX-241770/,"2,436억"
덕산하이메탈 *,9170.0,+2.23%,4095059.0,39291.0,3018792.0,077360,https://kr.tradingview.com/symbols/KRX-077360/,"4,157억"
삼양엔씨켐 *,30450.0,+2.18%,255449.0,7866.0,245065.0,482630,https://kr.tradingview.com/symbols/KRX-482630/,"3,332억"
후성,8280.0,+2.10%,618825.0,5078.0,883743.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,870억"
