종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
삼표시멘트 *,14190.0,+29.95%,12499269.0,163394.0,27489473.0,038500,https://kr.tradingview.com/symbols/KRX-038500/,"15,313억"
경방,10840.0,+15.57%,4184894.0,45737.0,1426113.0,000050,https://kr.tradingview.com/symbols/KRX-000050/,"2,972억"
하림지주 *,15320.0,+10.14%,5155586.0,77115.0,5538250.0,003380,https://kr.tradingview.com/symbols/KRX-003380/,"17,159억"
KCTC,6890.0,+8.16%,4023660.0,27526.0,3855682.0,009070,https://kr.tradingview.com/symbols/KRX-009070/,"2,067억"
세이브존I&C,3250.0,+6.91%,1159387.0,3772.0,4943287.0,067830,https://kr.tradingview.com/symbols/KRX-067830/,"1,334억"
동양고속,58600.0,+6.74%,1318433.0,78612.0,2315118.0,084670,https://kr.tradingview.com/symbols/KRX-084670/,"1,697억"
BYC,44450.0,+6.59%,6598.0,287.0,8250.0,001460,https://kr.tradingview.com/symbols/KRX-001460/,"2,776억"
신영와코루,16720.0,+6.16%,115589.0,1948.0,36821.0,005800,https://kr.tradingview.com/symbols/KRX-005800/,"1,505억"
대성산업,8790.0,+5.27%,10051060.0,90574.0,14326272.0,128820,https://kr.tradingview.com/symbols/KRX-128820/,"3,976억"
HDC현대산업개발,21050.0,+4.73%,179512.0,3730.0,251337.0,294870,https://kr.tradingview.com/symbols/KRX-294870/,"13,873억"
DI동일,20150.0,+3.92%,81834.0,1620.0,110540.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"3,975억"
서부T&D *,17960.0,+3.28%,1150713.0,20649.0,2509774.0,006730,https://kr.tradingview.com/symbols/KRX-006730/,"11,661억"
아이에스동서,23150.0,+2.89%,103995.0,2361.0,178951.0,010780,https://kr.tradingview.com/symbols/KRX-010780/,"6,988억"
이마트,90800.0,+2.83%,171398.0,15498.0,190832.0,139480,https://kr.tradingview.com/symbols/KRX-139480/,"25,057억"
천일고속,305000.0,+2.52%,115573.0,36081.0,370318.0,000650,https://kr.tradingview.com/symbols/KRX-000650/,"4,359억"
방림,5530.0,+2.41%,110266.0,605.0,147552.0,003610,https://kr.tradingview.com/symbols/KRX-003610/,"2,223억"
동원산업,41200.0,+2.23%,42173.0,1728.0,80119.0,006040,https://kr.tradingview.com/symbols/KRX-006040/,"18,189억"
일신방직,13130.0,+2.18%,41442.0,539.0,76778.0,003200,https://kr.tradingview.com/symbols/KRX-003200/,"3,015억"
신도리코,54200.0,+1.12%,59054.0,3087.0,433029.0,029530,https://kr.tradingview.com/symbols/KRX-029530/,"5,463억"
롯데칠성,135000.0,+0.30%,30440.0,4025.0,45878.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,526억"
