종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
SNT에너지,44850.0,+7.94%,299307.0,13049.0,433045.0,100840,https://kr.tradingview.com/symbols/KRX-100840/,"9,275억"
우림피티에스 *,18590.0,+5.69%,1904890.0,38237.0,835762.0,101170,https://kr.tradingview.com/symbols/KRX-101170/,"2,510억"
포스코인터내셔널,64400.0,+5.40%,656236.0,41720.0,698679.0,047050,https://kr.tradingview.com/symbols/KRX-047050/,"113,294억"
두산에너빌리티,90700.0,+5.22%,3513649.0,314870.0,6823888.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"58,348억"
한국카본,33600.0,+5.16%,359736.0,12020.0,487653.0,017960,https://kr.tradingview.com/symbols/KRX-017960/,"17,467억"
비에이치아이 *,73100.0,+5.03%,294555.0,21328.0,710381.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,"22,682억"
E1,90600.0,+4.74%,27744.0,2497.0,20793.0,017940,https://kr.tradingview.com/symbols/KRX-017940/,"6,215억"
한국전력,59100.0,+3.14%,1803606.0,106171.0,2893501.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"379,401억"
한국가스공사,40000.0,+1.52%,189677.0,7539.0,355525.0,036460,https://kr.tradingview.com/symbols/KRX-036460/,"36,925억"
SK가스,224500.0,+0.90%,8816.0,1974.0,15255.0,018670,https://kr.tradingview.com/symbols/KRX-018670/,"2,756억"
SH에너지화학,358.0,-0.83%,238720.0,85.0,223969.0,002360,https://kr.tradingview.com/symbols/KRX-002360/,398억
