종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
미래에셋벤처투자 *,21650.0,+27.35%,14130512.0,296752.0,2060813.0,100790,https://kr.tradingview.com/symbols/KRX-100790/,"11,448억"
아주IB투자 *,5150.0,+15.08%,39272249.0,202868.0,10300595.0,027360,https://kr.tradingview.com/symbols/KRX-027360/,"6,227억"
에이티넘인베스트 *,3350.0,+6.69%,1013506.0,3395.0,694687.0,021080,https://kr.tradingview.com/symbols/KRX-021080/,"1,608억"
우리기술투자 *,8240.0,+5.64%,833288.0,6796.0,1368447.0,041190,https://kr.tradingview.com/symbols/KRX-041190/,"6,922억"
LB인베스트먼트 *,6170.0,+4.40%,88408.0,544.0,133442.0,309960,https://kr.tradingview.com/symbols/KRX-309960/,"1,432억"
DSC인베스트먼트 *,8320.0,+4.39%,1226432.0,10265.0,1149258.0,241520,https://kr.tradingview.com/symbols/KRX-241520/,"2,246억"
SBI인베스트먼트 *,759.0,+3.83%,548897.0,416.0,548449.0,019550,https://kr.tradingview.com/symbols/KRX-019550/,"1,228억"
SV인베스트먼트 *,2562.0,+3.31%,809367.0,2064.0,1286203.0,289080,https://kr.tradingview.com/symbols/KRX-289080/,"1,392억"
플루토스 *,256.0,+3.23%,271112.0,70.0,493001.0,019570,https://kr.tradingview.com/symbols/KRX-019570/,172억
TS인베스트먼트 *,1385.0,+2.74%,194034.0,272.0,258786.0,246690,https://kr.tradingview.com/symbols/KRX-246690/,619억
캡스톤파트너스 *,3000.0,+2.56%,73322.0,220.0,173257.0,452300,https://kr.tradingview.com/symbols/KRX-452300/,425억
스톤브릿지벤처스 *,5790.0,+2.48%,157282.0,922.0,239675.0,330730,https://kr.tradingview.com/symbols/KRX-330730/,"1,055억"
HB인베스트먼트 *,2105.0,+2.43%,72649.0,152.0,82363.0,440290,https://kr.tradingview.com/symbols/KRX-440290/,579억
대성창투 *,1646.0,+1.92%,312421.0,523.0,585780.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,889억
큐캐피탈 *,244.0,+0.83%,630148.0,155.0,2037808.0,016600,https://kr.tradingview.com/symbols/KRX-016600/,435억
컴퍼니케이 *,6880.0,+0.73%,122728.0,855.0,383518.0,307930,https://kr.tradingview.com/symbols/KRX-307930/,"1,074억"
스틱인베스트먼트,11270.0,+0.36%,54592.0,617.0,196761.0,026890,https://kr.tradingview.com/symbols/KRX-026890/,"4,697억"
나우IB *,1856.0,-0.32%,3734569.0,6988.0,8883885.0,293580,https://kr.tradingview.com/symbols/KRX-293580/,"1,762억"
린드먼아시아 *,4760.0,-0.52%,5487.0,26.0,10798.0,277070,https://kr.tradingview.com/symbols/KRX-277070/,652억
플랜티넷 *,2355.0,-0.84%,26569.0,63.0,51842.0,075130,https://kr.tradingview.com/symbols/KRX-075130/,391억
